# file...... Output/hvac/house_hvac_file_020.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_7A_tm_2_A_7_Meter_46_381:hvac_load,house_2_8A_tm_2_A_8_Meter_46_382:hvac_load,house_2_1A_tm_2_A_1_Meter_47_383:hvac_load,house_2_2A_tm_2_A_2_Meter_47_384:hvac_load,house_2_3A_tm_2_A_3_Meter_47_385:hvac_load,house_2_4A_tm_2_A_4_Meter_47_386:hvac_load,house_2_5A_tm_2_A_5_Meter_47_387:hvac_load,house_2_6A_tm_2_A_6_Meter_47_388:hvac_load,house_2_7A_tm_2_A_7_Meter_47_389:hvac_load,house_2_8A_tm_2_A_8_Meter_47_390:hvac_load,house_2_9A_tm_2_A_9_Meter_47_391:hvac_load,house_2_10A_tm_2_A_10_Meter_47_392:hvac_load,house_2_11A_tm_2_A_11_Meter_47_393:hvac_load,house_2_12A_tm_2_A_12_Meter_47_394:hvac_load,house_2_13A_tm_2_A_13_Meter_47_395:hvac_load,house_2_14A_tm_2_A_14_Meter_47_396:hvac_load,house_2_15A_tm_2_A_15_Meter_47_397:hvac_load,house_2_1B_tm_2_B_1_Meter_47_398:hvac_load,house_2_2B_tm_2_B_2_Meter_47_399:hvac_load,house_2_3B_tm_2_B_3_Meter_47_400:hvac_load
2010-08-16 18:46:00 UTC,+0,+2.13982062088,+0,+5.13340432861,+0,+4.27823938751,+0,+4.70620950962,+6.41624423384,+2.13934864745,+0,+1.28369910512,+2.13931803021,+3.42272381783,+3.85080598448,+5.9891062381,+0,+0,+2.58683604862,+3.01794158992
2010-08-16 18:46:30 UTC,+0,+0,+5.98671605786,+5.13109757501,+0,+4.27631684422,+0,+4.70409462294,+6.41336104246,+2.13838724795,+0,+1.2831222066,+2.13835664691,+3.42118571224,+3.84907545904,+5.98641492907,+4.27630761553,+5.17015509166,+2.58517350909,+3.0160019919
2010-08-16 18:47:00 UTC,+0,+0,+5.98957734162,+5.13354982958,+0,+0,+0,+4.70634290836,+6.41642609426,+2.13940928875,+0,+1.2837354936,+2.13937867048,+3.42282083549,+3.85091513922,+5.98927599531,+4.27835141695,+5.16755544115,+2.58387363283,+3.01448549418
2010-08-16 18:47:30 UTC,+0,+0,+5.98594804032,+5.13043934789,+0,+0,+0,+4.70349114467,+6.41253833,+2.13811291474,+0,+0,+2.13808231831,+3.42074681719,+3.84858165743,+5.9856469699,+4.27575902426,+5.1749928638,+2.58759249007,+0
2010-08-16 18:48:00 UTC,+0,+0,+5.98508667131,+5.12970111426,+0,+0,+0,+4.70281431439,+6.41161561822,+2.13780523663,+0,+0,+2.13777464539,+3.42025457501,+3.8480278348,+5.98478566643,+4.27514375245,+5.17179428303,+2.58599313693,+0
2010-08-16 18:48:30 UTC,+0,+2.1374442857,+5.98389924472,+5.12868343395,+0,+0,+0,+4.7018812808,+0,+2.13738109191,+0,+0,+2.13735050782,+3.4195760024,+3.84726437149,+5.98359833014,+4.27429557929,+5.17026871741,+2.58523032418,+0
2010-08-16 18:49:00 UTC,+5.55522395934,+2.13649870294,+5.98103814902,+5.12623134072,+2.99075690441,+0,+0,+4.69963314317,+0,+2.1363591183,+0,+0,+2.13632855143,+3.41794098666,+3.84542481219,+5.98073745207,+4.27225191225,+5.17262668251,+0,+0
2010-08-16 18:49:30 UTC,+5.55594695419,+2.13716677129,+5.98403189172,+5.12879711865,+2.99225391269,+0,+2.99222772576,+0,+0,+2.13742847296,+4.70139420545,+0,+2.13739788807,+3.4196518055,+3.8473496577,+5.98373096705,+4.27439032841,+5.16570723395,+0,+0
2010-08-16 18:50:00 UTC,+5.56154308542,+2.13931946967,+5.98984539858,+5.133779567,+2.99516093205,+0,+2.99513470489,+0,+0,+2.13950503777,+4.7059614224,+1.28379294887,+0,+3.42297402063,+3.85108748809,+5.98954403191,+4.27854288877,+5.16725511192,+0,+0
2010-08-16 18:50:30 UTC,+5.55506398791,+2.13682711521,+5.98246029229,+5.12745018419,+2.99146804111,+0,+2.99144186506,+0,+0,+0,+4.70015952294,+1.28221002661,+0,+3.41875369162,+3.8463391881,+5.98215948714,+4.27326774242,+5.17347788419,+0,+0
2010-08-16 18:51:00 UTC,+5.55468605724,+2.13668173426,+5.98288180656,+5.1278114417,+2.99167881751,+0,+2.99165263854,+0,+0,+0,+4.70049067367,+1.28230037389,+0,+0,+3.84661020329,+5.98258096936,+4.27356882805,+5.17331592162,+0,+0
2010-08-16 18:51:30 UTC,+5.56235717158,+2.13963262922,+5.99116130141,+5.13490735758,+2.99581894366,+0,+2.9957927074,+0,+0,+0,+4.70699522425,+1.28407499922,+0,+0,+3.85193355598,+5.99085983474,+4.27948283193,+5.16514395815,+0,+3.01307876339
2010-08-16 18:52:00 UTC,+5.56711188365,+2.14146165359,+5.9962927029,+0,+2.99838487913,+4.28315742439,+2.99835860739,+0,+0,+0,+4.7110265649,+1.28517486274,+0,+0,+3.85523282233,+0,+4.28314816776,+5.16507889577,+0,+3.01304080946
2010-08-16 18:52:30 UTC,+5.56700942906,+2.14142224174,+5.99632246519,+0,+2.99839976162,+4.28317868354,+2.99837348968,+0,+0,+0,+4.71104994682,+1.28518124197,+2.14178796496,+0,+0,+0,+4.28316942682,+5.16327087317,+2.5817312648,+3.01198610535
