# file...... Output/hvac/house_hvac_file_006.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_9A_tm_0_A_9_Meter_11_101:hvac_load,house_0_10A_tm_0_A_10_Meter_11_102:hvac_load,house_0_11A_tm_0_A_11_Meter_11_103:hvac_load,house_0_12A_tm_0_A_12_Meter_11_104:hvac_load,house_0_13A_tm_0_A_13_Meter_11_105:hvac_load,house_0_14A_tm_0_A_14_Meter_11_106:hvac_load,house_0_15A_tm_0_A_15_Meter_11_107:hvac_load,house_0_1B_tm_0_B_1_Meter_12_108:hvac_load,house_0_2B_tm_0_B_2_Meter_12_109:hvac_load,house_0_3B_tm_0_B_3_Meter_12_110:hvac_load,house_0_4B_tm_0_B_4_Meter_12_111:hvac_load,house_0_5B_tm_0_B_5_Meter_12_112:hvac_load,house_0_6B_tm_0_B_6_Meter_12_113:hvac_load,house_0_7B_tm_0_B_7_Meter_12_114:hvac_load,house_0_8B_tm_0_B_8_Meter_12_115:hvac_load,house_0_1C_tm_0_C_1_Meter_16_116:hvac_load,house_0_2C_tm_0_C_2_Meter_16_117:hvac_load,house_0_3C_tm_0_C_3_Meter_16_118:hvac_load,house_0_4C_tm_0_C_4_Meter_16_119:hvac_load,house_0_5C_tm_0_C_5_Meter_16_120:hvac_load
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+6.46877856798,+0,+0,+0,+0,+0,+0,+5.17516493984,+0,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+6.46922083752,+0,+3.01932359492,+0,+0,+0,+0,+5.17551876729,+0,+0,+0,+0,+0
2010-08-16 00:31:30 UTC,+3.02904068135,+0,+0,+0,+0,+0,+0,+6.46902614328,+0,+3.01923272477,+0,+0,+0,+0,+5.1753630067,+0,+0,+0,+0,+0
2010-08-16 00:32:00 UTC,+3.02921868772,+0,+0,+0,+0,+0,+0,+6.47082428134,+0,+3.02007197443,+0,+0,+0,+0,+5.17680156522,+0,+0,+0,+0,+0
2010-08-16 00:32:30 UTC,+3.02737397209,+0,+0,+0,+0,+0,+0,+6.4745988992,+0,+3.02183371165,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,+3.02779941246,+0,+0,+0,+0,+0,+0,+0,+0,+3.02157243821,+0,+0,+0,+0,+0,+0,+0,+6.4738879648,+0,+0
2010-08-16 00:33:30 UTC,+3.02807259174,+0,+0,+0,+0,+0,+0,+0,+1.29539782127,+3.02225466098,+0,+0,+0,+0,+0,+0,+0,+6.47398391448,+0,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+1.29565655875,+0,+0,+0,+0,+0,+0,+0,+0,+6.4731448528,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+1.29548916478,+0,+0,+0,+0,+0,+0,+0,+0,+6.47281700786,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+1.29539892921,+0,+0,+0,+0,+0,+0,+0,+0,+6.47544661613,+0,+0
