# file...... Output/hvac/house_hvac_file_030.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_8C_tm_2_C_8_Meter_50_581:hvac_load,house_2_9C_tm_2_C_9_Meter_50_582:hvac_load,house_2_10C_tm_2_C_10_Meter_50_583:hvac_load,house_2_11C_tm_2_C_11_Meter_50_584:hvac_load,house_2_12C_tm_2_C_12_Meter_50_585:hvac_load,house_2_13C_tm_2_C_13_Meter_50_586:hvac_load,house_2_14C_tm_2_C_14_Meter_50_587:hvac_load,house_2_15C_tm_2_C_15_Meter_50_588:hvac_load,house_2_1A_tm_2_A_1_Meter_51_589:hvac_load,house_2_2A_tm_2_A_2_Meter_51_590:hvac_load,house_2_3A_tm_2_A_3_Meter_51_591:hvac_load,house_2_4A_tm_2_A_4_Meter_51_592:hvac_load,house_2_5A_tm_2_A_5_Meter_51_593:hvac_load,house_2_6A_tm_2_A_6_Meter_51_594:hvac_load,house_2_7A_tm_2_A_7_Meter_51_595:hvac_load,house_2_8A_tm_2_A_8_Meter_51_596:hvac_load,house_0_1A_tm_0_A_1_Meter_52_597:hvac_load,house_0_2A_tm_0_A_2_Meter_52_598:hvac_load,house_0_3A_tm_0_A_3_Meter_52_599:hvac_load,house_0_4A_tm_0_A_4_Meter_52_600:hvac_load
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+3.01961775421,+0,+0,+0,+6.45887155076,+0,+0,+0,+0,+0,+4.31581947906,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+3.01883639981,+0,+0,+0,+6.46201201273,+0,+0,+0,+0,+0,+4.31698380768,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,+3.01794297258,+0,+3.87827706793,+0,+6.46260854922,+0,+0,+0,+0,+0,+4.3180595376,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,+0,+0,+0,+3.01568499156,+0,+3.87937344569,+0,+6.46443542944,+0,+0,+0,+0,+0,+4.31903254429,+0,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,+0,+0,+0,+3.0178509693,+0,+3.87522024513,+0,+0,+0,+0,+0,+5.16664393911,+0,+4.31472727776,+0,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.8764382714,+0,+0,+0,+0,+0,+5.16826783485,+0,+4.3156003397,+0,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.87687821938,+0,+0,+0,+0,+0,+5.16885438187,+0,+4.3157990368,+0,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17233113811,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17020883527,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,+2.15547223359,+0,+0,+0,+0,+0,+0,+0,+3.44707542554,+0,+5.17020280364,+0,+0,+0,+0
