# file...... Output/hvac/house_hvac_file_025.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_25B_tm_2_B_25_Meter_48_481:hvac_load,house_2_26B_tm_2_B_26_Meter_48_482:hvac_load,house_2_27B_tm_2_B_27_Meter_48_483:hvac_load,house_2_28B_tm_2_B_28_Meter_48_484:hvac_load,house_2_29B_tm_2_B_29_Meter_48_485:hvac_load,house_2_1C_tm_2_C_1_Meter_48_486:hvac_load,house_2_2C_tm_2_C_2_Meter_48_487:hvac_load,house_2_3C_tm_2_C_3_Meter_48_488:hvac_load,house_2_4C_tm_2_C_4_Meter_48_489:hvac_load,house_2_5C_tm_2_C_5_Meter_48_490:hvac_load,house_2_6C_tm_2_C_6_Meter_48_491:hvac_load,house_2_7C_tm_2_C_7_Meter_48_492:hvac_load,house_2_8C_tm_2_C_8_Meter_48_493:hvac_load,house_2_9C_tm_2_C_9_Meter_48_494:hvac_load,house_2_10C_tm_2_C_10_Meter_48_495:hvac_load,house_2_11C_tm_2_C_11_Meter_48_496:hvac_load,house_2_12C_tm_2_C_12_Meter_48_497:hvac_load,house_2_13C_tm_2_C_13_Meter_48_498:hvac_load,house_2_14C_tm_2_C_14_Meter_48_499:hvac_load,house_2_15C_tm_2_C_15_Meter_48_500:hvac_load
2010-08-16 00:21:00 UTC,+0,+0,+0,+3.88089857822,+0,+0,+0,+0,+0,+0,+3.0215527703,+0,+0,+0,+0,+0,+5.17901483201,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.0217044717,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,+5.1698942257,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+5.17319232317,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.29495517622,+0,+0
2010-08-16 00:24:00 UTC,+0,+5.17056641756,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.2950562178,+0,+1.72671225809
2010-08-16 00:24:30 UTC,+0,+5.17129757689,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.29450038782,+0,+1.72597116711
2010-08-16 00:25:00 UTC,+0,+5.16810055829,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.46764669319,+0,+0,+0,+1.29388745772,+0,+1.72515394424
2010-08-16 00:25:30 UTC,+0,+5.16833133418,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.7471084616,+6.47137391531,+0,+0,+0,+0,+0,+1.72614818607
2010-08-16 00:26:00 UTC,+0,+5.16386713538,+5.59456877446,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74491450886,+6.46955650959,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+5.16956472767,+5.60074170646,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.7402301093,+6.46316959259,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+5.17043810883,+5.60168795219,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73772130802,+6.45974898228,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+5.16962870702,+5.60081102349,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73735381082,+6.45924792038,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+5.16908535932,+5.60022234529,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73973156904,+6.4624898608,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,+5.59793779192,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73972154344,+6.46247619145,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,+5.59630468646,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73919628142,+0,+3.44690616125,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+5.59716009419,+0,+0,+0,+0,+0,+0,+2.15441407008,+0,+0,+4.73929589093,+0,+3.44697861057,+0,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+5.5967171202,+0,+0,+0,+0,+0,+0,+2.15503226253,+0,+0,+0,+0,+3.44796768903,+0,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.15707778968,+0,+0,+0,+0,+3.45124043499,+0,+0,+0,+0,+0
