# file...... Output/hvac/house_hvac_file_035.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_15C_tm_3_C_15_Meter_62_681:hvac_load,house_3_1A_tm_3_A_1_Meter_63_682:hvac_load,house_3_2A_tm_3_A_2_Meter_63_683:hvac_load,house_3_3A_tm_3_A_3_Meter_63_684:hvac_load,house_3_4A_tm_3_A_4_Meter_63_685:hvac_load,house_3_5A_tm_3_A_5_Meter_63_686:hvac_load,house_3_6A_tm_3_A_6_Meter_63_687:hvac_load,house_3_7A_tm_3_A_7_Meter_63_688:hvac_load,house_3_8A_tm_3_A_8_Meter_63_689:hvac_load,house_3_9A_tm_3_A_9_Meter_63_690:hvac_load,house_3_10A_tm_3_A_10_Meter_63_691:hvac_load,house_3_11A_tm_3_A_11_Meter_63_692:hvac_load,house_3_12A_tm_3_A_12_Meter_63_693:hvac_load,house_3_13A_tm_3_A_13_Meter_63_694:hvac_load,house_3_14A_tm_3_A_14_Meter_63_695:hvac_load,house_3_15A_tm_3_A_15_Meter_63_696:hvac_load,house_3_1B_tm_3_B_1_Meter_64_697:hvac_load,house_3_2B_tm_3_B_2_Meter_64_698:hvac_load,house_3_3B_tm_3_B_3_Meter_64_699:hvac_load,house_3_4B_tm_3_B_4_Meter_64_700:hvac_load
2010-08-16 00:25:30 UTC,+0,+0,+0,+4.7365942537,+0,+4.73667532398,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+4.73798407584,+0,+4.73806517681,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+4.7371528525,+0,+4.73723393512,+0,+0,+2.15371855525,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+4.73613742078,+0,+4.73621848097,+0,+0,+2.15325686919,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+4.73495720831,+0,+0,+0,+0,+2.15272026229,+0,+0,+2.15268950149,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+4.73495584426,+0,+0,+0,+0,+2.15271964209,+0,+0,+2.1526888813,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+2.15277173035,+0,+0,+2.15274096876,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+2.15410651043,+0,+0,+2.15407572818,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.00598474582,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.00587370974,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.00603871668,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.00602578182,+0,+0
