# file...... Output/hvac/house_hvac_file_022.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_9C_tm_2_C_9_Meter_47_421:hvac_load,house_2_10C_tm_2_C_10_Meter_47_422:hvac_load,house_2_11C_tm_2_C_11_Meter_47_423:hvac_load,house_2_12C_tm_2_C_12_Meter_47_424:hvac_load,house_2_13C_tm_2_C_13_Meter_47_425:hvac_load,house_2_14C_tm_2_C_14_Meter_47_426:hvac_load,house_2_15C_tm_2_C_15_Meter_47_427:hvac_load,house_2_1A_tm_2_A_1_Meter_48_428:hvac_load,house_2_2A_tm_2_A_2_Meter_48_429:hvac_load,house_2_3A_tm_2_A_3_Meter_48_430:hvac_load,house_2_4A_tm_2_A_4_Meter_48_431:hvac_load,house_2_5A_tm_2_A_5_Meter_48_432:hvac_load,house_2_6A_tm_2_A_6_Meter_48_433:hvac_load,house_2_7A_tm_2_A_7_Meter_48_434:hvac_load,house_2_8A_tm_2_A_8_Meter_48_435:hvac_load,house_2_9A_tm_2_A_9_Meter_48_436:hvac_load,house_2_10A_tm_2_A_10_Meter_48_437:hvac_load,house_2_11A_tm_2_A_11_Meter_48_438:hvac_load,house_2_12A_tm_2_A_12_Meter_48_439:hvac_load,house_2_13A_tm_2_A_13_Meter_48_440:hvac_load
2010-08-16 00:56:00 UTC,+0,+0,+5.59684746322,+0,+5.16691594199,+0,+0,+0,+5.17195466231,+0,+3.87927433589,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:30 UTC,+0,+0,+5.60039610891,+0,+5.17019209069,+0,+0,+0,+5.17337280918,+0,+3.88033805349,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:00 UTC,+0,+0,+5.60016951828,+0,+5.16998289973,+0,+0,+0,+5.17680877599,+0,+3.88291528897,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:30 UTC,+0,+0,+5.59937353422,+0,+5.16924803851,+0,+0,+0,+5.17936834142,+0,+3.88483515696,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:00 UTC,+0,+0,+5.59935591181,+0,+5.16923176931,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:30 UTC,+0,+0,+5.59537031255,+0,+5.16555222026,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:59:00 UTC,+0,+0,+5.59789173202,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.45043221538,+0,+0,+0,+0
2010-08-16 00:59:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.45000329256,+0,+0,+0,+0
2010-08-16 01:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.4476283292,+0,+0,+3.44817542934,+0
2010-08-16 01:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.03356627871,+0,+3.4478612233,+0,+0,+3.44791641515,+0
2010-08-16 01:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.03624267746,+0,+3.44939063475,+0,+0,+3.44944586616,+0
2010-08-16 01:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74121654702,+6.0341477796,+0,+3.44819351837,+0,+0,+3.44824871882,+0
