# file...... Output/hvac/house_hvac_file_014.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_1_2A_tm_1_A_2_Meter_33_261:hvac_load,house_1_3A_tm_1_A_3_Meter_33_262:hvac_load,house_1_4A_tm_1_A_4_Meter_33_263:hvac_load,house_1_5A_tm_1_A_5_Meter_33_264:hvac_load,house_1_6A_tm_1_A_6_Meter_33_265:hvac_load,house_1_7A_tm_1_A_7_Meter_33_266:hvac_load,house_1_8A_tm_1_A_8_Meter_33_267:hvac_load,house_1_9A_tm_1_A_9_Meter_33_268:hvac_load,house_1_10A_tm_1_A_10_Meter_33_269:hvac_load,house_1_11A_tm_1_A_11_Meter_33_270:hvac_load,house_1_12A_tm_1_A_12_Meter_33_271:hvac_load,house_1_13A_tm_1_A_13_Meter_33_272:hvac_load,house_1_14A_tm_1_A_14_Meter_33_273:hvac_load,house_1_15A_tm_1_A_15_Meter_33_274:hvac_load,house_0_1C_tm_0_C_1_Meter_34_275:hvac_load,house_0_2C_tm_0_C_2_Meter_34_276:hvac_load,house_0_3C_tm_0_C_3_Meter_34_277:hvac_load,house_0_4C_tm_0_C_4_Meter_34_278:hvac_load,house_0_5C_tm_0_C_5_Meter_34_279:hvac_load,house_0_6C_tm_0_C_6_Meter_34_280:hvac_load
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+4.32748536491,+0,+0,+0,+0,+0,+0,+3.46170993421,+0,+0,+0,+0,+0,+0,+6.04433297742
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+4.32693533918,+0,+0,+0,+0,+0,+0,+3.46126996168,+0,+0,+0,+0,+0,+0,+6.04585753627
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+4.32638204624,+0,+0,+0,+0,+0,+0,+3.46082737566,+0,+0,+0,+0,+0,+0,+6.04458131489
2010-08-16 00:39:30 UTC,+0,+3.02908803187,+0,+0,+0,+4.32709630615,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.04162751414
2010-08-16 00:40:00 UTC,+0,+3.02766176166,+0,+0,+0,+4.32505887153,+0,+0,+0,+0,+0,+5.18984977035,+0,+0,+0,+0,+0,+0,+0,+6.04291280617
2010-08-16 00:40:30 UTC,+0,+3.02761162239,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.18976382608,+0,+0,+0,+0,+0,+0,+0,+6.04312999602
2010-08-16 00:41:00 UTC,+0,+3.02759296446,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.18973184432,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+3.02695690954,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.18864157568,+0,+0,+0,+6.0439031036,+0,+0,+6.04369346632,+0
2010-08-16 00:42:00 UTC,+0,+3.02586847241,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.18677587368,+0,+0,+0,+6.04146999786,+0,+0,+6.04126046157,+0
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.18903347402,+0,+0,+0,+6.04206325605,+0,+0,+6.04185369513,+0
2010-08-16 00:43:00 UTC,+0,+0,+0,+0,+3.89026175131,+0,+0,+0,+0,+0,+0,+5.18691504163,+0,+0,+0,+6.0433162837,+0,+0,+6.04310667077,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,+3.89210515686,+0,+0,+0,+0,+0,+3.45967838578,+5.18937286062,+0,+0,+0,+6.04467424473,+0,+0,+6.04446457545,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,+3.89283220681,+0,+0,+0,+0,+0,+3.46032465965,+5.19034223884,+0,+0,+0,+6.04205942254,+0,+0,+6.04184986178,+0
2010-08-16 00:44:30 UTC,+0,+0,+0,+0,+3.89151317393,+0,+0,+0,+0,+0,+3.45915217283,+0,+0,+0,+0,+6.04124858826,+0,+0,+6.04103906116,+0
2010-08-16 00:45:00 UTC,+0,+0,+0,+0,+3.88948131162,+0,+0,+0,+4.75325189953,+0,+3.45734605275,+0,+0,+4.75362003041,+2.5897607478,+6.04173997779,+0,+0,+6.0415304303,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+3.88858483857,+0,+0,+0,+4.75215636858,+0,+3.45654917888,+0,+0,+4.75252439084,+2.59101269822,+6.04466056856,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+3.88937386019,+0,+0,+0,+4.75312058901,+0,+3.4572505393,+0,+0,+4.75348870685,+2.59174596206,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+4.32237844231,+0,+4.75430716243,+0,+0,+0,+0,+4.75467539792,+2.59180277405,+0,+0,+0,+0,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,+0,+0,+4.31954698873,+0,+4.75119281441,+0,+0,+0,+0,+4.7515607412,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,+0,+0,+0,+0,+0,+0,+4.31908473057,+0,+4.7506843714,+0,+0,+0,+0,+4.75105224779,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,+0,+0,+0,+0,+0,+0,+4.32076585477,+0,+4.75253345906,+0,+0,+0,+0,+4.75290151872,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,+0,+0,+4.31782296464,+0,+4.74929654069,+0,+0,+0,+0,+4.74966427951,+0,+0,+3.02277993809,+0,+0,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+0,+0,+4.32106156514,+5.61731224156,+4.75285871426,+0,+0,+0,+0,+0,+0,+0,+3.02091608878,+0,+0,+0
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+0,+0,+4.32169905574,+5.6181409668,+0,+0,+0,+0,+0,+0,+0,+0,+3.02147392271,+0,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,+0,+0,+4.31818540046,+5.61357328408,+0,+0,+0,+0,+0,+0,+0,+0,+3.02302101754,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,+0,+0,+0,+5.61410878822,+0,+4.31876840782,+0,+0,+0,+0,+0,+0,+3.02269534879,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,+0,+0,+0,+5.61793231377,+0,+4.32170977534,+0,+0,+0,+0,+0,+0,+3.02245319797,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,+0,+0,+0,+0,+0,+0,+5.61279392052,+0,+4.3177569044,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,+0,+0,+0,+5.61214462597,+0,+4.31725741411,+0,+0,+0,+0,+0,+0,+0,+3.88659923203,+0,+0
2010-08-16 00:52:30 UTC,+0,+0,+0,+0,+0,+0,+0,+5.61244726622,+0,+4.31749022966,+0,+0,+0,+0,+0,+0,+0,+3.88621688581,+0,+0
2010-08-16 00:53:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.31779935149,+0,+0,+0,+0,+0,+0,+0,+3.88959186983,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.31905577486,+0,+0,+3.45509144354,+0,+0,+0,+0,+3.88856995402,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.45675514718,+0,+0,+0,+0,+3.88736241683,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.45827359068,+0,+0,+0,+0,+3.88641192631,+0,+0
2010-08-16 00:55:00 UTC,+0,+0,+0,+2.16317231569,+0,+0,+0,+0,+0,+0,+0,+0,+3.46054928447,+0,+0,+0,+0,+3.88404138884,+0,+0
2010-08-16 00:55:30 UTC,+0,+0,+0,+2.16354493687,+0,+0,+0,+0,+0,+0,+0,+0,+3.4611453605,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:00 UTC,+0,+0,+0,+2.16216149555,+0,+4.32401293305,+0,+0,+0,+0,+0,+0,+3.45893229208,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:30 UTC,+0,+0,+0,+2.16292749165,+0,+4.3255447896,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:00 UTC,+0,+0,+0,+0,+0,+4.32908851915,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:30 UTC,+0,+0,+0,+0,+0,+4.33046507561,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:00 UTC,+0,+0,+0,+0,+0,+4.33037548618,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.04417304294,+0
2010-08-16 00:58:30 UTC,+0,+0,+0,+0,+0,+4.32910071647,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.04087044082,+0
2010-08-16 00:59:00 UTC,+0,+0,+0,+0,+0,+4.3263685113,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.04232690906,+0
2010-08-16 00:59:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.04310336674,+0
2010-08-16 01:00:00 UTC,+0,+0,+0,+0,+3.89132951169,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.043642069,+0
