# file...... Output/hvac/house_hvac_file_013.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_1_13C_tm_1_C_13_Meter_30_241:hvac_load,house_1_14C_tm_1_C_14_Meter_30_242:hvac_load,house_1_15C_tm_1_C_15_Meter_30_243:hvac_load,house_1_1C_tm_1_C_1_Meter_31_244:hvac_load,house_1_2C_tm_1_C_2_Meter_31_245:hvac_load,house_1_3C_tm_1_C_3_Meter_31_246:hvac_load,house_1_4C_tm_1_C_4_Meter_31_247:hvac_load,house_1_5C_tm_1_C_5_Meter_31_248:hvac_load,house_1_6C_tm_1_C_6_Meter_31_249:hvac_load,house_1_7C_tm_1_C_7_Meter_31_250:hvac_load,house_1_8C_tm_1_C_8_Meter_31_251:hvac_load,house_1_1C_tm_1_C_1_Meter_32_252:hvac_load,house_1_2C_tm_1_C_2_Meter_32_253:hvac_load,house_1_3C_tm_1_C_3_Meter_32_254:hvac_load,house_1_4C_tm_1_C_4_Meter_32_255:hvac_load,house_1_5C_tm_1_C_5_Meter_32_256:hvac_load,house_1_6C_tm_1_C_6_Meter_32_257:hvac_load,house_1_7C_tm_1_C_7_Meter_32_258:hvac_load,house_1_8C_tm_1_C_8_Meter_32_259:hvac_load,house_1_1A_tm_1_A_1_Meter_33_260:hvac_load
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.6148190906,+0,+0,+0,+2.15981256838,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.61618427429,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.61640154375,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.62043873793,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.6177103629,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,+5.59880139909,+0,+0,+0,+0,+0,+3.02255345039,+3.88579938307,+0,+5.61254040447,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,+5.6002387265,+0,+0,+0,+0,+0,+3.02333676652,+3.88680638847,+0,+5.61399487761,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:00 UTC,+5.59517251577,+0,+0,+0,+5.60826638398,+0,+3.02028577221,+3.88288413085,+0,+5.6083297458,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:30 UTC,+5.59689243706,+4.30578026276,+0,+0,+5.61033925144,+0,+3.0214021428,+3.88431930003,+0,+5.61040263936,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,+5.60122954493,+4.30911696408,+0,+0,+5.61522342439,+0,+3.02403257964,+3.88770090286,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,+5.60091117098,+4.30887202694,+0,+0,+5.61514044045,+0,+0,+3.88764344816,+0,+0,+0,+0,+0,+0,+0,+1.29610609556,+0,+0,+0,+0
