# file...... Output/hvac/house_hvac_file_015.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_7C_tm_0_C_7_Meter_34_281:hvac_load,house_0_8C_tm_0_C_8_Meter_34_282:hvac_load,house_0_9C_tm_0_C_9_Meter_34_283:hvac_load,house_0_10C_tm_0_C_10_Meter_34_284:hvac_load,house_0_11C_tm_0_C_11_Meter_34_285:hvac_load,house_0_12C_tm_0_C_12_Meter_34_286:hvac_load,house_0_13C_tm_0_C_13_Meter_34_287:hvac_load,house_0_14C_tm_0_C_14_Meter_34_288:hvac_load,house_0_15C_tm_0_C_15_Meter_34_289:hvac_load,house_2_1A_tm_2_A_1_Meter_35_290:hvac_load,house_2_2A_tm_2_A_2_Meter_35_291:hvac_load,house_2_3A_tm_2_A_3_Meter_35_292:hvac_load,house_2_4A_tm_2_A_4_Meter_35_293:hvac_load,house_2_5A_tm_2_A_5_Meter_35_294:hvac_load,house_2_6A_tm_2_A_6_Meter_35_295:hvac_load,house_2_7A_tm_2_A_7_Meter_35_296:hvac_load,house_2_8A_tm_2_A_8_Meter_35_297:hvac_load,house_2_9A_tm_2_A_9_Meter_35_298:hvac_load,house_2_10A_tm_2_A_10_Meter_35_299:hvac_load,house_2_11A_tm_2_A_11_Meter_35_300:hvac_load
2010-08-16 00:36:00 UTC,+5.61360016902,+0,+0,+0,+6.90930900796,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+5.61169971069,+0,+0,+0,+6.90696986234,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+5.61130909109,+0,+0,+0,+6.9064890751,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+5.61027586457,+0,+0,+0,+6.90521734645,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+6.90766984179,+0,+2.15896149952,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+6.90941214942,+0,+2.15950606654,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+0,+2.15905020478,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+0,+2.15799511762,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,+3.0216021881,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.45221043731,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,+3.02171078882,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.45208370821,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+3.02189854348,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.45178629236,+0,+0,+4.31431741209,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+3.02219704925,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.45096622687,+0,+0,+4.31329245996,+0,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,+3.02098037477,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.44966527828,+0,+0,+4.31166647999,+0,+0,+0,+0,+0
2010-08-16 00:42:30 UTC,+0,+3.02127703352,+0,+5.17886443425,+0,+0,+0,+1.29497316609,+0,+0,+0,+0,+0,+0,+4.31322657542,+0,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,+0,+0,+0,+5.17993844505,+0,+0,+0,+1.29524173541,+0,+0,+5.17308949947,+0,+0,+0,+4.31112822416,+0,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,+5.18110239767,+0,+0,+0,+1.29553279574,+0,+0,+5.17664416346,+0,+0,+0,+4.31409062627,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,+5.17886114843,+0,+1.72667310083,+0,+1.29497234443,+0,+0,+5.17747150007,+0,+0,+0,+4.31478011583,+0,+0,+5.17791972161,+0,+0
2010-08-16 00:44:30 UTC,+0,+0,+0,+5.17816615597,+0,+1.72644137102,+0,+0,+0,+0,+5.17505275485,+0,+0,+0,+4.31276437089,+0,+0,+5.17550070978,+0,+0
2010-08-16 00:45:00 UTC,+0,+0,+0,+5.17858734194,+0,+1.72658180612,+0,+0,+0,+0,+5.17364591056,+0,+0,+0,+4.31159192858,+0,+0,+5.17409371042,+4.31132997535,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,+5.18109067537,+0,+1.72741648712,+0,+0,+0,+0,+5.17258292479,+0,+0,+0,+0,+0,+0,+5.17303060744,+4.31044416615,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17363088881,+0,+0,+0,+0,+0,+0,+5.17407868699,+4.3113174574,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17524444419,+4.31228880115,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17188764147,+4.30949181267,+0
2010-08-16 00:47:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.58549374794,+0,+0,+4.73944052107,+0,+5.17090373329,+4.30867199092,+0
2010-08-16 00:48:00 UTC,+0,+0,+4.74919425178,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.5862656039,+0,+0,+4.74085534911,+0,+5.17244742056,+4.30995823736,+2.58639365362
2010-08-16 00:48:30 UTC,+0,+0,+4.74959853594,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.58449893526,+4.73773847101,+0,+4.73761700874,+0,+5.16891413967,+0,+2.58462686406
2010-08-16 00:49:00 UTC,+0,+0,+4.74667000549,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.5861981018,+4.74085320896,+0,+4.74073161636,+0,+5.17231241852,+0,+2.5863261469
2010-08-16 00:49:30 UTC,+0,+0,+4.74754648924,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.5861231415,+4.74071579941,+0,+4.74059421255,+0,+5.17216250032,+0,+2.58625118148
2010-08-16 00:50:00 UTC,+0,+0,+4.74997732648,+0,+0,+0,+2.15940791084,+0,+0,+0,+0,+0,+2.58447481877,+4.73769426315,+0,+4.73757280273,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,+5.61282410814,+0,+4.74946562693,+0,+0,+0,+2.15917527632,+0,+0,+0,+0,+0,+0,+4.73838387895,+0,+4.73826238967,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,+5.61237447468,+0,+4.74908515301,+0,+0,+0,+2.15900230105,+0,+0,+0,+0,+0,+0,+4.74180746254,+0,+4.74168583002,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,+5.61376207484,+0,+4.75025932202,+0,+0,+0,+2.15953611478,+0,+0,+0,+0,+0,+0,+4.73797835364,+0,+4.73785688134,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+5.61324286824,+0,+4.74981997623,+0,+0,+0,+0,+0,+5.61293270935,+0,+0,+0,+0,+0,+0,+4.73726133291,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,+5.61269068206,+0,+0,+0,+0,+0,+0,+0,+5.61238056098,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
