# file...... Output/hvac/house_hvac_file_056.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_4B_tm_3_B_4_Meter_95_1101:hvac_load,house_3_5B_tm_3_B_5_Meter_95_1102:hvac_load,house_3_6B_tm_3_B_6_Meter_95_1103:hvac_load,house_3_7B_tm_3_B_7_Meter_95_1104:hvac_load,house_3_8B_tm_3_B_8_Meter_95_1105:hvac_load,house_3_1B_tm_3_B_1_Meter_96_1106:hvac_load,house_3_2B_tm_3_B_2_Meter_96_1107:hvac_load,house_3_3B_tm_3_B_3_Meter_96_1108:hvac_load,house_3_4B_tm_3_B_4_Meter_96_1109:hvac_load,house_3_5B_tm_3_B_5_Meter_96_1110:hvac_load,house_3_6B_tm_3_B_6_Meter_96_1111:hvac_load,house_3_7B_tm_3_B_7_Meter_96_1112:hvac_load,house_3_8B_tm_3_B_8_Meter_96_1113:hvac_load,house_3_1A_tm_3_A_1_Meter_98_1114:hvac_load,house_3_2A_tm_3_A_2_Meter_98_1115:hvac_load,house_3_3A_tm_3_A_3_Meter_98_1116:hvac_load,house_3_4A_tm_3_A_4_Meter_98_1117:hvac_load,house_3_5A_tm_3_A_5_Meter_98_1118:hvac_load,house_3_6A_tm_3_A_6_Meter_98_1119:hvac_load,house_3_7A_tm_3_A_7_Meter_98_1120:hvac_load
2010-08-16 09:50:30 UTC,+0,+0,+5.64077434803,+0,+0,+6.07223050817,+5.63862475125,+3.03661507327,+1.73543417462,+0,+3.90415691712,+4.33778311778,+0,+4.34928883348,+0,+3.0446787241,+0,+0,+5.65366611982,+0
2010-08-16 09:51:00 UTC,+0,+0,+5.64015054102,+0,+0,+0,+5.63822579453,+3.03640021262,+1.73531137598,+5.20490534879,+3.90388067202,+4.33747619404,+0,+4.35826716905,+0,+3.05096402233,+0,+0,+5.66533693931,+0
2010-08-16 09:51:30 UTC,+0,+0,+5.6409904531,+0,+0,+0,+5.63932818726,+3.03699391316,+1.73565069182,+5.20592303221,+3.90464398941,+0,+0,+4.35896954484,+0,+3.05145572162,+0,+0,+5.66624994828,+0
2010-08-16 09:52:00 UTC,+6.07223143025,+0,+5.63868717445,+0,+0,+0,+5.63740318446,+3.03595719073,+0,+5.2041459491,+3.9033110813,+0,+0,+4.3540125281,+4.78916968371,+3.04798555413,+0,+0,+5.65980638787,+0
2010-08-16 09:52:30 UTC,+6.08173647678,+0,+5.64751365457,+1.7378532349,+0,+0,+5.64670590968,+0,+0,+5.21273384097,+0,+0,+0,+0,+4.79053559962,+3.04885489175,+4.35506371904,+0,+5.66142061233,+0
2010-08-16 09:53:00 UTC,+6.07038842661,+2.16825826329,+5.63697574305,+1.73461043579,+0,+0,+5.63604076701,+0,+0,+5.20288822156,+0,+0,+0,+0,+4.78860921038,+3.04762884073,+4.35331244586,+0,+0,+0
2010-08-16 09:53:30 UTC,+6.06948642682,+2.16793607146,+5.6361381371,+1.73435268187,+0,+0,+5.63520333182,+0,+0,+5.20211513591,+0,+0,+0,+0,+4.78489252453,+3.04526335482,+4.3499336208,+0,+0,+0
2010-08-16 09:54:00 UTC,+6.06890718165,+2.16772916672,+5.63560024432,+1.73418715778,+3.90158713466,+0,+5.63479439246,+0,+0,+5.20173762,+0,+0,+0,+0,+4.77915373806,+3.04161090229,+4.34471651177,+0,+0,+0
2010-08-16 09:54:30 UTC,+6.07034658107,+2.1682433162,+5.63693688488,+0,+3.90251250089,+0,+5.63600191201,+0,+0,+5.20285235225,+0,+0,+0,+0,+4.7807154604,+0,+4.34613626763,+0,+0,+0
2010-08-16 09:55:00 UTC,+6.06064887141,+2.16477932129,+5.62793149567,+0,+3.89627800287,+0,+5.62699835891,+0,+0,+5.19454064356,+0,+0,+0,+0,+4.78060718534,+0,+4.34603783519,+4.78057330907,+0,+0
2010-08-16 09:55:30 UTC,+6.05496342669,+2.16274849621,+5.62265193538,+0,+3.89262292404,+0,+5.62135389989,+0,+0,+5.18932991192,+0,+0,+6.05380099676,+0,+4.77437609224,+0,+4.34037317208,+4.77434225398,+0,+0
2010-08-16 09:56:00 UTC,+6.06203554898,+2.16527463869,+0,+0,+3.89716947507,+0,+5.62719545475,+0,+1.73191624302,+5.19472259433,+0,+4.3289903775,+6.06009196772,+0,+0,+0,+4.33608259179,+4.76962267188,+0,+0
2010-08-16 09:56:30 UTC,+6.06544388195,+0,+0,+0,+3.89936063627,+0,+0,+3.0322096138,+1.73291633571,+5.19772209321,+0,+4.33149001526,+6.06359110947,+0,+0,+0,+4.32949482158,+4.76237621085,+0,+4.76200363638
2010-08-16 09:57:00 UTC,+6.06375208992,+0,+0,+1.73271404763,+3.898273011,+6.06147378027,+0,+3.03123556532,+1.73235964068,+5.19605244189,+0,+4.33009860835,+6.06164333526,+4.32190508939,+0,+0,+4.32171635162,+4.75381999548,+0,+4.75344837017
2010-08-16 09:57:30 UTC,+6.06519537825,+0,+0,+1.73312647923,+3.89920087733,+6.06291621448,+0,+3.03195693589,+1.73277192345,+5.19728896898,+0,+4.33112907041,+6.06308583739,+4.32057516414,+0,+0,+4.32038650189,+4.75235717813,+5.61634160324,+4.75198571524
2010-08-16 09:58:00 UTC,+0,+0,+0,+1.73518197581,+3.90382522261,+6.07022877907,+0,+3.03561399588,+1.73486203192,+0,+0,+4.33635310063,+6.07039874604,+4.32013455609,+0,+0,+4.31994591883,+4.75187254251,+5.61576886268,+4.75150113339
2010-08-16 09:58:30 UTC,+0,+0,+0,+1.73256000955,+3.89792646445,+6.06127370924,+0,+3.03113550853,+1.73230245552,+0,+0,+4.3299556794,+6.0614432548,+4.32543646918,+0,+3.02798083689,+4.32524753098,+4.75770424669,+5.62266074871,+4.75733219038
2010-08-16 09:59:00 UTC,+0,+0,+0,+0,+3.89332562291,+6.05380586746,+0,+3.02740079304,+1.73016796463,+0,+3.89231016955,+4.32462072007,+6.05397506117,+4.33035275393,+0,+3.03142249037,+4.33016353676,+4.7631117888,+5.62905136163,+4.76273913272
2010-08-16 09:59:30 UTC,+0,+2.16517222562,+0,+0,+3.89698515204,+6.05957171723,+0,+3.03028433147,+1.73181598484,+0,+3.89601751851,+4.32873979159,+6.05974118264,+4.33244423268,+0,+3.03288663357,+0,+4.7654122576,+5.63177004704,+4.76503934653
2010-08-16 10:00:00 UTC,+0,+2.16586038854,+0,+0,+0,+6.0613948539,+0,+3.03119609374,+0,+0,+3.89718976607,+4.33004222406,+6.06156440517,+4.33880490127,+0,+3.03733943023,+0,+4.772408513,+5.64003819546,+4.77203482674
2010-08-16 10:00:30 UTC,+0,+2.16824689025,+5.63694617644,+0,+0,+6.06846845572,+0,+0,+0,+0,+3.90173797811,+4.3350955415,+6.06863833989,+4.33708812479,+0,+3.03613759801,+0,+0,+5.63780658054,+4.77014671131
2010-08-16 10:01:00 UTC,+0,+2.16717332791,+5.63415522344,+0,+0,+6.06564915296,+0,+0,+0,+0,+3.89992521191,+4.33308145706,+6.06581890449,+4.33489986292,+4.76814706585,+3.03460570162,+0,+0,+5.63495636758,+4.76774005514
2010-08-16 10:01:30 UTC,+0,+2.16793691316,+5.63614032523,+1.73435335522,+0,+6.06784761797,+0,+0,+0,+0,+3.90133878948,+4.33465202064,+6.06801747295,+4.34476209119,+4.77899483887,+3.04150977081,+0,+0,+5.64777612127,+4.77858656081
2010-08-16 10:02:00 UTC,+0,+2.16820277699,+5.63683149467,+1.73456604667,+0,+6.06890265132,+5.63552521027,+0,+0,+0,+3.90201715889,+0,+0,+4.35237109463,+4.78736421965,+0,+0,+0,+5.65766694405,+0
2010-08-16 10:02:30 UTC,+0,+2.16569986581,+5.63032464625,+1.73256371414,+0,+6.06197328616,+5.62909058509,+0,+0,+0,+3.8975572134,+0,+0,+0,+4.79989597417,+0,+0,+0,+5.67247680483,+0
2010-08-16 10:03:00 UTC,+0,+0,+5.62881930169,+1.73210047906,+0,+6.06027579863,+5.62751429405,+0,+0,+0,+3.8964657587,+0,+0,+0,+4.80559899851,+0,+0,+0,+5.67921656314,+0
2010-08-16 10:03:30 UTC,+0,+0,+5.62065959502,+1.72958951737,+0,+6.05104135435,+5.61893916644,+0,+1.72937779934,+5.18710924188,+3.89052817249,+0,+0,+0,+4.80856054929,+0,+0,+0,+5.68271648447,+0
2010-08-16 10:04:00 UTC,+6.05520384096,+0,+5.62287518644,+0,+0,+6.05357964798,+5.62129623218,+0,+1.73010330559,+5.18928519491,+3.89216025103,+0,+0,+0,+4.79605082181,+0,+0,+0,+5.66793265489,+0
2010-08-16 10:04:30 UTC,+6.05961911227,+0,+5.62697525116,+0,+3.89561598768,+6.05793413276,+5.62533981742,+3.02946536501,+1.73134792337,+5.1930180782,+3.89496010858,+0,+0,+0,+4.79731885457,+0,+0,+0,+0,+0
2010-08-16 10:05:00 UTC,+6.05042716221,+0,+5.61843951519,+0,+3.88970663427,+6.04874587864,+5.61680758203,+3.02487026008,+1.72872169652,+5.18514144473,+3.88905222178,+0,+0,+0,+4.79699283378,+0,+0,+0,+0,+0
2010-08-16 10:05:30 UTC,+6.06107756638,+0,+5.62832958608,+0,+3.8965489445,+0,+5.62678980289,+3.03024626645,+1.73179422964,+5.19435664931,+3.89596410683,+0,+0,+0,+0,+0,+4.36231694705,+4.798480118,+0,+0
2010-08-16 10:06:00 UTC,+6.05852048237,+2.16401906664,+5.62595505254,+0,+3.89490504118,+0,+5.62431638926,+3.02891418942,+1.7310329116,+5.19207328844,+3.89425146688,+0,+0,+0,+0,+3.05318130197,+4.36124349983,+4.79729934022,+0,+0
2010-08-16 10:06:30 UTC,+6.05700953145,+2.16347935916,+0,+1.73078730565,+3.89393367801,+0,+5.62275949504,+3.02807571137,+1.73055369872,+5.19063602324,+0,+4.32558482612,+0,+0,+0,+3.05183657353,+4.35932270941,+4.79518649605,+0,+0
2010-08-16 10:07:00 UTC,+6.06232822359,+2.16537918123,+0,+1.73230716602,+3.89735296953,+0,+5.62732804119,+3.03053222787,+1.73195989966,+5.19485353031,+0,+4.32909949323,+6.06024471445,+4.35078707183,+0,+3.04572756831,+4.35059669641,+4.78558319881,+0,+0
2010-08-16 10:07:30 UTC,+6.06400249925,+2.16597722786,+0,+1.73278560418,+3.89842933125,+0,+5.62888186807,+3.03136905184,+1.73243816841,+5.19628796388,+0,+4.33029488102,+6.06191808941,+4.33991053592,+0,+3.03811343156,+4.33972077681,+4.77361985365,+0,+4.77324241959
2010-08-16 10:08:00 UTC,+6.05833941851,+2.16395439113,+0,+1.7311673319,+3.89478863848,+0,+5.62380142365,+3.02863294419,+0,+5.19159789188,+0,+4.32638640109,+6.05644676655,+4.33439041312,+0,+3.03424906046,+4.33420096696,+4.76754814712,+0,+4.76717139469
2010-08-16 10:08:30 UTC,+6.06412257977,+2.16602012027,+0,+0,+3.89850652885,+0,+5.62929567305,+0,+0,+5.19666997279,+0,+4.33061322883,+6.06236373165,+4.32513986377,+0,+3.02777319777,+4.32494619868,+4.75737326124,+0,+4.75699765228
