# file...... Output/hvac/house_hvac_file_023.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_14A_tm_2_A_14_Meter_48_441:hvac_load,house_2_15A_tm_2_A_15_Meter_48_442:hvac_load,house_2_16A_tm_2_A_16_Meter_48_443:hvac_load,house_2_17A_tm_2_A_17_Meter_48_444:hvac_load,house_2_18A_tm_2_A_18_Meter_48_445:hvac_load,house_2_19A_tm_2_A_19_Meter_48_446:hvac_load,house_2_20A_tm_2_A_20_Meter_48_447:hvac_load,house_2_21A_tm_2_A_21_Meter_48_448:hvac_load,house_2_22A_tm_2_A_22_Meter_48_449:hvac_load,house_2_23A_tm_2_A_23_Meter_48_450:hvac_load,house_2_24A_tm_2_A_24_Meter_48_451:hvac_load,house_2_25A_tm_2_A_25_Meter_48_452:hvac_load,house_2_26A_tm_2_A_26_Meter_48_453:hvac_load,house_2_27A_tm_2_A_27_Meter_48_454:hvac_load,house_2_28A_tm_2_A_28_Meter_48_455:hvac_load,house_2_29A_tm_2_A_29_Meter_48_456:hvac_load,house_2_1B_tm_2_B_1_Meter_48_457:hvac_load,house_2_2B_tm_2_B_2_Meter_48_458:hvac_load,house_2_3B_tm_2_B_3_Meter_48_459:hvac_load,house_2_4B_tm_2_B_4_Meter_48_460:hvac_load
2010-08-16 10:13:00 UTC,+4.72140962656,+3.43398802993,+0,+4.29219680226,+0,+3.00480408378,+0,+3.00486422958,+0,+2.14634051713,+5.15084473714,+1.71710368776,+0,+2.14640315348,+4.72227374838,+5.1504303875,+5.16456069264,+3.44323692557,+5.1645609939,+3.0129894661
2010-08-16 10:13:30 UTC,+4.72008984657,+3.43302810717,+0,+4.2909970048,+0,+3.0039641296,+0,+3.0040242516,+0,+2.14574052976,+5.1494049028,+1.71662368678,+0,+2.14580314377,+4.7200152025,+5.1489906933,+5.16375522803,+3.44269991058,+5.16375032033,+3.01251954744
2010-08-16 10:14:00 UTC,+4.71997911088,+3.43294756519,+0,+4.2908963362,+0,+0,+1.71652898187,+3.00395377356,+0,+2.14569018804,+5.149284094,+1.71658341247,+0,+2.14575280017,+4.71990446896,+5.14886989624,+5.15955149826,+3.4398972227,+5.15954658281,+3.01006703606
2010-08-16 10:14:30 UTC,+4.72159599739,+0,+0,+4.29236622993,+0,+0,+1.71711701303,+0,+0,+2.14642524349,+5.15104806128,+1.71717147042,+0,+2.14648788299,+4.72152132409,+5.15063369183,+5.15715657333,+3.43830049133,+5.15715165345,+3.00866980523
2010-08-16 10:15:00 UTC,+4.71699232006,+0,+0,+4.28818107756,+0,+0,+1.71544274229,+0,+0,+2.14433235809,+5.14602560847,+1.71549712342,+0,+2.14439491966,+4.7169177361,+5.14561172785,+5.15769823038,+0,+5.1576933115,+3.00898581511
2010-08-16 10:15:30 UTC,+4.71638988523,+0,+1.71526623116,+4.28763341069,+0,+0,+1.71522364808,+0,+5.14604554933,+0,+0,+1.71527801922,+3.00152963787,+2.14412103554,+4.71631531297,+5.14495455626,+5.15691880878,+0,+5.15691388846,+3.00853109027
2010-08-16 10:16:00 UTC,+4.72115065981,+0,+1.71699769836,+4.29196137844,+0,+0,+1.71695505215,+0,+5.15003823974,+0,+0,+1.71700950216,+3.00455945754,+2.1462854198,+4.72107599515,+5.15014789122,+5.15553014155,+0,+5.15552521865,+3.00772092345
2010-08-16 10:16:30 UTC,+4.71901319275,+0,+1.71622031348,+4.29001823066,+0,+0,+1.71617769561,+0,+5.1477066393,+0,+0,+0,+3.00319914532,+2.14531366614,+4.71893856958,+5.14781621553,+5.15290237407,+0,+5.15289744629,+3.0061878492
2010-08-16 10:17:00 UTC,+4.71547825489,+0,+1.71493467629,+4.28680465759,+5.57284216337,+0,+1.7148921053,+0,+5.14385064412,+0,+0,+0,+3.00094946431,+0,+4.71540370031,+5.14396009586,+5.15589270563,+0,+5.15588778341,+0
2010-08-16 10:17:30 UTC,+4.71164086702,+0,+1.71353903963,+4.28331613059,+5.56830705936,+0,+1.71349651957,+0,+5.13966472933,+0,+0,+0,+2.99850730008,+0,+4.71156638693,+5.13977404585,+0,+0,+5.15804605591,+0
2010-08-16 10:18:00 UTC,+0,+0,+1.71308028216,+4.28216942255,+5.56681633269,+2.99778411585,+1.71303777884,+2.99784406264,+5.13828878411,+0,+0,+0,+2.99770454024,+0,+4.71030502989,+5.13839805616,+0,+0,+0,+0
2010-08-16 10:18:30 UTC,+0,+0,+1.7129820119,+4.28192378667,+5.5664970047,+2.99761215107,+0,+2.99767209298,+5.13799404341,+0,+0,+0,+2.99753258136,+0,+4.71003483508,+5.13810330594,+0,+0,+0,+0
2010-08-16 10:19:00 UTC,+0,+0,+0,+4.2755787253,+5.55824839036,+2.9931701002,+0,+2.99322991604,+5.13038054766,+2.13802877022,+0,+1.71045532052,+2.99309068296,+0,+4.70305538814,+5.13048956398,+0,+3.43680934593,+0,+0
2010-08-16 10:19:30 UTC,+0,+3.41548639571,+0,+4.26907180434,+5.54978935747,+2.98861473438,+0,+2.98867442081,+5.12257283535,+2.13477483282,+0,+1.70785210669,+2.98853547357,+2.13483851355,+4.69589789864,+5.12268159889,+0,+3.44137770444,+0,+0
2010-08-16 10:20:00 UTC,+0,+3.41808886341,+0,+4.27232460105,+5.55401801103,+2.99089195264,+0,+2.99095170378,+5.12647589501,+2.13640146962,+0,+1.70915240402,+2.99081261362,+2.13646521333,+4.69947591326,+5.12658478495,+0,+3.43798224038,+0,+0
2010-08-16 10:20:30 UTC,+0,+3.42392047783,+0,+4.2796134743,+5.56349358607,+2.99599474749,+0,+2.9960546435,+5.135221879,+2.14004644027,+0,+1.71206844847,+2.99591523329,+2.14011032502,+0,+0,+0,+3.4340298899,+0,+0
2010-08-16 10:21:00 UTC,+0,+3.42533897523,+0,+0,+5.56579845012,+2.99723596488,+1.71272454625,+2.99729589612,+5.13734927542,+2.14093305262,+5.13787160395,+1.71277775486,+2.99715640807,+2.14099697167,+0,+0,+0,+3.43702326141,+0,+0
2010-08-16 10:21:30 UTC,+0,+3.42445597254,+1.71232550436,+0,+5.5643636916,+2.99646331751,+1.71228302859,+2.99652322683,+5.13602498896,+2.14038114391,+5.13654714576,+1.71233621762,+2.99638378721,+2.14044504161,+0,+0,+0,+3.43848959145,+0,+3.0088352786
2010-08-16 10:22:00 UTC,+4.70790095245,+3.42416668983,+1.71218085236,+0,+5.56389364684,+2.99621018857,+1.71213838188,+2.9962700907,+5.13559113628,+2.14020033171,+5.13611323674,+1.71219156448,+2.99613066698,+2.14026422241,+0,+0,+5.15660356743,+3.43793179424,+0,+3.0083471743
2010-08-16 10:22:30 UTC,+4.70982249182,+3.42556429694,+1.71287970728,+0,+5.56616456707,+2.99743312648,+1.71283721127,+0,+5.13768720247,+2.14107388686,+5.13820957483,+1.71289042488,+2.99735356291,+2.14113781136,+0,+0,+5.16375805627,+3.44270179621,+5.16375314858,+3.01252119746
2010-08-16 10:23:00 UTC,+4.71503583525,+3.42935615551,+1.71477577583,+0,+5.57232581838,+3.00075108868,+1.71473321064,+0,+5.14337405616,+2.14344393598,+5.14389716587,+1.71478650831,+3.00067141128,+2.14350795212,+0,+0,+5.15817023574,+3.43897631485,+5.15816531773,+3.00926118929
