# file...... Output/hvac/house_hvac_file_051.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_2C_tm_3_C_2_Meter_85_1001:hvac_load,house_3_3C_tm_3_C_3_Meter_85_1002:hvac_load,house_3_4C_tm_3_C_4_Meter_85_1003:hvac_load,house_3_5C_tm_3_C_5_Meter_85_1004:hvac_load,house_3_6C_tm_3_C_6_Meter_85_1005:hvac_load,house_3_7C_tm_3_C_7_Meter_85_1006:hvac_load,house_3_8C_tm_3_C_8_Meter_85_1007:hvac_load,house_3_9C_tm_3_C_9_Meter_85_1008:hvac_load,house_3_10C_tm_3_C_10_Meter_85_1009:hvac_load,house_3_11C_tm_3_C_11_Meter_85_1010:hvac_load,house_3_12C_tm_3_C_12_Meter_85_1011:hvac_load,house_3_13C_tm_3_C_13_Meter_85_1012:hvac_load,house_3_14C_tm_3_C_14_Meter_85_1013:hvac_load,house_3_15C_tm_3_C_15_Meter_85_1014:hvac_load,house_3_1B_tm_3_B_1_Meter_86_1015:hvac_load,house_3_2B_tm_3_B_2_Meter_86_1016:hvac_load,house_3_3B_tm_3_B_3_Meter_86_1017:hvac_load,house_3_4B_tm_3_B_4_Meter_86_1018:hvac_load,house_3_5B_tm_3_B_5_Meter_86_1019:hvac_load,house_3_6B_tm_3_B_6_Meter_86_1020:hvac_load
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.21774800118,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.2178900621,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.22099978861,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.21391745926,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.21174400041,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.21281794615,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.20805973944,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.20752182563,+0,+0,+5.20735319294,+3.03847902275,+0,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.21533709777,+3.03883646951,+0,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.21603830042,+3.03682508167,+0,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+3.91055923785,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.17285080494,+5.21421658141,+3.03212701352,+0,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,+3.91310537656,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.17426558989,+5.21761156345,+3.03810562927,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+3.91379276997,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.17464754623,+5.2185281232,+3.03960595878,+0,+0,+0,+2.60539580473,+0
2010-08-16 00:52:30 UTC,+0,+3.91235120531,+0,+0,+5.65093918896,+0,+0,+0,+0,+0,+0,+0,+2.17384652783,+5.21660596316,+3.03723099238,+0,+0,+0,+2.60336010256,+0
2010-08-16 00:53:00 UTC,+0,+3.91904208464,+0,+0,+5.66060333768,+0,+0,+0,+0,+0,+0,+0,+0,+5.22552747813,+0,+0,+4.76650921896,+0,+2.60024967568,+0
2010-08-16 00:53:30 UTC,+0,+3.91699870524,+5.65745849104,+0,+5.65765192854,+0,+0,+0,+0,+5.22245820264,+0,+0,+0,+0,+0,+0,+4.7628598732,+0,+2.59825881434,+0
2010-08-16 00:54:00 UTC,+0,+3.91334330596,+5.65217894367,+0,+5.6523721558,+0,+0,+0,+0,+5.21758457836,+0,+0,+0,+0,+0,+5.20117600321,+4.76778161447,+0,+2.6009438174,+0
2010-08-16 00:54:30 UTC,+0,+3.91002812205,+5.64739077448,+0,+5.64758378214,+3.04142553884,+0,+0,+0,+5.21316455216,+0,+0,+0,+0,+0,+5.19986562937,+4.76658042616,+0,+0,+0
2010-08-16 00:55:00 UTC,+0,+0,+5.64078405587,+0,+5.64097678135,+3.03786731085,+0,+0,+0,+5.20706579748,+0,+0,+0,+0,+0,+5.20846238949,+4.77446087019,+0,+0,+0
2010-08-16 00:55:30 UTC,+0,+0,+5.64080327598,+0,+5.64099600229,+3.0378776624,+0,+0,+0,+5.20708353985,+0,+1.73601011812,+0,+0,+0,+5.20337552482,+4.76979786323,+0,+0,+0
2010-08-16 00:56:00 UTC,+0,+0,+5.63958155475,+0,+5.63977422886,+3.03721967115,+0,+0,+0,+5.20595575182,+0,+1.73563410068,+0,+0,+0,+5.20446914617,+4.77080035972,+0,+0,+0
2010-08-16 00:56:30 UTC,+0,+0,+5.650266013,+0,+0,+0,+0,+0,+0,+5.21581872519,+0,+1.73892252848,+0,+0,+0,+5.20114798833,+0,+0,+0,+0
2010-08-16 00:57:00 UTC,+0,+0,+5.64948911425,+0,+0,+0,+0,+0,+0,+5.21510155905,+0,+1.73868341713,+0,+0,+0,+5.19600503927,+0,+0,+0,+0
2010-08-16 00:57:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.19501754191,+0,+0,+0,+0
2010-08-16 00:58:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:59:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:59:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.78350588112,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.78048393799,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.7781906721,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.78090557134,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.77986975526,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:02:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.7805845864,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:03:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.78192891756,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:03:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.78006146275,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
