# file...... Output/hvac/house_hvac_file_060.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_15C_tm_3_C_15_Meter_103_1181:hvac_load,house_3_1C_tm_3_C_1_Meter_104_1182:hvac_load,house_3_2C_tm_3_C_2_Meter_104_1183:hvac_load,house_3_3C_tm_3_C_3_Meter_104_1184:hvac_load,house_3_4C_tm_3_C_4_Meter_104_1185:hvac_load,house_3_5C_tm_3_C_5_Meter_104_1186:hvac_load,house_3_6C_tm_3_C_6_Meter_104_1187:hvac_load,house_3_7C_tm_3_C_7_Meter_104_1188:hvac_load,house_3_8C_tm_3_C_8_Meter_104_1189:hvac_load,house_3_9C_tm_3_C_9_Meter_104_1190:hvac_load,house_3_10C_tm_3_C_10_Meter_104_1191:hvac_load,house_3_11C_tm_3_C_11_Meter_104_1192:hvac_load,house_3_12C_tm_3_C_12_Meter_104_1193:hvac_load,house_3_13C_tm_3_C_13_Meter_104_1194:hvac_load,house_3_14C_tm_3_C_14_Meter_104_1195:hvac_load,house_3_15C_tm_3_C_15_Meter_104_1196:hvac_load,house_3_1B_tm_3_B_1_Meter_106_1197:hvac_load,house_3_2B_tm_3_B_2_Meter_106_1198:hvac_load,house_3_3B_tm_3_B_3_Meter_106_1199:hvac_load,house_3_4B_tm_3_B_4_Meter_106_1200:hvac_load
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+3.91834866424,+0,+0,+2.17695923397,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+5.66487475501,+0,+0,+0,+0,+0,+0,+0,+0,+2.17860376508,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+5.65880608576,+0,+0,+0,+0,+0,+0,+0,+0,+2.17664143275,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+5.65303834175,+0,+0,+6.08730171966,+0,+0,+0,+0,+0,+0,+6.0873641436,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:00 UTC,+2.17266969002,+5.64534258899,+0,+0,+6.07901498996,+0,+0,+0,+0,+0,+0,+6.07907731441,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:30 UTC,+2.17457871525,+5.65037780551,+0,+0,+6.08443687384,+0,+0,+0,+0,+0,+0,+6.08449926339,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,+2.17424222802,+5.64950378749,+0,+0,+6.0834957377,+0,+0,+0,+0,+0,+0,+6.08355811594,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,+2.17415520573,+5.64923174823,+0,+0,+6.08320280783,+0,+0,+0,+0,+0,+0,+6.08326518256,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:00 UTC,+2.17394825069,+5.64869419576,+0,+0,+6.08262397531,+0,+0,+0,+0,+0,+0,+6.08268634309,+0,+0,+0,+0,+0,+0,+3.48118702489,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+6.08306341093,+0,+0,+0,+0,+0,+0,+6.08312578398,+0,+0,+3.04204152922,+0,+0,+0,+3.47953944001,+0
