# file...... Output/hvac/house_hvac_file_058.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_13B_tm_3_B_13_Meter_99_1141:hvac_load,house_3_14B_tm_3_B_14_Meter_99_1142:hvac_load,house_3_15B_tm_3_B_15_Meter_99_1143:hvac_load,house_3_1C_tm_3_C_1_Meter_100_1144:hvac_load,house_3_2C_tm_3_C_2_Meter_100_1145:hvac_load,house_3_3C_tm_3_C_3_Meter_100_1146:hvac_load,house_3_4C_tm_3_C_4_Meter_100_1147:hvac_load,house_3_5C_tm_3_C_5_Meter_100_1148:hvac_load,house_3_6C_tm_3_C_6_Meter_100_1149:hvac_load,house_3_7C_tm_3_C_7_Meter_100_1150:hvac_load,house_3_8C_tm_3_C_8_Meter_100_1151:hvac_load,house_3_9C_tm_3_C_9_Meter_100_1152:hvac_load,house_3_10C_tm_3_C_10_Meter_100_1153:hvac_load,house_3_11C_tm_3_C_11_Meter_100_1154:hvac_load,house_3_12C_tm_3_C_12_Meter_100_1155:hvac_load,house_3_13C_tm_3_C_13_Meter_100_1156:hvac_load,house_3_14C_tm_3_C_14_Meter_100_1157:hvac_load,house_3_15C_tm_3_C_15_Meter_100_1158:hvac_load,house_3_1C_tm_3_C_1_Meter_102_1159:hvac_load,house_3_2C_tm_3_C_2_Meter_102_1160:hvac_load
2010-08-16 14:48:30 UTC,+0,+3.92227590741,+0,+0,+2.59961165896,+0,+1.73315953375,+5.63116604537,+0,+3.03286750294,+5.6316178973,+2.59953342287,+0,+6.06455394959,+3.0326155839,+3.46592337704,+3.03290865958,+5.63129261364,+4.32864963881,+3.46313440564
2010-08-16 14:49:00 UTC,+5.65956822581,+3.91834196551,+0,+3.02907754377,+2.59654619531,+0,+1.731115763,+5.6245262312,+5.62488513057,+3.02929114472,+5.62497740093,+2.59646809873,+0,+6.05740302379,+3.02903964633,+3.46183645868,+3.02933224967,+5.62465255978,+4.3241199889,+3.45951041573
2010-08-16 14:49:30 UTC,+5.65754314255,+3.91693990331,+0,+3.02529146872,+2.59330067411,+0,+1.7289519463,+5.61749641207,+5.61785467733,+3.02550472031,+5.61794685927,+2.59322272537,+5.61780500241,+6.04983207148,+3.02525366756,+3.45750948536,+3.02554577054,+5.61762248662,+4.3186440296,+0
2010-08-16 14:50:00 UTC,+5.65933696227,+3.9181818507,+2.61219343374,+3.02592273041,+2.59384180794,+0,+1.72931272486,+5.61866851114,+5.61902688218,+3.02613604028,+5.61911907887,+2.59376383453,+5.61897718672,+6.05109439505,+3.02588491318,+0,+3.02617709963,+5.61879462807,+4.31929436147,+0
2010-08-16 14:50:30 UTC,+5.65102684321,+3.91242835686,+2.60835764516,+3.02921662484,+2.59666541919,+0,+1.73119525057,+5.62478447089,+5.62514339354,+3.02943023862,+5.62523566715,+2.59658731718,+5.62509359103,+6.05768114194,+3.02917872386,+0,+0,+5.62491080879,+4.32354068153,+0
2010-08-16 14:51:00 UTC,+5.65459322515,+3.91489753407,+2.61000381738,+3.03599909294,+2.60247952543,+0,+1.73507156471,+5.63737786379,+5.63773792122,+3.03621333213,+5.63783035362,+2.60240115894,+5.63768789872,+6.07124393368,+3.03596101988,+0,+0,+0,+4.33286798789,+0
2010-08-16 14:51:30 UTC,+5.65407411575,+3.91453812973,+2.60976420661,+3.03675553848,+2.60312797005,+0,+1.73550388827,+5.63878239898,+5.63914258298,+3.03696984746,+5.63923503315,+2.60304957407,+5.63909253598,+6.07275658548,+3.03671744626,+0,+0,+0,+4.33420717263,+0
2010-08-16 14:52:00 UTC,+5.65915421244,+3.91805532423,+2.61210907999,+3.0364072072,+2.6028293715,+0,+1.73530481007,+5.63813563257,+5.6384957583,+3.03662148405,+5.63858820029,+2.6027509891,+5.63844572258,+6.07206003307,+3.0363691238,+0,+0,+0,+0,+0
2010-08-16 14:52:30 UTC,+5.65598643104,+3.91586211731,+2.61064689401,+3.04208316323,+2.60769494678,+4.7798575379,+1.7385487304,+5.64867450334,+5.64903557762,+3.04229796307,+5.6491281529,+2.60761634338,+5.64898535828,+6.08341015163,+3.04204493621,+0,+0,+0,+0,+0
2010-08-16 14:53:00 UTC,+5.65041621767,+0,+2.60807579235,+3.04278234624,+2.6082943044,+4.78095608276,+0,+5.64997271632,+5.65033390739,+0,+5.65042649912,+2.6082156738,+5.65028366546,+6.08480829677,+3.04274410155,+3.47749920069,+0,+0,+0,+0
2010-08-16 14:53:30 UTC,+5.65487980873,+0,+2.61013609877,+3.04145576303,+2.60715712323,+4.77887177702,+0,+5.64750957361,+5.64787054309,+0,+5.64796310361,+2.60707854425,+5.64782034402,+6.08215554944,+3.04141755187,+3.47598309485,+3.041711789,+0,+0,+3.47417704783
2010-08-16 14:54:00 UTC,+5.65490842916,+0,+2.61014930939,+3.04437106598,+2.60965619571,+4.7834522532,+0,+0,+5.65328403937,+0,+5.65337666849,+2.6095775033,+5.65323374614,+6.08798523442,+3.04433278117,+3.47931489327,+3.04462740264,+0,+0,+3.4773642092
2010-08-16 14:54:30 UTC,+5.65570738804,+0,+2.61051809321,+3.04274952367,+2.60826616802,+4.78090451255,+0,+0,+5.65027295844,+0,+5.65036554938,+2.6081875387,+5.65022271758,+6.08474266209,+3.04271127981,+3.47746168891,+3.0430056875,+0,+4.3439029113,+3.47533793238
2010-08-16 14:55:00 UTC,+5.65603846817,+0,+2.61067091331,+3.04464421459,+0,+4.78388141985,+1.74010995239,+0,+5.65379125563,+0,+5.65388389117,+2.60981164266,+5.65374095358,+6.0885314454,+3.04460592288,+3.47962706532,+3.04490058035,+5.65355712394,+4.34710028814,+3.47789602433
2010-08-16 14:55:30 UTC,+5.65150397584,+0,+2.60857788026,+3.0445008619,+0,+4.78365618644,+1.73993049257,+0,+5.65352506057,+3.04471588439,+5.65361769273,+2.60968876263,+5.65347476314,+6.0882447853,+3.0444625738,+3.4794632325,+3.04475721237,+5.65329094323,+4.34722815026,+3.47799832163
2010-08-16 14:56:00 UTC,+5.65707899541,+0,+0,+3.04153028639,+0,+4.7789888669,+1.73823275044,+0,+5.64800892731,+3.0417450353,+5.64810148959,+2.60714242468,+5.64795872584,+6.08230457262,+0,+3.47606826501,+3.04178632031,+5.64777510763,+4.34298925982,+3.4746069568
2010-08-16 14:56:30 UTC,+5.6512690911,+3.91259607669,+0,+3.04067036397,+0,+4.77763777094,+1.7377412879,+0,+5.64641211666,+3.04088503365,+5.64650465872,+2.60640531057,+5.64636194298,+6.08058499945,+0,+3.47508548956,+3.04092630622,+5.64617838316,+4.34187034759,+3.47371176036
2010-08-16 14:57:00 UTC,+5.65052251999,+3.91207918972,+0,+3.03966033602,+0,+4.77605083174,+1.73716403708,+0,+5.64453657152,+3.03987491263,+0,+2.60553952799,+5.64448643052,+6.07856526278,+0,+3.47393116374,+3.03991617058,+5.64430293929,+4.33966026566,+3.47194356314
2010-08-16 14:57:30 UTC,+5.65217670489,+3.91322446122,+0,+3.03709657652,+0,+4.77202269517,+1.73569879818,+0,+5.63977586479,+3.0373109169,+0,+0,+5.63972580674,+6.07343855387,+0,+3.47100113217,+3.03735213778,+5.63954248955,+4.33591482797,+3.46894698987
