# file...... Output/hvac/house_hvac_file_039.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_17C_tm_3_C_17_Meter_66_761:hvac_load,house_3_18C_tm_3_C_18_Meter_66_762:hvac_load,house_3_19C_tm_3_C_19_Meter_66_763:hvac_load,house_3_20C_tm_3_C_20_Meter_66_764:hvac_load,house_3_21C_tm_3_C_21_Meter_66_765:hvac_load,house_3_22C_tm_3_C_22_Meter_66_766:hvac_load,house_3_23C_tm_3_C_23_Meter_66_767:hvac_load,house_3_24C_tm_3_C_24_Meter_66_768:hvac_load,house_3_25C_tm_3_C_25_Meter_66_769:hvac_load,house_3_26C_tm_3_C_26_Meter_66_770:hvac_load,house_3_27C_tm_3_C_27_Meter_66_771:hvac_load,house_3_28C_tm_3_C_28_Meter_66_772:hvac_load,house_3_1A_tm_3_A_1_Meter_68_773:hvac_load,house_3_2A_tm_3_A_2_Meter_68_774:hvac_load,house_3_3A_tm_3_A_3_Meter_68_775:hvac_load,house_3_4A_tm_3_A_4_Meter_68_776:hvac_load,house_3_5A_tm_3_A_5_Meter_68_777:hvac_load,house_3_6A_tm_3_A_6_Meter_68_778:hvac_load,house_3_7A_tm_3_A_7_Meter_68_779:hvac_load,house_3_8A_tm_3_A_8_Meter_68_780:hvac_load
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+1.29125325736,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.35385856157,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+1.29032362917,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.3069682345,+0,+4.35591802295,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+1.28979616145,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.30733684631,+0,+4.35714650154,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+3.43506179243,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.30793279996,+0,+4.35913264596,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,+3.43888089803,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.30529336393,+0,+4.35033615488,+3.48032958967
2010-08-16 00:33:00 UTC,+0,+0,+0,+3.43805792716,+0,+0,+0,+0,+0,+0,+0,+0,+5.65590715403,+0,+0,+0,+0,+0,+4.35112928474,+3.48096410774
2010-08-16 00:33:30 UTC,+0,+0,+0,+3.4376339789,+0,+0,+0,+0,+0,+0,+0,+0,+5.65542234743,+0,+0,+0,+0,+0,+4.3507563101,+3.48066572137
2010-08-16 00:34:00 UTC,+0,+0,+0,+3.43762170055,+0,+0,+0,+0,+0,+0,+0,+0,+5.65513586457,+0,+0,+0,+0,+0,+4.3505359112,+3.48048939831
2010-08-16 00:34:30 UTC,+0,+0,+0,+3.43659758323,+0,+0,+0,+0,+0,+0,+0,+0,+5.65232019665,+0,+0,+0,+0,+0,+4.34836974279,+3.47875642484
2010-08-16 00:35:00 UTC,+0,+0,+0,+3.43949320917,+0,+3.43956148607,+0,+0,+0,+0,+0,+0,+5.65467958728,+0,+0,+0,+0,+0,+0,+3.480208571
2010-08-16 00:35:30 UTC,+0,+0,+0,+3.44038458886,+0,+3.44045288799,+0,+0,+0,+0,+3.87034894051,+0,+5.65351898867,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+3.43761486066,+0,+3.43768309072,+0,+0,+0,+0,+3.86723309502,+0,+5.65376098891,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+3.43478397426,+0,+0,+0,+0,+3.86397177375,+0,+5.65384355164,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+3.4340640385,+0,+0,+0,+0,+3.8631618919,+0,+5.65501946736,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+3.43388970911,+0,+0,+0,+0,+3.86296578245,+0,+5.65472315907,+0,+3.04539774045,+0,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.86639975548,+0,+0,+0,+3.04888230278,+0,+0,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.86971732175,+0,+0,+0,+3.04825149865,+0,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04840181915,+0,+0,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04875497715,+0,+0,+6.53221576225,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+1.28917869488,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04669084746,+0,+0,+6.52779329823,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,+1.2896801226,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.52831466573,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,+1.28970114991,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.4839893131,+0,+6.53191559385,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,+1.29050908003,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.48174813702,+0,+6.52771381264,+0,+0
2010-08-16 00:42:00 UTC,+4.7265268443,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.48054951132,+0,+6.52546661609,+0,+0
2010-08-16 00:42:30 UTC,+4.72802578245,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.48362045636,+0,+6.53122405729,+0,+0
2010-08-16 00:43:00 UTC,+4.72699654742,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.48166458068,+0,+6.52755716024,+0,+0
2010-08-16 00:43:30 UTC,+4.7290414313,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.48584779972,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+4.7260025642,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.72590955471,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+4.72435264526,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.72425967877,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+4.72521918512,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.72512619605,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.7286998081,+0,+0,+0,+0,+1.30515476183,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.72901766981,+0,+0,+0,+0,+1.30567746182,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.72844608465,+0,+0,+0,+0,+1.30550714455,+0,+0,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,+0,+0,+0,+3.44059481141,+0,+0,+0,+4.73093050786,+0,+0,+0,+0,+1.30524249986,+0,+0,+0
2010-08-16 00:47:30 UTC,+0,+0,+0,+0,+0,+0,+0,+3.43714061644,+0,+0,+0,+4.72618086076,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,+0,+0,+0,+0,+0,+0,+0,+3.43518791351,+0,+0,+0,+4.7234958213,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,+0,+0,+0,+3.43673525911,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:00 UTC,+0,+0,+4.72094043063,+0,+0,+0,+0,+3.43359406976,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:30 UTC,+0,+0,+4.72161237314,+0,+0,+0,+0,+3.43408278746,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,+4.72578640917,+0,+1.28910371144,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47384257294
2010-08-16 00:50:30 UTC,+0,+0,+4.72560842274,+0,+1.28905515788,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.4755530531
2010-08-16 00:51:00 UTC,+0,+0,+4.72562551463,+0,+1.28905982044,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47988373288
2010-08-16 00:51:30 UTC,+0,+0,+4.72779111878,+0,+1.2896505834,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47486120619
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47666253342
2010-08-16 00:52:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47736695821
2010-08-16 00:53:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:00 UTC,+0,+3.86332231508,+0,+0,+0,+0,+0,+0,+0,+0,+3.86344190291,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:30 UTC,+0,+3.86302353204,+0,+0,+0,+0,+0,+0,+0,+0,+3.86314310879,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:00 UTC,+0,+3.86226424492,+0,+0,+0,+0,+0,+0,+0,+0,+3.8623837935,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:30 UTC,+0,+3.8676083605,+0,+0,+0,+0,+0,+0,+0,+0,+3.86772810731,+0,+0,+0,+0,+0,+0,+0,+0,+0
