# file...... Output/hvac/house_hvac_file_062.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_10B_tm_3_B_10_Meter_107_1221:hvac_load,house_3_11B_tm_3_B_11_Meter_107_1222:hvac_load,house_3_12B_tm_3_B_12_Meter_107_1223:hvac_load,house_3_13B_tm_3_B_13_Meter_107_1224:hvac_load,house_3_14B_tm_3_B_14_Meter_107_1225:hvac_load,house_3_15B_tm_3_B_15_Meter_107_1226:hvac_load,house_3_1A_tm_3_A_1_Meter_109_1227:hvac_load,house_3_2A_tm_3_A_2_Meter_109_1228:hvac_load,house_3_3A_tm_3_A_3_Meter_109_1229:hvac_load,house_3_4A_tm_3_A_4_Meter_109_1230:hvac_load,house_3_5A_tm_3_A_5_Meter_109_1231:hvac_load,house_3_6A_tm_3_A_6_Meter_109_1232:hvac_load,house_3_7A_tm_3_A_7_Meter_109_1233:hvac_load,house_3_8A_tm_3_A_8_Meter_109_1234:hvac_load,house_3_9A_tm_3_A_9_Meter_109_1235:hvac_load,house_3_10A_tm_3_A_10_Meter_109_1236:hvac_load,house_3_11A_tm_3_A_11_Meter_109_1237:hvac_load,house_3_12A_tm_3_A_12_Meter_109_1238:hvac_load,house_3_13A_tm_3_A_13_Meter_109_1239:hvac_load,house_3_14A_tm_3_A_14_Meter_109_1240:hvac_load
2010-08-16 00:30:00 UTC,+0,+0,+0,+3.4673333583,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.22071613254,+0,+0,+0,+0,+2.17550686631,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.21731928814,+0,+0,+0,+0,+2.17409134268,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.22005681151,+0,+0,+0,+0,+2.17523211588,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.2227617582,+0,+0,+0,+0,+2.17635931379,+0
2010-08-16 00:32:00 UTC,+1.73513985872,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.22570436478,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:30 UTC,+1.73776158585,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.21365135101,+0,+0,+0,+6.51586363764,+0,+0
2010-08-16 00:33:00 UTC,+1.73658884897,+6.51031843884,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.21415895499,+0,+0,+0,+6.51649799893,+0,+0
2010-08-16 00:33:30 UTC,+1.73828942738,+6.51669333325,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.34484344309,+0,+3.04168795294,+6.5162406354,+0,+0
2010-08-16 00:34:00 UTC,+0,+6.5239545912,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.34520177668,+0,+3.04193881682,+6.51677803175,+0,+0
2010-08-16 00:34:30 UTC,+0,+6.52049215058,+0,+0,+0,+0,+0,+5.20915596558,+0,+0,+0,+0,+0,+0,+4.34103541528,+0,+3.03902201068,+6.51052969927,+0,+0
2010-08-16 00:35:00 UTC,+0,+6.51848225614,+0,+0,+0,+0,+0,+5.21224170998,+0,+0,+0,+0,+0,+0,+4.34360691828,+0,+3.04082228076,+6.51438620717,+0,+0
2010-08-16 00:35:30 UTC,+0,+6.51592817282,+0,+0,+0,+0,+0,+5.20947738158,+0,+0,+0,+0,+0,+0,+4.34130326708,+0,+3.03920952964,+6.51093139924,+0,+0
2010-08-16 00:36:00 UTC,+0,+6.51413715224,+0,+0,+0,+0,+0,+5.20977864468,+0,+0,+0,+0,+0,+0,+4.34155432448,+0,+0,+6.51130791252,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+0,+0,+5.21135170025,+0,+0,+0,+0,+0,+0,+4.34286522927,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+0,+0,+5.21323989375,+0,+0,+0,+0,+0,+0,+4.34443875404,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+0,+0,+5.2137600419,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+5.2016258225,+0,+6.06816326425,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+5.20313419208,+0,+6.06992288428,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+5.20544483757,+0,+6.07261841603,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+5.20978836614,+0,+6.07768545007,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+5.21159317319,+0,+6.07979088547,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+5.21032413718,+0,+6.07831046498,+0,+0,+0,+0,+1.73957999103,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,+6.07684819097,+0,+0,+0,+0,+1.74041302212,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,+6.07792303006,+0,+0,+0,+3.91302814395,+1.73928305345,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.91082524784,+1.73830387561,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.91467987952,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.91262546231,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,+0,+0,+3.04653248004,+0,+3.91700928218,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+1.73760471637,+0,+0,+0,+0,+0,+3.04396240482,+0,+3.91370484703,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+1.73810221492,+0,+0,+0,+0,+0,+3.04362982685,+0,+3.91327723995,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+1.73836392002,+0,+0,+0,+0,+0,+3.04451705526,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+1.73849844442,+0,+0,+0,+0,+0,+3.04110244415,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+3.04253048324,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91158552783
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91136395533
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91135295585
