# file...... Output/hvac/house_hvac_file_007.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_6C_tm_0_C_6_Meter_16_121:hvac_load,house_0_7C_tm_0_C_7_Meter_16_122:hvac_load,house_0_8C_tm_0_C_8_Meter_16_123:hvac_load,house_0_9C_tm_0_C_9_Meter_16_124:hvac_load,house_0_10C_tm_0_C_10_Meter_16_125:hvac_load,house_0_11C_tm_0_C_11_Meter_16_126:hvac_load,house_0_12C_tm_0_C_12_Meter_16_127:hvac_load,house_0_13C_tm_0_C_13_Meter_16_128:hvac_load,house_0_14C_tm_0_C_14_Meter_16_129:hvac_load,house_0_15C_tm_0_C_15_Meter_16_130:hvac_load,house_0_1C_tm_0_C_1_Meter_17_131:hvac_load,house_0_2C_tm_0_C_2_Meter_17_132:hvac_load,house_0_3C_tm_0_C_3_Meter_17_133:hvac_load,house_0_4C_tm_0_C_4_Meter_17_134:hvac_load,house_0_5C_tm_0_C_5_Meter_17_135:hvac_load,house_0_6C_tm_0_C_6_Meter_17_136:hvac_load,house_0_7C_tm_0_C_7_Meter_17_137:hvac_load,house_0_8C_tm_0_C_8_Meter_17_138:hvac_load,house_0_1A_tm_0_A_1_Meter_19_139:hvac_load,house_0_2A_tm_0_A_2_Meter_19_140:hvac_load
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.18142487258,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.18207594308,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.18232480415,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.18477865994,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.18340778701,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.02289954708,+6.04473015363,+0,+0,+5.18099443872,+0,+6.04516879635,+0,+0,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+2.58937204403,+0,+0,+0,+0,+0,+3.02103480203,+6.0410014887,+0,+0,+0,+0,+6.04208383387,+0,+0,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,+0,+2.59059125602,+0,+0,+0,+0,+0,+3.02245727559,+6.04384580633,+0,+0,+0,+0,+6.04492892473,+0,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,+0,+0,+2.59002593171,+0,+0,+0,+0,+0,+3.02179770294,+6.04252695291,+0,+0,+0,+0,+6.0440914796,+0,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,+0,+2.59006431986,+0,+0,+0,+0,+0,+3.02184249099,+6.04261650917,+0,+0,+0,+0,+6.04418107131,+0,+0,+0,+0,+0
2010-08-16 00:34:00 UTC,+0,+0,+2.58972862287,+0,+0,+0,+0,+0,+0,+6.04183335672,+0,+0,+0,+0,+6.04279645806,+0,+4.31602627994,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.04152735709,+0,+0,+0,+0,+6.04229777987,+0,+4.3156701102,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.04398174656,+0,+0,+0,+0,+6.04475262546,+0,+4.31742342872,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.04555533544,+0,+4.31799674636,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+0,+0,+4.74921774775,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.31760371081,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+0,+4.74761015846,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.31614217627,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+0,+4.74736932762,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.3159232257,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+0,+4.74615249325,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+0,+4.74768124109,+0,+0,+0,+0,+0,+0,+3.88477003446,+0,+0,+0,+5.17973960991,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+0,+4.74887849808,+0,+0,+0,+0,+0,+0,+3.88574972455,+0,+0,+0,+5.18104587515,+0,+3.02206746167
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+6.04209250341,+4.74735042065,+0,+0,+0,+0,+0,+0,+3.88478828552,+0,+0,+0,+5.17976394487,+0,+3.02193362973
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+6.03873706511,+0,+4.31344956617,+0,+0,+0,+3.88265928796,+0,+3.88259875903,+0,+0,+0,+5.17684454989,+0,+3.02250580512
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+0,+6.04003762287,+0,+4.31437854747,+0,+0,+0,+3.88349555444,+0,+3.88343500977,+0,+0,+0,+5.17795956094,+0,+3.02154183592
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,+0,+6.04025464313,+0,+4.31453356386,+0,+0,+0,+3.88363509978,+0,+3.88357455248,+0,+0,+0,+5.17814561956,+0,+3.02141100094
2010-08-16 00:41:00 UTC,+0,+5.17683758219,+0,+0,+0,+6.04005401706,+0,+4.31439025775,+0,+0,+0,+3.883753753,+0,+3.88369320347,+0,+0,+0,+5.17830382231,+0,+3.02127484307
2010-08-16 00:41:30 UTC,+0,+5.17759340411,+0,+0,+0,+6.04093588807,+0,+4.31502017341,+0,+0,+0,+3.88453861005,+0,+0,+0,+0,+0,+5.17935028812,+0,+0
2010-08-16 00:42:00 UTC,+0,+5.17550974107,+0,+0,+0,+6.03850473072,+0,+4.31328361098,+0,+0,+0,+3.88297506206,+0,+0,+0,+0,+0,+5.17726557789,+0,+0
2010-08-16 00:42:30 UTC,+0,+5.17622138991,+0,+0,+4.3139438221,+6.03933506187,+0,+4.31387671199,+0,+0,+0,+3.88344714734,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,+0,+5.17815231257,+0,+0,+4.31555311606,+0,+0,+4.31548597782,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74412835174,+0
2010-08-16 00:43:30 UTC,+0,+5.17964557458,+0,+0,+4.31679764932,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74708056387,+0
2010-08-16 00:44:00 UTC,+3.45185190302,+5.1771694909,+0,+0,+4.3147340004,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74752679835,+0
2010-08-16 00:44:30 UTC,+3.45137480039,+5.17645393853,+0,+0,+4.31413763573,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74532807796,+0
