# file...... Output/hvac/house_hvac_file_055.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_14C_tm_3_C_14_Meter_92_1081:hvac_load,house_3_15C_tm_3_C_15_Meter_92_1082:hvac_load,house_3_1A_tm_3_A_1_Meter_94_1083:hvac_load,house_3_2A_tm_3_A_2_Meter_94_1084:hvac_load,house_3_3A_tm_3_A_3_Meter_94_1085:hvac_load,house_3_4A_tm_3_A_4_Meter_94_1086:hvac_load,house_3_5A_tm_3_A_5_Meter_94_1087:hvac_load,house_3_6A_tm_3_A_6_Meter_94_1088:hvac_load,house_3_7A_tm_3_A_7_Meter_94_1089:hvac_load,house_3_8A_tm_3_A_8_Meter_94_1090:hvac_load,house_3_9A_tm_3_A_9_Meter_94_1091:hvac_load,house_3_10A_tm_3_A_10_Meter_94_1092:hvac_load,house_3_11A_tm_3_A_11_Meter_94_1093:hvac_load,house_3_12A_tm_3_A_12_Meter_94_1094:hvac_load,house_3_13A_tm_3_A_13_Meter_94_1095:hvac_load,house_3_14A_tm_3_A_14_Meter_94_1096:hvac_load,house_3_15A_tm_3_A_15_Meter_94_1097:hvac_load,house_3_1B_tm_3_B_1_Meter_95_1098:hvac_load,house_3_2B_tm_3_B_2_Meter_95_1099:hvac_load,house_3_3B_tm_3_B_3_Meter_95_1100:hvac_load
2010-08-16 12:47:30 UTC,+0,+0,+5.20893377087,+0,+4.3408381462,+4.34106672651,+0,+2.17069697326,+0,+6.07695525292,+6.07691980055,+0,+6.07655645599,+3.90719107375,+0,+4.77516064333,+3.90717164961,+6.04611192475,+5.18188489942,+0
2010-08-16 12:48:00 UTC,+0,+0,+5.20870527303,+0,+4.34064772753,+4.34087629543,+0,+2.17060174864,+0,+6.07668867825,+6.0766532284,+0,+6.07628990249,+3.90701967178,+0,+4.77495116948,+3.90700024896,+0,+5.18730813813,+2.16190913326
2010-08-16 12:48:30 UTC,+3.03213380213,+0,+5.20115465847,+0,+4.33435542332,+4.33458358078,+0,+2.16745509115,+0,+6.06787983136,+6.06784446469,+0,+6.06748175547,+3.90135576539,+0,+4.76802919429,+3.90133638605,+0,+0,+2.16395861272
2010-08-16 12:49:00 UTC,+3.03078342719,+0,+5.20423618245,+0,+4.33692341117,+4.33715173616,+5.63757399695,+2.16873929136,+0,+6.07147485965,+6.07143945902,+0,+6.0710764981,+3.90366729431,+0,+4.77085416075,+3.90364789722,+0,+0,+2.16113024933
2010-08-16 12:49:30 UTC,+3.02968790436,+0,+5.19409563401,+0,+4.32847278559,+4.32870055918,+5.6265892056,+2.1645132996,+0,+6.05964449297,+6.05960920415,+3.03004710755,+6.05924707157,+0,+6.05918353596,+4.76155788071,+3.89604127392,+0,+0,+2.16638368683
2010-08-16 12:50:00 UTC,+3.02325947377,+3.45494046784,+0,+2.59958119501,+4.33210469326,+4.33233270382,+5.6313102464,+2.16632954524,+2.16656771112,+6.06472894491,+6.06469360802,+3.03258954646,+6.06433111949,+0,+6.06426746708,+4.76555323354,+3.89931044654,+0,+0,+2.16645443279
2010-08-16 12:50:30 UTC,+3.02316093881,+3.45482786544,+0,+2.60296168038,+4.33773794355,+4.33796632164,+5.63863279063,+2.16914662293,+2.16923854638,+6.07261515595,+6.07257974455,+3.03653298234,+6.07221670386,+0,+6.07215287056,+4.77175020336,+3.90438107846,+0,+0,+2.16538055223
2010-08-16 12:51:00 UTC,+3.02457671514,+3.45644576666,+0,+2.60241341568,+4.33682431367,+4.33705263217,+5.63744518223,+2.16868973462,+2.16878163096,+6.07133612915,+6.07130072983,+3.03589341537,+6.07093777867,+0,+6.07087397469,+4.77074514653,+3.90355869699,+0,+0,+2.16294887871
2010-08-16 12:51:30 UTC,+3.02476912987,+3.45666565171,+0,+2.59880993142,+4.33081945736,+4.33104738412,+5.62963959504,+2.16568682409,+2.16577854221,+6.06292969203,+6.06289437214,+3.03168984472,+6.06253200949,+0,+6.06246839839,+4.76413938408,+3.89815357306,+0,+0,+2.1639928908
2010-08-16 12:52:00 UTC,+3.02400618123,+3.45579377986,+0,+2.60009628792,+4.33296304549,+4.33319111207,+5.63242600049,+2.16675879032,+2.16685057207,+6.06593058632,+6.06589523807,+3.0331904175,+6.06553266539,+0,+6.0654689854,+4.76649748112,+3.90008307125,+6.05324936807,+5.18800191169,+2.16219829722
