# file...... Output/hvac/house_hvac_file_021.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_4B_tm_2_B_4_Meter_47_401:hvac_load,house_2_5B_tm_2_B_5_Meter_47_402:hvac_load,house_2_6B_tm_2_B_6_Meter_47_403:hvac_load,house_2_7B_tm_2_B_7_Meter_47_404:hvac_load,house_2_8B_tm_2_B_8_Meter_47_405:hvac_load,house_2_9B_tm_2_B_9_Meter_47_406:hvac_load,house_2_10B_tm_2_B_10_Meter_47_407:hvac_load,house_2_11B_tm_2_B_11_Meter_47_408:hvac_load,house_2_12B_tm_2_B_12_Meter_47_409:hvac_load,house_2_13B_tm_2_B_13_Meter_47_410:hvac_load,house_2_14B_tm_2_B_14_Meter_47_411:hvac_load,house_2_15B_tm_2_B_15_Meter_47_412:hvac_load,house_2_1C_tm_2_C_1_Meter_47_413:hvac_load,house_2_2C_tm_2_C_2_Meter_47_414:hvac_load,house_2_3C_tm_2_C_3_Meter_47_415:hvac_load,house_2_4C_tm_2_C_4_Meter_47_416:hvac_load,house_2_5C_tm_2_C_5_Meter_47_417:hvac_load,house_2_6C_tm_2_C_6_Meter_47_418:hvac_load,house_2_7C_tm_2_C_7_Meter_47_419:hvac_load,house_2_8C_tm_2_C_8_Meter_47_420:hvac_load
2010-08-16 15:28:00 UTC,+2.15189517592,+4.30337560719,+5.16409341891,+0,+4.30344212958,+3.44307526327,+0,+0,+2.15197743117,+4.30333292196,+0,+2.15196433934,+3.00455417378,+3.43388152922,+3.43373675177,+6.00826313047,+4.29203435665,+5.14972586463,+1.71698629435,+0
2010-08-16 15:28:30 UTC,+2.15285069634,+4.30528641832,+5.16638642012,+0,+4.30535298089,+3.44460412734,+0,+0,+0,+4.30524371561,+0,+2.15291990543,+3.00486306782,+3.43423456552,+3.43408976938,+6.00888081384,+4.29247561171,+5.15025526962,+0,+0
2010-08-16 15:29:00 UTC,+2.15093223712,+4.30144996117,+5.16178261558,+0,+4.30151644304,+3.44153452954,+0,+0,+0,+4.30140729355,+0,+2.15100135449,+3.00356948248,+3.43275612136,+3.43261140354,+6.00629408178,+4.29062772538,+5.14803822949,+0,+3.00370977481
2010-08-16 15:29:30 UTC,+2.15136322279,+4.30231182883,+5.16281686936,+0,+4.30237832884,+3.44222412078,+3.87227503064,+0,+0,+4.30226915332,+0,+2.15143236077,+3.0015228478,+3.4304170139,+3.43027242003,+6.00220150644,+4.28770410826,+5.14453055912,+0,+3.00166300577
2010-08-16 15:30:00 UTC,+2.15143432677,+4.30245401976,+5.16298750053,+0,+4.30252052275,+3.44233788949,+3.87240301049,+0,+0,+4.30241134295,+0,+2.15150346815,+3.00136860035,+3.43024072384,+3.43009613931,+6.00189306378,+4.28748376581,+5.14426619863,+0,+3.0015087482
2010-08-16 15:30:30 UTC,+2.15168310819,+4.30295152275,+5.16358451139,+0,+4.30301803621,+3.44273594795,+3.87285079134,+0,+0,+4.30290884139,+0,+2.15175226148,+3.00005708602,+3.42874178852,+3.42859728345,+5.99927048001,+4.28561026795,+5.14201843087,+1.71441633404,+3.00019714772
2010-08-16 15:31:00 UTC,+2.15183110194,+4.30324747466,+5.16393965799,+0,+4.30331399435,+3.44297274281,+3.87311716479,+3.0125848809,+2.15191335355,+4.30320479059,+2.15194656528,+2.1519002623,+3.00009514565,+3.42878528703,+3.42864077965,+5.99934658635,+4.28566463612,+5.14208366019,+1.71443808406,+3.00023520985
2010-08-16 15:31:30 UTC,+2.15196506207,+4.3035153627,+5.16426112755,+0,+4.30358188802,+3.44318708341,+3.87335827918,+3.01277242806,+2.15204732129,+4.30347267618,+2.15208053551,+2.15203422883,+3.00239286182,+3.43141135662,+3.43126671006,+6.00394123946,+4.28894692308,+5.14602165198,+1.71575116483,+3.00253307692
2010-08-16 15:32:00 UTC,+2.15380502523,+4.30719484666,+5.16867656196,+3.44575683948,+4.30726144937,+3.44613108491,+3.8766700228,+3.01534841752,+2.15388738902,+4.30715212649,+2.15392063738,+2.15387427993,+3.00065490487,+3.42942503822,+3.42928049694,+6.00046591499,+4.28646425203,+5.14304301596,+1.71475797086,+3.00079500583
2010-08-16 15:32:30 UTC,+2.15235143186,+4.30428800938,+5.16518831484,+3.4434313817,+4.30435455096,+3.44380528777,+3.87405370489,+3.01331335439,+2.15243371304,+4.30424531581,+2.15246693443,+2.15242061709,+0,+3.4318654271,+3.43172075649,+6.00473569534,+4.28951445931,+5.14670256537,+1.71597820801,+3.0029303983
2010-08-16 15:33:00 UTC,+2.15316814703,+4.30592124337,+5.16714821944,+3.44473796212,+4.30598781929,+3.44511205888,+3.87552370783,+3.01445677385,+2.15325047463,+4.30587853485,+2.15328371117,+2.1532373713,+0,+3.43064025803,+3.43049565234,+6.00259210138,+4.28798313794,+5.14486533079,+1.71536560203,+3.00185834915
