# file...... Output/hvac/house_hvac_file_043.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_8C_tm_3_C_8_Meter_74_841:hvac_load,house_3_9C_tm_3_C_9_Meter_74_842:hvac_load,house_3_10C_tm_3_C_10_Meter_74_843:hvac_load,house_3_11C_tm_3_C_11_Meter_74_844:hvac_load,house_3_12C_tm_3_C_12_Meter_74_845:hvac_load,house_3_13C_tm_3_C_13_Meter_74_846:hvac_load,house_3_14C_tm_3_C_14_Meter_74_847:hvac_load,house_3_15C_tm_3_C_15_Meter_74_848:hvac_load,house_3_1C_tm_3_C_1_Meter_75_849:hvac_load,house_3_2C_tm_3_C_2_Meter_75_850:hvac_load,house_3_3C_tm_3_C_3_Meter_75_851:hvac_load,house_3_4C_tm_3_C_4_Meter_75_852:hvac_load,house_3_5C_tm_3_C_5_Meter_75_853:hvac_load,house_3_6C_tm_3_C_6_Meter_75_854:hvac_load,house_3_7C_tm_3_C_7_Meter_75_855:hvac_load,house_3_8C_tm_3_C_8_Meter_75_856:hvac_load,house_3_9C_tm_3_C_9_Meter_75_857:hvac_load,house_3_10C_tm_3_C_10_Meter_75_858:hvac_load,house_3_11C_tm_3_C_11_Meter_75_859:hvac_load,house_3_12C_tm_3_C_12_Meter_75_860:hvac_load
2010-08-16 00:39:30 UTC,+6.0799612572,+0,+0,+0,+0,+0,+4.34305358379,+6.51436078494,+0,+2.60565602858,+0,+0,+0,+2.60549589509,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:00 UTC,+6.08571979581,+0,+0,+0,+0,+0,+4.34716710456,+0,+0,+0,+0,+0,+0,+2.60799788977,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,+6.08756945494,+0,+0,+0,+0,+0,+4.34848837922,+0,+0,+0,+0,+0,+0,+2.60879046779,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+6.08794479658,+0,+0,+0,+0,+0,+4.34875649855,+0,+0,+0,+0,+0,+0,+2.60895130142,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,+0,+0,+4.35169228582,+0,+0,+0,+0,+0,+5.22053591921,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,+0,+0,+4.34628297203,+0,+0,+0,+0,+0,+5.21363917977,+0,+6.08267637801,+0,+0,+0,+0,+0
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,+0,+0,+4.34793144485,+0,+0,+0,+0,+0,+5.21529493273,+0,+6.0846081425,+0,+0,+0,+4.78096273218,+0
2010-08-16 00:43:00 UTC,+0,+0,+0,+0,+0,+0,+4.34673291961,+0,+0,+0,+0,+3.91105245659,+5.21403904099,+0,+6.08314289551,+0,+0,+0,+4.77981141715,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91408663098,+5.21808391641,+0,+6.08786204556,+0,+0,+0,+4.78351948036,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91157419903,+5.21473457889,+0,+6.08395437852,+0,+0,+0,+4.78044903837,+0
2010-08-16 00:44:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.90986375128,+5.21245437114,+0,+6.08129406355,+0,+0,+0,+4.77835870094,+0
2010-08-16 00:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.90999535406,+5.21262981163,+0,+6.0814987497,+0,+0,+0,+4.77851953267,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91406660616,+5.21805722118,+0,+0,+0,+0,+0,+4.78349500802,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91441931738,+5.21852742256,+0,+0,+0,+0,+0,+4.78392605626,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.78483429045,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,+0,+0,+0,+5.65235163176,+0,+0,+0,+0,+3.04338177557,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,+0,+0,+4.34540404047,+5.64891758388,+0,+0,+0,+0,+3.04157422916,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,+0,+0,+4.34632666643,+5.6501169638,+0,+0,+0,+0,+3.04221996496,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:00 UTC,+0,+0,+4.34259111253,+5.64526088067,+3.90826100296,+0,+0,+0,+3.03979562376,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:30 UTC,+0,+0,+4.34318103102,+5.64602775308,+3.90879191612,+0,+0,+0,+3.04012350871,+0,+0,+0,+0,+0,+0,+0,+2.17149832902,+0,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,+4.34869209961,+5.65319194027,+3.913751752,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.17430922308,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,+0,+4.34786682563,+5.65211911433,+3.91300902426,+0,+0,+0,+0,+2.60887157281,+3.04315957303,+0,+0,+0,+0,+0,+2.17384095517,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+5.65219530034,+3.91306176856,+0,+0,+0,+0,+2.60856139322,+3.04305707076,+0,+0,+0,+0,+0,+2.17376773252,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,+0,+0,+5.65521771853,+3.91515421782,+0,+0,+0,+0,+2.61002922911,+3.04476934983,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.61082910967,+3.04570243696,+0,+0,+2.61066854258,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.6105698671,+3.04540002193,+0,+0,+2.61040932173,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.05032840035,+0,+0,+2.61463377588,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04935834596,+0,+0,+2.61380227515,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.61188384495,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60995640523,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.77818998052
2010-08-16 00:56:30 UTC,+0,+0,+0,+0,+0,+3.04571730717,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.78489920139
2010-08-16 00:57:00 UTC,+0,+0,+0,+0,+0,+3.04515019025,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.78400837723
2010-08-16 00:57:30 UTC,+0,+0,+0,+0,+0,+3.04589036336,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91521607498,+0,+0,+0,+4.7849298755
2010-08-16 00:58:00 UTC,+0,+0,+0,+0,+0,+3.04670209065,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.9162593183,+0,+0,+0,+4.78620483308
