# file...... Output/hvac/house_hvac_file_054.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_9B_tm_3_B_9_Meter_90_1061:hvac_load,house_3_10B_tm_3_B_10_Meter_90_1062:hvac_load,house_3_11B_tm_3_B_11_Meter_90_1063:hvac_load,house_3_12B_tm_3_B_12_Meter_90_1064:hvac_load,house_3_13B_tm_3_B_13_Meter_90_1065:hvac_load,house_3_14B_tm_3_B_14_Meter_90_1066:hvac_load,house_3_15B_tm_3_B_15_Meter_90_1067:hvac_load,house_3_1C_tm_3_C_1_Meter_92_1068:hvac_load,house_3_2C_tm_3_C_2_Meter_92_1069:hvac_load,house_3_3C_tm_3_C_3_Meter_92_1070:hvac_load,house_3_4C_tm_3_C_4_Meter_92_1071:hvac_load,house_3_5C_tm_3_C_5_Meter_92_1072:hvac_load,house_3_6C_tm_3_C_6_Meter_92_1073:hvac_load,house_3_7C_tm_3_C_7_Meter_92_1074:hvac_load,house_3_8C_tm_3_C_8_Meter_92_1075:hvac_load,house_3_9C_tm_3_C_9_Meter_92_1076:hvac_load,house_3_10C_tm_3_C_10_Meter_92_1077:hvac_load,house_3_11C_tm_3_C_11_Meter_92_1078:hvac_load,house_3_12C_tm_3_C_12_Meter_92_1079:hvac_load,house_3_13C_tm_3_C_13_Meter_92_1080:hvac_load
2010-08-16 15:53:00 UTC,+6.07093718725,+0,+5.63705683394,+2.60226031322,+0,+4.76995200334,+0,+4.75989330364,+0,+4.32743065743,+6.49113599298,+5.6248403885,+4.75994760856,+2.16387049272,+4.32713388993,+6.05828820616,+4.32748236054,+3.46191321651,+5.62569508354,+6.0575987044
2010-08-16 15:53:30 UTC,+6.07079940874,+0,+5.63692890485,+2.60220125305,+0,+4.76984375096,+0,+4.75642855096,+0,+4.32428065899,+6.48641098893,+5.62074615617,+4.75648283875,+2.16229534981,+4.32398416037,+6.05387830842,+4.32433232011,+3.45939324835,+5.62160005056,+6.05318945282
2010-08-16 15:54:00 UTC,+6.06782462149,+0,+5.63416677804,+2.60092607862,+0,+4.76750646512,+0,+4.75510869165,+0,+4.32308070188,+6.48461105081,+5.61918650347,+4.75516297294,+2.16169531653,+4.32278430565,+6.05219840656,+4.32313234701,+3.45843329431,+5.62004009298,+6.05150979702
2010-08-16 15:54:30 UTC,+6.05261545216,+0,+5.6200448764,+2.5944065055,+1.72965959466,+4.75555664386,+3.45893513621,+4.76180397112,+0,+4.32916775099,+6.49374163683,+5.62709818799,+4.76185828552,+2.16473911873,+0,+6.06072008196,+4.32921947726,+3.46330287449,+5.62795332447,+6.06003022393
2010-08-16 15:55:00 UTC,+6.05188073027,+3.02625985077,+5.61936267808,+2.59409155908,+1.72944962215,+4.75497937399,+3.45851525366,+4.75488705108,+2.59384270298,+4.32287919612,+6.48430879177,+5.61892459511,+4.75494133126,+2.16159455444,+0,+6.05191630492,+4.32293083856,+3.45827209166,+5.61977813325,+6.05122773683
2010-08-16 15:55:30 UTC,+6.05252233454,+3.02658069564,+5.61995841553,+2.59436658966,+1.72963298306,+4.75548348149,+3.4588819209,+4.75682626357,+2.59490059147,+4.32464224154,+6.4869533635,+5.62121612557,+4.75688055332,+2.16247615758,+0,+6.0543845125,+4.32469390749,+3.45968251088,+5.6220701119,+6.0536955827
2010-08-16 15:56:00 UTC,+6.05539808187,+3.02801876075,+5.62262858234,+2.59559930958,+1.73045482856,+4.75774295177,+3.4605253674,+4.7578768154,+2.59547369352,+4.32559735635,+6.48838603764,+5.62245754272,+4.75793111034,+2.16295375855,+0,+6.05572164289,+4.32564903502,+3.46044659344,+5.62331177176,+6.05503251721
2010-08-16 15:56:30 UTC,+6.05580951309,+3.02822450378,+5.62301060128,+0,+1.73057240946,+4.75806621265,+3.4607604942,+4.75769083493,+2.59537223659,+4.32542827123,+6.48813240962,+5.62223777309,+4.75774512896,+2.16286920829,+0,+6.05548492909,+4.32547994765,+3.46031132699,+5.62309195923,+6.05479583804
2010-08-16 15:57:00 UTC,+6.05611310511,+3.02837631999,+5.62329249023,+0,+1.73065917151,+4.75830474444,+3.46093399248,+4.75695653092,+2.59497165555,+4.32476067481,+6.48713101363,+5.62137006002,+4.75701082132,+2.16253537962,+0,+6.05455031531,+4.32481234233,+3.45977725634,+5.62222407646,+6.05386136121
2010-08-16 15:57:30 UTC,+6.05139598406,+3.0260174454,+5.61891258525,+0,+1.72931108896,+4.75459850963,+3.45823822848,+4.75910268401,+2.59614243526,+4.32671186138,+6.49005779746,+5.62390612828,+4.75915698502,+2.16351106193,+0,+6.05728191452,+4.32676355492,+3.46133818665,+5.6247606407,+6.05659256014
2010-08-16 15:58:00 UTC,+6.05495548676,+3.02779743375,+5.62221762733,+0,+1.73032834152,+4.75739520547,+3.46027243094,+4.75796294065,+2.595520677,+4.3256756576,+6.48850348967,+5.62255931525,+4.75801723602,+0,+4.32537903989,+6.05583126215,+4.32572733731,+3.46050923368,+5.62341356425,+6.05514212036
2010-08-16 15:58:30 UTC,+6.05859443008,+3.02961714767,+5.62559643106,+0,+0,+4.76025431769,+3.46235203254,+4.75628805395,+2.59460698474,+4.32415292534,+6.48621938821,+5.62058013357,+4.75634234103,+0,+4.32385643767,+6.05369948539,+4.32420458475,+3.45929106267,+5.6214339954,+6.05301065607
2010-08-16 15:59:00 UTC,+6.05425061309,+3.02744494999,+5.62156314343,+2.59510743481,+0,+4.7568413873,+3.45986960621,+4.76146459111,+2.59743091409,+4.32885920184,+6.49327881248,+5.62669714907,+4.76151890382,+0,+4.3285623124,+6.06028812295,+4.328910924,+3.46305603816,+5.62755220714,+6.0595983282
2010-08-16 15:59:30 UTC,+6.05458693463,+3.02761313313,+5.62187542213,+2.59525160262,+0,+4.75710563462,+3.46006180891,+4.76030766449,+2.59679978197,+4.32780737583,+6.49170107134,+5.62533003083,+4.76036197147,+0,+4.32751057616,+6.05881559995,+4.32785908397,+3.46221458757,+5.62618482165,+6.05812602089
2010-08-16 16:00:00 UTC,+6.0499182164,+3.02527846315,+5.61754045983,+2.59325030643,+0,+4.75343742984,+3.45739370638,+4.76278188042,+2.59814952803,+4.33005682245,+6.49507524582,+5.62825376487,+4.76283619968,+2.165183695,+4.32975983081,+6.06196475377,+4.33010856057,+3.46401412303,+5.62910912725,+6.06127471344
2010-08-16 16:00:30 UTC,+6.05083825516,+3.0257385438,+5.61839472712,+2.59364469093,+1.72915169837,+4.75416030289,+3.45791949475,+4.7647158643,+2.59920456416,+4.33181511424,+6.49771268705,+5.63053911692,+4.76477019318,+2.1660629211,+4.33151797253,+6.06442630642,+4.33186687581,+3.46542073939,+5.63139492611,+6.06373590549
2010-08-16 16:01:00 UTC,+6.04212827059,+3.02138297145,+5.6103073996,+2.58991106241,+1.72666251508,+4.74731688138,+3.4529418691,+4.7647326639,+2.59921372874,+4.33183038768,+6.49773559723,+5.63055896872,+4.76478699286,+2.1660705585,+4.33153324468,+6.06444768875,+4.33188214945,+3.46543295799,+5.63141478174,+6.06375728472
2010-08-16 16:01:30 UTC,+6.04048626411,+3.02056185883,+5.6087827765,+2.58920719864,+1.72619325415,+4.74602675942,+3.452003487,+4.76365180767,+2.59862409486,+4.33084772142,+6.49626159588,+5.62928174147,+4.76370613124,+2.16557918054,+4.33055066233,+6.06307198723,+4.33089947009,+3.46464683453,+5.63012192322,+6.06238178479
2010-08-16 16:02:00 UTC,+6.04574726439,+3.02319270941,+5.61366767967,+2.59146238306,+1.72769676941,+4.75016031924,+3.45501006983,+4.76007733274,+2.59667413024,+4.32759796844,+6.49138695984,+5.62505785226,+4.76013163856,+2.16394958716,+4.32730118669,+6.05852243628,+4.32764967378,+3.46204706369,+5.62589723119,+6.05783290028
2010-08-16 16:02:30 UTC,+6.04615530466,+3.02339675669,+5.61404655009,+2.59163729388,+1.72781338119,+4.75048091586,+3.45524325871,+4.75549453692,+2.59417410156,+4.32343149511,+6.48513724139,+5.61964244957,+4.7555488201,+2.16186616921,+4.323135069,+6.05268950597,+4.32348314491,+3.4587139255,+5.62048079901,+6.0520008246
2010-08-16 16:03:00 UTC,+6.04526267879,+0,+5.61321773601,+2.59125466021,+1.72755828207,+4.74977958108,+3.45473313641,+4.75803971015,+2.59556255667,+4.325745453,+6.48860818293,+5.6226500323,+4.7580940059,+2.16302324887,+4.32544882933,+6.0559289735,+4.32579713365,+3.46056506933,+5.62348895363,+6.05523981737
2010-08-16 16:03:30 UTC,+6.04863847699,+0,+5.61635220606,+2.59270173239,+1.72852303469,+4.75243194055,+3.45666235449,+4.75990961631,+0,+4.32744548817,+6.49115823913,+5.6248596649,+4.75996392131,+2.16387334041,+4.32714871941,+6.05830896874,+4.32749719148,+3.46192508096,+5.62569900623,+6.05761946396
