# file...... Output/hvac/house_hvac_file_037.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_25B_tm_3_B_25_Meter_64_721:hvac_load,house_3_26B_tm_3_B_26_Meter_64_722:hvac_load,house_3_27B_tm_3_B_27_Meter_64_723:hvac_load,house_3_28B_tm_3_B_28_Meter_64_724:hvac_load,house_3_1A_tm_3_A_1_Meter_65_725:hvac_load,house_3_2A_tm_3_A_2_Meter_65_726:hvac_load,house_3_3A_tm_3_A_3_Meter_65_727:hvac_load,house_3_4A_tm_3_A_4_Meter_65_728:hvac_load,house_3_5A_tm_3_A_5_Meter_65_729:hvac_load,house_3_1B_tm_3_B_1_Meter_65_730:hvac_load,house_3_2B_tm_3_B_2_Meter_65_731:hvac_load,house_3_3B_tm_3_B_3_Meter_65_732:hvac_load,house_3_4B_tm_3_B_4_Meter_65_733:hvac_load,house_3_5B_tm_3_B_5_Meter_65_734:hvac_load,house_3_1C_tm_3_C_1_Meter_65_735:hvac_load,house_3_2C_tm_3_C_2_Meter_65_736:hvac_load,house_3_3C_tm_3_C_3_Meter_65_737:hvac_load,house_3_4C_tm_3_C_4_Meter_65_738:hvac_load,house_3_5C_tm_3_C_5_Meter_65_739:hvac_load,house_3_6C_tm_3_C_6_Meter_65_740:hvac_load
2010-08-16 13:34:00 UTC,+5.1029707762,+1.27607553693,+4.67780663542,+4.67812557845,+0,+5.95318309297,+0,+3.82772671601,+2.97713374989,+5.95307904912,+3.82757977342,+0,+0,+2.55191175495,+3.83310701315,+0,+3.40709042226,+5.53655309177,+5.10985113401,+4.25897335896
2010-08-16 13:34:30 UTC,+5.10703812006,+1.2770927246,+4.68153513928,+4.6818544229,+0,+5.94971638551,+0,+3.82549761442,+2.97540000401,+5.95725473645,+3.83026467778,+3.83043274643,+1.70252601583,+2.55370186145,+3.82951063469,+0,+3.40389378077,+5.53135850777,+0,+4.25497744125
2010-08-16 13:35:00 UTC,+5.109273458,+1.27765175231,+4.68358425692,+4.68390372766,+0,+5.94997635211,+0,+3.82566477367,+2.97553001678,+5.95986653029,+3.83194402199,+3.83211218579,+1.70327249786,+2.55482153073,+3.82590384842,+0,+3.40068788833,+5.52614889084,+0,+4.25096995952
2010-08-16 13:35:30 UTC,+5.11283128869,+1.2785415175,+4.68684569376,+0,+0,+5.94853257032,+0,+3.82473641837,+2.97480796258,+5.96396940351,+3.83458210782,+3.83475042109,+1.70444514826,+2.55658042186,+3.82508654951,+0,+3.3999614321,+5.52496839,+0,+4.2500618629
2010-08-16 13:36:00 UTC,+5.11360851864,+1.27873589213,+4.68755817465,+0,+0,+5.94885946065,+0,+3.82494660972,+2.97497144476,+5.96485499856,+3.83515153209,+3.83531987761,+1.70469826191,+2.55696007413,+3.82046545936,+2.12251639127,+3.3958539756,+5.5182937197,+0,+4.24492739345
2010-08-16 13:36:30 UTC,+5.11277871981,+1.27852837073,+4.68679750426,+0,+4.6711506797,+5.94409209437,+4.24631228626,+3.82188118103,+2.97258722221,+5.96390134702,+3.83453834851,+3.83470665929,+1.70442569689,+2.55655124621,+3.81685881794,+2.12051265766,+3.39264821202,+5.5130843121,+0,+4.24092007282
2010-08-16 13:37:00 UTC,+5.11546610309,+1.27920044878,+4.68926100843,+0,+4.66522584685,+5.93655297616,+4.2409263763,+3.81703350848,+2.96881680991,+5.9669751063,+3.8365147295,+3.83668315224,+1.70530421413,+2.55786895882,+3.81943123708,+2.12194181074,+3.39493470702,+5.51679989628,+0,+4.24377827441
2010-08-16 13:37:30 UTC,+5.12008889369,+1.28035654575,+4.69349868595,+0,+4.65863509822,+5.92816650648,+4.23493512238,+3.81164098636,+2.96462262577,+5.9723458227,+3.83996801916,+3.84013663745,+1.70683922906,+2.56017137075,+3.81950658567,+2.12198367199,+3.39500168063,+5.51690872926,+0,+4.24386199385
2010-08-16 13:38:00 UTC,+5.12113250564,+1.28061753888,+4.6944553572,+0,+4.65303586116,+5.92104169686,+4.22984519221,+3.8070597146,+2.96105941425,+5.97359731068,+3.84077270705,+3.84094137091,+1.70719691928,+2.56070788034,+3.82393098768,+2.12444172697,+3.39893431084,+5.52329930458,+0,+4.2487779241
2010-08-16 13:38:30 UTC,+5.12045586155,+1.28044831942,+4.69383508264,+0,+4.65138613594,+5.9189424865,+4.22834552614,+3.80570991646,+2.96000957122,+5.9728266773,+3.84027720143,+3.84044583723,+1.70697666306,+2.56037751186,+3.82552728893,+2.12532858043,+0,+5.52560499094,+5.09974734055,+4.25055156621
2010-08-16 13:39:00 UTC,+5.1163579882,+1.2794234971,+4.69007859284,+0,+4.65217843711,+5.91995065852,+4.22906575952,+3.8063581739,+2.96051377147,+5.96798990657,+3.83716723076,+3.83733569045,+1.70559425616,+2.558304001,+3.82756193527,+2.12645896427,+0,+5.52854381992,+5.10245952963,+4.2528122513
2010-08-16 13:39:30 UTC,+5.12125876593,+1.28064911486,+4.69457109906,+0,+4.65022018541,+5.91745886028,+4.22728563055,+3.8047559407,+2.95926759005,+5.9736782044,+3.8408247205,+3.84099338731,+1.70722003967,+2.56074255927,+3.82771207495,+2.12654237703,+0,+5.52876068061,+5.10265966618,+4.25297907073
2010-08-16 13:40:00 UTC,+5.11962129244,+1.28023960504,+4.69307003939,+4.69339037595,+4.64935392996,+5.91635658409,+4.22649816972,+3.80404717419,+2.9587163272,+5.97180914074,+3.83962294073,+3.83979153948,+1.70668583893,+2.5599412966,+3.82926683153,+2.1274061496,+0,+5.53100636019,+5.10473216103,+4.2547065528
2010-08-16 13:40:30 UTC,+5.11433606951,+1.27891784273,+4.6882251151,+4.68854500954,+4.65047716637,+5.91778585844,+4.2275192365,+3.80496620143,+2.95943112618,+5.96567148783,+3.83567652243,+3.83584489769,+1.70493162435,+2.55731010097,+3.83094152534,+2.12833655543,+0,+5.53342527625,+5.10696453254,+4.25656729652
2010-08-16 13:41:00 UTC,+5.10817960428,+1.27737819431,+4.68258152937,+4.68290090852,+4.65331725869,+5.92139976431,+4.23010099383,+3.80728995285,+2.96123848845,+5.9587139836,+3.83120295174,+3.83137107355,+0,+2.5543274369,+3.83065710377,+2.12817853999,+0,+5.53301445972,+5.10658539779,+4.25625127717
2010-08-16 13:41:30 UTC,+5.11375364496,+1.27877218625,+4.68769121086,+4.68801105654,+4.65746536335,+5.92667806461,+4.23387178663,+3.81068391432,+2.96387823637,+5.9658493182,+0,+3.83595924637,+0,+0,+3.82418367282,+2.12458211068,+0,+5.52366428123,+5.09795629682,+4.24905868126
2010-08-16 13:42:00 UTC,+5.11730308402,+1.27965985267,+4.69094495509,+4.69126509773,+4.66121244262,+5.93144607617,+4.23727803142,+3.81374975847,+2.96626278195,+5.96999569904,+0,+3.83862545775,+0,+0,+3.81760267306,+2.12092591957,+3.39330938771,+5.51415873122,+5.08918380769,+4.24174656639
2010-08-16 13:42:30 UTC,+5.11582087663,+1.27928917281,+4.68958622669,+4.68990624536,+4.66141316692,+5.93170149026,+4.23746049787,+3.81391399022,+2.96639051776,+5.96829624902,+0,+3.83753267521,+0,+0,+3.81646538819,+2.12029408079,+3.39229851194,+5.51251604491,+5.08766780421,+4.24048293506
2010-08-16 13:43:00 UTC,+5.11426388448,+1.27889979024,+4.68815894362,+4.68847883202,+4.66654125851,+5.9382267861,+4.2421221381,+3.81810977261,+2.9696539043,+5.9663345006,+0,+3.83627122908,+1.70512112134,+0,+3.81667479346,+0,+3.39248464184,+5.51281850842,+5.08794694197,+4.24071560417
