# file...... Output/hvac/house_hvac_file_016.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_12A_tm_2_A_12_Meter_35_301:hvac_load,house_2_13A_tm_2_A_13_Meter_35_302:hvac_load,house_2_14A_tm_2_A_14_Meter_35_303:hvac_load,house_2_15A_tm_2_A_15_Meter_35_304:hvac_load,house_2_1A_tm_2_A_1_Meter_37_305:hvac_load,house_2_2A_tm_2_A_2_Meter_37_306:hvac_load,house_2_3A_tm_2_A_3_Meter_37_307:hvac_load,house_2_4A_tm_2_A_4_Meter_37_308:hvac_load,house_2_5A_tm_2_A_5_Meter_37_309:hvac_load,house_2_6A_tm_2_A_6_Meter_37_310:hvac_load,house_2_7A_tm_2_A_7_Meter_37_311:hvac_load,house_2_8A_tm_2_A_8_Meter_37_312:hvac_load,house_2_9A_tm_2_A_9_Meter_37_313:hvac_load,house_2_10A_tm_2_A_10_Meter_37_314:hvac_load,house_2_11A_tm_2_A_11_Meter_37_315:hvac_load,house_2_12A_tm_2_A_12_Meter_37_316:hvac_load,house_2_13A_tm_2_A_13_Meter_37_317:hvac_load,house_2_14A_tm_2_A_14_Meter_37_318:hvac_load,house_2_15A_tm_2_A_15_Meter_37_319:hvac_load,house_2_1B_tm_2_B_1_Meter_38_320:hvac_load
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+0,+3.45082826376,+0,+0,+5.17523927989,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+0,+3.45103298509,+0,+0,+5.1755462869,+0,+0,+2.5883378438,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+0,+3.45228323242,+0,+0,+5.17742120024,+0,+0,+2.58927556123,+0,+0,+0,+0,+0,+0,+4.306535741
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+0,+3.4518668554,+0,+0,+5.17679678712,+0,+0,+2.58896326783,+0,+0,+0,+0,+0,+0,+4.30765939131
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17672092186,+0,+0,+2.58892532464,+0,+0,+0,+0,+0,+0,+4.30838575464
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17748146044,+0,+0,+0,+2.58935318424,+0,+0,+0,+0,+0,+4.30979358276
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17566292189,+0,+0,+0,+2.58844364129,+0,+0,+0,+0,+0,+4.31117400005
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.58857146527,+0,+0,+0,+0,+0,+4.31047715755
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.58838333773,+0,+0,+0,+0,+0,+4.31033397303
2010-08-16 00:41:30 UTC,+3.88194630826,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+3.88048293357,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:30 UTC,+3.88188701247,+0,+0,+0,+0,+5.60517649562,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,+3.87999850574,+0,+0,+0,+0,+5.60254040886,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,+3.88266465436,+0,+0,+0,+0,+5.60640763941,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+3.88328519187,+0,+0,+0,+0,+5.60739354444,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+0,+0,+0,+0,+0,+5.6047119616,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+0,+0,+0,+0,+0,+5.60323184004,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+0,+5.60200604393,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+5.60276782238,+0,+0,+3.44843363204,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.44950205536,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.44728720975,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
