# file...... Output/hvac/house_hvac_file_012.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_1_8A_tm_1_A_8_Meter_29_221:hvac_load,house_1_9A_tm_1_A_9_Meter_29_222:hvac_load,house_1_10A_tm_1_A_10_Meter_29_223:hvac_load,house_1_11A_tm_1_A_11_Meter_29_224:hvac_load,house_1_12A_tm_1_A_12_Meter_29_225:hvac_load,house_1_13A_tm_1_A_13_Meter_29_226:hvac_load,house_1_14A_tm_1_A_14_Meter_29_227:hvac_load,house_1_15A_tm_1_A_15_Meter_29_228:hvac_load,house_1_1C_tm_1_C_1_Meter_30_229:hvac_load,house_1_2C_tm_1_C_2_Meter_30_230:hvac_load,house_1_3C_tm_1_C_3_Meter_30_231:hvac_load,house_1_4C_tm_1_C_4_Meter_30_232:hvac_load,house_1_5C_tm_1_C_5_Meter_30_233:hvac_load,house_1_6C_tm_1_C_6_Meter_30_234:hvac_load,house_1_7C_tm_1_C_7_Meter_30_235:hvac_load,house_1_8C_tm_1_C_8_Meter_30_236:hvac_load,house_1_9C_tm_1_C_9_Meter_30_237:hvac_load,house_1_10C_tm_1_C_10_Meter_30_238:hvac_load,house_1_11C_tm_1_C_11_Meter_30_239:hvac_load,house_1_12C_tm_1_C_12_Meter_30_240:hvac_load
2010-08-16 00:52:00 UTC,+0,+2.58465420239,+0,+0,+2.15393977069,+4.73814786231,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,+0,+2.58480665025,+0,+0,+2.15406681508,+4.73842732247,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:00 UTC,+0,+2.58456229269,+0,+0,+2.15386317656,+4.73797937782,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,+0,+0,+0,+4.73990403486,+0,+0,+0,+2.15645999581,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:00 UTC,+5.17233672691,+0,+0,+0,+0,+4.74146847194,+0,+0,+0,+2.15522440023,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:30 UTC,+5.17456199664,+0,+0,+0,+0,+0,+0,+0,+0,+2.15495857725,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:00 UTC,+5.17838777955,+0,+0,+0,+0,+0,+0,+0,+0,+2.15330088918,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:30 UTC,+5.17959911588,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.59813708038
2010-08-16 00:56:00 UTC,+5.17680440723,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.59775205128
2010-08-16 00:56:30 UTC,+5.17823947845,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.29266109354,+5.6006185318
2010-08-16 00:57:00 UTC,+5.18226214441,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.29253362824,+5.60006629314
2010-08-16 00:57:30 UTC,+5.18466159292,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.59846974717,+0,+0,+0,+0,+0,+0,+0,+1.29217050202,+5.59849306239
2010-08-16 00:58:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.59860863616,+0,+0,+0,+0,+0,+0,+0,+1.29220255991,+5.598631952
2010-08-16 00:58:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.59554466048,+0,+0,+0,+0,+0,+0,+0,+0,+5.59556796266
2010-08-16 00:59:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.5980095525,+0,+0,+0,+0,+0,+5.59752192093,+0,+0,+5.59803286567
2010-08-16 00:59:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.59782211757,+0,+0,+0,+0,+0,+5.59733450745,+0,+0,+5.5978454299
2010-08-16 01:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.59816482765,+0,+0,+0,+0,+0,+5.59767717827,+0,+0,+5.59818814151
2010-08-16 01:00:30 UTC,+0,+0,+0,+3.88334423651,+0,+0,+0,+0,+0,+0,+5.5958510207,+0,+0,+0,+0,+0,+5.59536363648,+0,+0,+0
2010-08-16 01:01:00 UTC,+0,+0,+0,+3.88427080783,+0,+0,+0,+0,+0,+0,+5.59387904991,+0,+0,+0,+0,+0,+5.5933918917,+0,+0,+0
2010-08-16 01:01:30 UTC,+0,+0,+0,+3.88353548728,+0,+0,+0,+0,+0,+0,+5.59539149265,+0,+0,+0,+0,+0,+5.59490416109,+0,+0,+0
2010-08-16 01:02:00 UTC,+0,+0,+0,+3.88084579617,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.59699205116,+0,+0,+0
2010-08-16 01:02:30 UTC,+0,+0,+0,+3.88229131804,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.59889297171,+0,+0,+0
2010-08-16 01:03:00 UTC,+0,+0,+0,+3.88330842427,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
