# file...... Output/hvac/house_hvac_file_027.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_7A_tm_2_A_7_Meter_49_521:hvac_load,house_2_8A_tm_2_A_8_Meter_49_522:hvac_load,house_2_9A_tm_2_A_9_Meter_49_523:hvac_load,house_2_10A_tm_2_A_10_Meter_49_524:hvac_load,house_2_11A_tm_2_A_11_Meter_49_525:hvac_load,house_2_12A_tm_2_A_12_Meter_49_526:hvac_load,house_2_13A_tm_2_A_13_Meter_49_527:hvac_load,house_2_14A_tm_2_A_14_Meter_49_528:hvac_load,house_2_15A_tm_2_A_15_Meter_49_529:hvac_load,house_2_1B_tm_2_B_1_Meter_49_530:hvac_load,house_2_2B_tm_2_B_2_Meter_49_531:hvac_load,house_2_3B_tm_2_B_3_Meter_49_532:hvac_load,house_2_4B_tm_2_B_4_Meter_49_533:hvac_load,house_2_5B_tm_2_B_5_Meter_49_534:hvac_load,house_2_6B_tm_2_B_6_Meter_49_535:hvac_load,house_2_7B_tm_2_B_7_Meter_49_536:hvac_load,house_2_8B_tm_2_B_8_Meter_49_537:hvac_load,house_2_9B_tm_2_B_9_Meter_49_538:hvac_load,house_2_10B_tm_2_B_10_Meter_49_539:hvac_load,house_2_11B_tm_2_B_11_Meter_49_540:hvac_load
2010-08-16 17:58:30 UTC,+3.84234568252,+0,+2.98861139225,+2.56171903866,+0,+2.98878203894,+0,+0,+0,+6.45220121709,+5.16236404235,+3.44192546134,+6.45257252679,+1.72111602166,+4.30242951277,+5.16256017728,+0,+3.44208881086,+4.73193983095,+3.0117267004
2010-08-16 17:59:00 UTC,+3.83792941677,+2.98523232092,+2.98517635413,+2.55877463099,+0,+2.98534671576,+0,+0,+0,+6.45865712821,+5.16752951932,+3.44536957158,+6.45902889032,+1.72283827465,+4.30673465091,+5.16772585841,+0,+0,+4.7366744894,+3.0147403295
2010-08-16 17:59:30 UTC,+3.84047230643,+2.98721028419,+2.98715425208,+0,+0,+2.98732477787,+0,+0,+0,+6.4563915725,+5.16571681226,+3.44416093919,+6.45676317586,+1.72223388903,+4.30522386029,+5.1659130797,+0,+0,+4.7350129683,+3.0136827647
2010-08-16 18:00:00 UTC,+3.83991241104,+2.98677477471,+2.98671875698,+0,+0,+2.98688924662,+0,+0,+0,+6.4673738258,+5.17450388722,+3.45001976957,+0,+0,+4.31254739898,+5.17470050208,+0,+0,+4.74306717153,+3.01880929691
2010-08-16 18:00:30 UTC,+3.84287690099,+2.98908067581,+2.98902458198,+0,+0,+2.98919526292,+0,+0,+0,+6.4628129453,+5.17085465448,+3.4475866237,+0,+0,+4.30950596632,+5.17105112504,+0,+0,+4.73972229703,+3.01668027115
2010-08-16 18:01:00 UTC,+3.8398525359,+2.98672820139,+2.98667218519,+0,+2.13342252093,+2.98684267097,+3.83984978024,+0,+4.26678221035,+6.46601390377,+5.17340904002,+3.44929427619,+0,+0,+4.31164053216,+5.1736123639,+0,+0,+4.74206982714,+3.01817448331
2010-08-16 18:01:30 UTC,+3.83961222224,+2.98654127564,+2.98648526562,+0,+2.13328899959,+2.98665573589,+3.83960946701,+4.2662956705,+4.26651517071,+6.46906424265,+5.17584965806,+3.45092157584,+0,+0,+4.31367465695,+0,+5.6071974051,+0,+4.74430689538,+3.01959838597
2010-08-16 18:02:00 UTC,+3.84063296306,+2.98733524946,+2.98727921323,+2.56088989669,+2.13385613631,+2.98744974939,+3.84063020602,+4.2674298475,+4.26764943121,+6.46220758677,+5.17036355346,+3.44726367606,+0,+1.72378543569,+4.30910228173,+0,+5.60125403177,+3.44742735596,+4.73927833708,+0
2010-08-16 18:02:30 UTC,+0,+2.98922004665,+2.98916394822,+2.56219267241,+2.13520244982,+2.98933464073,+3.84305331623,+4.2701222457,+4.27034202751,+6.46029081287,+5.1688299163,+3.44624111239,+0,+1.72327409512,+4.30782407702,+0,+5.59959256538,+3.44640472902,+4.73787260676,+0
2010-08-16 18:03:00 UTC,+0,+2.98968038676,+2.9896211091,+2.5625872486,+2.13553127146,+2.98979500383,+3.84364513314,+4.27077983311,+4.27099966329,+6.45521559103,+5.16476916142,+3.44353357463,+0,+1.72192017071,+4.30443965454,+0,+5.595193345,+3.44369702369,+4.73415052294,+0
