# file...... Output/hvac/house_hvac_file_050.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_13A_tm_3_A_13_Meter_82_981:hvac_load,house_3_14A_tm_3_A_14_Meter_82_982:hvac_load,house_3_15A_tm_3_A_15_Meter_82_983:hvac_load,house_3_1C_tm_3_C_1_Meter_83_984:hvac_load,house_3_2C_tm_3_C_2_Meter_83_985:hvac_load,house_3_3C_tm_3_C_3_Meter_83_986:hvac_load,house_3_4C_tm_3_C_4_Meter_83_987:hvac_load,house_3_5C_tm_3_C_5_Meter_83_988:hvac_load,house_3_6C_tm_3_C_6_Meter_83_989:hvac_load,house_3_7C_tm_3_C_7_Meter_83_990:hvac_load,house_3_8C_tm_3_C_8_Meter_83_991:hvac_load,house_3_1C_tm_3_C_1_Meter_84_992:hvac_load,house_3_2C_tm_3_C_2_Meter_84_993:hvac_load,house_3_3C_tm_3_C_3_Meter_84_994:hvac_load,house_3_4C_tm_3_C_4_Meter_84_995:hvac_load,house_3_5C_tm_3_C_5_Meter_84_996:hvac_load,house_3_6C_tm_3_C_6_Meter_84_997:hvac_load,house_3_7C_tm_3_C_7_Meter_84_998:hvac_load,house_3_8C_tm_3_C_8_Meter_84_999:hvac_load,house_3_1C_tm_3_C_1_Meter_85_1000:hvac_load
2010-08-16 00:52:30 UTC,+5.64823899347,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:00 UTC,+5.65459086164,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,+0,+0,+0,+0,+4.35258775377,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,+0,+0,+0,+4.34931107627,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:00 UTC,+0,+0,+0,+0,+0,+0,+4.34403138834,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.77485374856,+0
2010-08-16 00:55:30 UTC,+0,+0,+0,+0,+0,+0,+4.3442816476,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.7749920931,+0
2010-08-16 00:56:00 UTC,+0,+0,+0,+0,+0,+2.17184238678,+4.34323109505,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.77395762085,+0
2010-08-16 00:56:30 UTC,+0,+0,+0,+0,+0,+2.1753693665,+4.35028416904,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.78239265675,+0
2010-08-16 00:57:00 UTC,+0,+0,+0,+0,+0,+2.17506995677,+4.34968542474,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.78173495934,+0
2010-08-16 00:57:30 UTC,+0,+0,+0,+0,+0,+2.17654093839,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.78572105733,+0
2010-08-16 00:58:00 UTC,+0,+0,+0,+0,+0,+2.17721584863,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.08453244637,+2.60804043734,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:59:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.04504616377,+0,+0,+6.08644519519,+2.60886033064,+0,+0,+0,+0,+0,+0,+2.60859227607
2010-08-16 00:59:30 UTC,+0,+1.7414120016,+0,+0,+0,+0,+0,+0,+3.04653820483,+0,+0,+6.08943384172,+2.6101414039,+0,+0,+0,+0,+0,+0,+2.6098731008
2010-08-16 01:00:00 UTC,+0,+1.73947852258,+0,+0,+0,+0,+0,+0,+3.04669227453,+0,+0,+6.08925038646,+2.61006276642,+0,+0,+0,+0,+0,+0,+2.60961090141
2010-08-16 01:00:30 UTC,+0,+1.74177212569,+0,+0,+0,+0,+0,+0,+3.04470049155,+1.73994779464,+0,+6.08540301466,+2.6084136035,+0,+0,+0,+0,+0,+0,+2.60796223579
2010-08-16 01:01:00 UTC,+0,+1.74250919145,+0,+0,+0,+0,+0,+0,+3.04323501722,+1.73911030953,+0,+6.08248576332,+2.60716313355,+0,+0,+0,+0,+0,+0,+2.60671111072
2010-08-16 01:01:30 UTC,+0,+0,+0,+0,+2.60964534786,+0,+0,+0,+3.0444062484,+1.7397796414,+2.6095007195,+6.08580172385,+0,+0,+0,+0,+0,+0,+0,+0
