# file...... Output/hvac/house_hvac_file_049.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_8B_tm_3_B_8_Meter_80_961:hvac_load,house_3_9B_tm_3_B_9_Meter_80_962:hvac_load,house_3_10B_tm_3_B_10_Meter_80_963:hvac_load,house_3_11B_tm_3_B_11_Meter_80_964:hvac_load,house_3_12B_tm_3_B_12_Meter_80_965:hvac_load,house_3_13B_tm_3_B_13_Meter_80_966:hvac_load,house_3_14B_tm_3_B_14_Meter_80_967:hvac_load,house_3_15B_tm_3_B_15_Meter_80_968:hvac_load,house_3_1A_tm_3_A_1_Meter_82_969:hvac_load,house_3_2A_tm_3_A_2_Meter_82_970:hvac_load,house_3_3A_tm_3_A_3_Meter_82_971:hvac_load,house_3_4A_tm_3_A_4_Meter_82_972:hvac_load,house_3_5A_tm_3_A_5_Meter_82_973:hvac_load,house_3_6A_tm_3_A_6_Meter_82_974:hvac_load,house_3_7A_tm_3_A_7_Meter_82_975:hvac_load,house_3_8A_tm_3_A_8_Meter_82_976:hvac_load,house_3_9A_tm_3_A_9_Meter_82_977:hvac_load,house_3_10A_tm_3_A_10_Meter_82_978:hvac_load,house_3_11A_tm_3_A_11_Meter_82_979:hvac_load,house_3_12A_tm_3_A_12_Meter_82_980:hvac_load
2010-08-16 00:28:00 UTC,+5.21247149098,+0,+0,+0,+0,+0,+3.04065887229,+0,+0,+2.61303514242,+0,+0,+0,+0,+2.17743176488,+0,+0,+2.61296764071,+0,+4.78956475275
2010-08-16 00:28:30 UTC,+5.20561487375,+0,+0,+0,+0,+0,+3.0366591162,+0,+0,+2.61288860469,+0,+0,+0,+0,+2.17730965772,+0,+0,+2.61282110783,+0,+4.78929617177
2010-08-16 00:29:00 UTC,+5.20008892909,+0,+0,+0,+0,+0,+3.03343559797,+0,+0,+2.6151618965,+0,+0,+0,+0,+2.17920394936,+0,+0,+0,+0,+4.7934627639
2010-08-16 00:29:30 UTC,+5.19988129001,+0,+0,+0,+0,+3.03346424924,+0,+0,+0,+2.61340226287,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.79023762784
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+3.03348043095,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.79112532065
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+3.03391186568,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.78860507939
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+3.034745363,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.79141185418
2010-08-16 00:31:30 UTC,+0,+0,+0,+4.7671959495,+0,+3.03394383098,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+4.77056127092,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,+4.77823627722,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,+4.77545054737,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,+4.77996686389,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+4.78466127397,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+4.78248951119,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+0,+0,+0,+3.47595752104,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+0,+0,+0,+3.47497382886,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+0,+0,+3.47727851595,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+0,+0,+3.4751711908,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+0,+0,+3.47383223701,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.61065730067,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.61366396257,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.61323242526,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.61360357969,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,+6.08061409353,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,+6.0787892575,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+6.07708354943,+0,+0,+0,+0,+0,+0,+2.61357953561,+0,+0,+0,+0,+0,+0,+2.61355481624,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+6.07765279403,+0,+0,+0,+0,+0,+0,+2.61163406318,+0,+0,+0,+0,+0,+0,+2.61160937202,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,+6.08426025262,+0,+0,+0,+0,+0,+0,+2.61089004581,+0,+0,+0,+0,+0,+0,+2.61086536545,+0,+0,+0,+0
2010-08-16 00:42:30 UTC,+0,+6.07709247378,+0,+0,+0,+0,+0,+0,+2.61313422511,+0,+0,+0,+0,+0,+0,+2.6131095122,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,+0,+6.0805769845,+0,+0,+0,+0,+0,+0,+2.61157084179,+0,+0,+0,+0,+0,+0,+2.61154615155,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,+4.34034798036,+0,+0,+0,+0,+2.61468689086,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,+4.34301349949,+0,+0,+0,+0,+2.6126699008,+0,+0,+0,+0,+2.17712741585,+0,+0,+0,+0,+0
