# file...... Output/hvac/house_hvac_file_064.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_4A_tm_3_A_4_Meter_113_1261:hvac_load,house_3_5A_tm_3_A_5_Meter_113_1262:hvac_load,house_3_6A_tm_3_A_6_Meter_113_1263:hvac_load,house_3_7A_tm_3_A_7_Meter_113_1264:hvac_load,house_3_8A_tm_3_A_8_Meter_113_1265:hvac_load,house_3_9A_tm_3_A_9_Meter_113_1266:hvac_load,house_3_10A_tm_3_A_10_Meter_113_1267:hvac_load,house_3_11A_tm_3_A_11_Meter_113_1268:hvac_load,house_3_12A_tm_3_A_12_Meter_113_1269:hvac_load,house_3_13A_tm_3_A_13_Meter_113_1270:hvac_load,house_3_14A_tm_3_A_14_Meter_113_1271:hvac_load,house_3_15A_tm_3_A_15_Meter_113_1272:hvac_load,house_3_1A_tm_3_A_1_Meter_114_1273:hvac_load,house_3_2A_tm_3_A_2_Meter_114_1274:hvac_load,house_3_3A_tm_3_A_3_Meter_114_1275:hvac_load,house_3_4A_tm_3_A_4_Meter_114_1276:hvac_load,house_3_5A_tm_3_A_5_Meter_114_1277:hvac_load,house_3_6A_tm_3_A_6_Meter_114_1278:hvac_load,house_3_7A_tm_3_A_7_Meter_114_1279:hvac_load,house_3_8A_tm_3_A_8_Meter_114_1280:hvac_load
2010-08-16 00:45:00 UTC,+0,+0,+0,+0,+0,+2.60733363313,+0,+0,+0,+0,+0,+0,+4.77850330986,+0,+0,+0,+0,+0,+3.47538428708,+5.21282575837
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+0,+2.60445571126,+0,+0,+0,+0,+0,+0,+4.77357274808,+0,+0,+0,+0,+0,+3.47179829239,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.77604303081,+0,+0,+0,+0,+0,+3.47359492756,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.77589442111,+0,+0,+0,+0,+0,+3.47348684385,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,+0,+0,+2.17180691431,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,+0,+0,+2.17305305616,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,+0,+0,+2.16906375954,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:00 UTC,+0,+0,+2.17239271957,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.76988387129,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.77581630554,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,+0,+0,+0,+0,+0,+3.90089512768,+0,+0,+0,+4.76809062924,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,+0,+0,+3.90398459622,+0,+0,+0,+4.77186695731,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,+0,+0,+0,+0,+0,+0,+3.90395620592,+0,+0,+0,+4.7718322552,+0,+0,+0,+3.03638179801,+0,+0,+0,+0,+0
2010-08-16 00:53:00 UTC,+0,+0,+0,+0,+0,+0,+3.90908414961,+0,+0,+0,+4.77810025802,+0,+0,+0,+3.04036995729,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,+0,+0,+0,+0,+3.90957138429,+0,+2.17222516548,+0,+4.7786958161,+0,+0,+0,+3.04076951607,+0,+0,+0,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,+0,+0,+0,+0,+3.91205689961,+0,+2.17360619368,+0,+4.78173391823,+0,+0,+0,+3.0427026038,+0,+0,+0,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,+3.91485462649,+0,+0,+0,+0,+2.1750275902,+0,+4.78486082594,+0,+0,+0,+3.04469219795,+0,+0,+0,+0,+0
2010-08-16 00:55:00 UTC,+0,+0,+0,+3.91487433405,+0,+2.6100109461,+0,+0,+2.17503853953,+0,+0,+0,+0,+0,+3.04455914367,+0,+0,+3.04462265548,+0,+0
2010-08-16 00:55:30 UTC,+0,+0,+0,+3.91643703562,+0,+2.61105279046,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04594498229,+0,+0
2010-08-16 00:56:00 UTC,+0,+0,+0,+3.91139819652,+0,+2.60769342471,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04202635606,+0,+0
2010-08-16 00:56:30 UTC,+0,+0,+0,+3.90981634183,+3.90963587493,+2.60663881105,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04083328924,+0,+0
2010-08-16 00:57:00 UTC,+0,+0,+0,+3.91169946111,+3.91151888762,+2.60789427611,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04229779672,+0,+0
2010-08-16 00:57:30 UTC,+0,+0,+0,+3.9130471874,+3.91286653764,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04332114145,+0,+0
2010-08-16 00:58:00 UTC,+0,+0,+0,+3.90940317684,+3.90922273332,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04048722903,+0,+0
2010-08-16 00:58:30 UTC,+0,+0,+0,+0,+3.91180452503,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04245802269,+0,+0
2010-08-16 00:59:00 UTC,+0,+0,+0,+0,+3.90871800085,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:59:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:00:00 UTC,+0,+3.03796903186,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.07532520778,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:00:30 UTC,+0,+3.04158245348,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.08255113151,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:01:00 UTC,+0,+3.042037893,+2.17288942137,+0,+0,+0,+0,+0,+0,+1.7383856328,+0,+6.0834618947,+0,+0,+0,+0,+0,+0,+0,+0
