# file...... Output/hvac/house_hvac_file_026.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_16C_tm_2_C_16_Meter_48_501:hvac_load,house_2_17C_tm_2_C_17_Meter_48_502:hvac_load,house_2_18C_tm_2_C_18_Meter_48_503:hvac_load,house_2_19C_tm_2_C_19_Meter_48_504:hvac_load,house_2_20C_tm_2_C_20_Meter_48_505:hvac_load,house_2_21C_tm_2_C_21_Meter_48_506:hvac_load,house_2_22C_tm_2_C_22_Meter_48_507:hvac_load,house_2_23C_tm_2_C_23_Meter_48_508:hvac_load,house_2_24C_tm_2_C_24_Meter_48_509:hvac_load,house_2_25C_tm_2_C_25_Meter_48_510:hvac_load,house_2_26C_tm_2_C_26_Meter_48_511:hvac_load,house_2_27C_tm_2_C_27_Meter_48_512:hvac_load,house_2_28C_tm_2_C_28_Meter_48_513:hvac_load,house_2_29C_tm_2_C_29_Meter_48_514:hvac_load,house_2_1A_tm_2_A_1_Meter_49_515:hvac_load,house_2_2A_tm_2_A_2_Meter_49_516:hvac_load,house_2_3A_tm_2_A_3_Meter_49_517:hvac_load,house_2_4A_tm_2_A_4_Meter_49_518:hvac_load,house_2_5A_tm_2_A_5_Meter_49_519:hvac_load,house_2_6A_tm_2_A_6_Meter_49_520:hvac_load
2010-08-16 00:34:00 UTC,+0,+0,+0,+4.31002198045,+0,+0,+2.58603329384,+3.01708182108,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+4.30875007294,+0,+0,+2.58527014367,+3.01619146248,+0,+0,+0,+0,+0,+0,+5.17038173588,+0,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,+0,+2.58663439731,+0,+0,+0,+0,+0,+0,+0,+5.17064091783,+0,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17049740481,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01704369514,+3.01717422567,+5.17227436585,+0,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01651615432,+3.01664665588,+5.1715522983,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01665042409,+3.01678093302,+5.17234177888,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+1.72293746609,+0,+0,+5.16805052614,+0,+0,+3.4454971166,+3.01489296561,+3.01502337802,+5.1731460069,+5.60430967887,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+1.72411820041,+0,+0,+5.17159207643,+0,+0,+3.44785826152,+3.01695904027,+3.01708956615,+5.17487430139,+5.6061820255,+0,+0,+4.74380197163,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+1.72452689411,+0,+0,+5.17281793164,+0,+0,+3.44867553688,+3.01767418142,+3.01780474657,+5.17416459872,+5.6054131696,+0,+0,+4.74315138521,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+1.72427325634,+0,+0,+5.17205715853,+0,+0,+3.44816833088,+0,+0,+0,+5.60461376793,+0,+0,+4.74247495174,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+1.72328693995,+0,+0,+5.16909875454,+0,+0,+3.44619596851,+0,+0,+0,+5.60563240963,+0,+0,+4.74333690059,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+5.17021873309,+0,+0,+3.4469426561,+0,+0,+0,+5.60357041667,+0,+0,+4.74159209429,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+5.16960006679,+0,+0,+3.44653019244,+0,+0,+0,+5.60300941768,+0,+3.01724703043,+4.74111739114,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.6025447657,+0,+3.01699680848,+4.74072421438,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.60106406809,+0,+3.01619943096,+4.7394712855,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.44504037837,+0,+0,+0,+0,+5.59863049152,+0,+3.0148889141,+4.73741205459,+0
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,+3.44560469047,+0,+0,+0,+0,+0,+3.44556304562,+0,+0,+0,+0,+0,+0,+3.0160908118,+4.7393006109,+0
2010-08-16 00:43:00 UTC,+0,+3.44560187756,+0,+0,+3.44578137485,+0,+0,+0,+0,+0,+3.4457397262,+0,+0,+0,+0,+0,+0,+3.01493485033,+0,+0
2010-08-16 00:43:30 UTC,+0,+3.44552611029,+0,+0,+3.44570560242,+0,+0,+0,+0,+0,+3.4456639554,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+0,+3.44355751595,+0,+0,+3.44373687432,+0,+0,+0,+0,+0,+3.44369526965,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+0,+3.44320703664,+0,+0,+3.44338637121,+0,+0,+0,+0,+0,+3.44334477407,+0,+0,+0,+0,+0,+0,+0,+0,+5.17091142639
