# file...... Output/hvac/house_hvac_file_009.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_8A_tm_0_A_8_Meter_20_161:hvac_load,house_0_9A_tm_0_A_9_Meter_20_162:hvac_load,house_0_10A_tm_0_A_10_Meter_20_163:hvac_load,house_0_11A_tm_0_A_11_Meter_20_164:hvac_load,house_0_12A_tm_0_A_12_Meter_20_165:hvac_load,house_0_13A_tm_0_A_13_Meter_20_166:hvac_load,house_0_14A_tm_0_A_14_Meter_20_167:hvac_load,house_0_15A_tm_0_A_15_Meter_20_168:hvac_load,house_1_1B_tm_1_B_1_Meter_22_169:hvac_load,house_1_2B_tm_1_B_2_Meter_22_170:hvac_load,house_1_3B_tm_1_B_3_Meter_22_171:hvac_load,house_1_4B_tm_1_B_4_Meter_22_172:hvac_load,house_1_5B_tm_1_B_5_Meter_22_173:hvac_load,house_1_6B_tm_1_B_6_Meter_22_174:hvac_load,house_1_7B_tm_1_B_7_Meter_22_175:hvac_load,house_1_8B_tm_1_B_8_Meter_22_176:hvac_load,house_1_9B_tm_1_B_9_Meter_22_177:hvac_load,house_1_10B_tm_1_B_10_Meter_22_178:hvac_load,house_1_11B_tm_1_B_11_Meter_22_179:hvac_load,house_1_12B_tm_1_B_12_Meter_22_180:hvac_load
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.31245156231,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.31287865005,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+3.88572657579,+0,+0,+0,+0,+0,+0,+0,+0,+4.31113810359,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+3.88505355366,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+3.88611513644,+0,+0,+0,+0,+6.0304917556,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.16940982696,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+3.8854435914,+0,+0,+0,+0,+6.03582860657,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17398474892,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+3.88351547776,+0,+0,+0,+0,+6.03669342396,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17472609847,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+3.88352352405,+0,+0,+0,+0,+6.0360126099,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17414248256,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+3.88358502855,+0,+0,+0,+0,+6.03568647592,+0,+0,+0,+0,+0,+0,+4.74376978967,+0,+0,+5.17386290992,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+6.03145513882,+0,+0,+0,+0,+0,+0,+4.73976520943,+0,+0,+5.17023567036,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73970245084,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.30851020054,+0,+0,+0,+0,+4.73949907694,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.30861061258,+0,+0,+0,+0,+4.73960953427,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.30898078863,+0,+0,+0,+0,+4.74001674301,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+6.03708043025,+0,+0,+0,+0,+0,+4.30979032554,+0,+0,+0,+0,+4.7409072666,+0,+0,+0,+2.15515473295
2010-08-16 00:31:30 UTC,+2.15651502119,+3.88148360928,+0,+0,+6.03719321255,+0,+0,+0,+0,+0,+4.30962757339,+0,+0,+0,+0,+4.7407282326,+0,+0,+0,+2.15507334466
2010-08-16 00:32:00 UTC,+2.15706903583,+3.88248076169,+0,+0,+6.03874411934,+0,+0,+0,+0,+0,+4.31184561722,+0,+0,+0,+0,+0,+0,+0,+0,+2.15618253302
2010-08-16 00:32:30 UTC,+2.15513172959,+3.87899386904,+0,+0,+6.0333208306,+0,+0,+0,+0,+0,+4.31502922273,+0,+0,+0,+0,+0,+0,+0,+0,+2.15777457465
2010-08-16 00:33:00 UTC,+2.15575848485,+3.88012194485,+0,+0,+6.0350753672,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,+3.88053970367,+0,+0,+6.03572512243,+0,+0,+0,+0,+0,+0,+6.47285650253,+0,+0,+0,+0,+0,+0,+0,+0
