# file...... Output/hvac/house_hvac_file_017.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_2B_tm_2_B_2_Meter_38_321:hvac_load,house_2_3B_tm_2_B_3_Meter_38_322:hvac_load,house_2_4B_tm_2_B_4_Meter_38_323:hvac_load,house_2_5B_tm_2_B_5_Meter_38_324:hvac_load,house_2_6B_tm_2_B_6_Meter_38_325:hvac_load,house_2_7B_tm_2_B_7_Meter_38_326:hvac_load,house_2_8B_tm_2_B_8_Meter_38_327:hvac_load,house_2_1B_tm_2_B_1_Meter_39_328:hvac_load,house_2_2B_tm_2_B_2_Meter_39_329:hvac_load,house_2_3B_tm_2_B_3_Meter_39_330:hvac_load,house_2_4B_tm_2_B_4_Meter_39_331:hvac_load,house_2_5B_tm_2_B_5_Meter_39_332:hvac_load,house_2_6B_tm_2_B_6_Meter_39_333:hvac_load,house_2_7B_tm_2_B_7_Meter_39_334:hvac_load,house_2_8B_tm_2_B_8_Meter_39_335:hvac_load,house_2_1C_tm_2_C_1_Meter_41_336:hvac_load,house_2_2C_tm_2_C_2_Meter_41_337:hvac_load,house_2_3C_tm_2_C_3_Meter_41_338:hvac_load,house_2_4C_tm_2_C_4_Meter_41_339:hvac_load,house_2_5C_tm_2_C_5_Meter_41_340:hvac_load
2010-08-16 14:32:30 UTC,+4.72498744078,+0,+3.86649211632,+4.29574959637,+0,+2.57760635567,+5.155173707,+3.00614657157,+4.72328960547,+5.58203771145,+5.15246994627,+2.14730051672,+2.57671296296,+4.7232475933,+4.72362176051,+0,+3.86718647218,+5.58508959931,+3.00781361623,+0
2010-08-16 14:33:00 UTC,+4.72210687411,+0,+3.86413483997,+4.29313067036,+0,+2.57603488444,+5.15203076603,+3.00431421916,+4.72041070509,+5.57863538781,+5.14932951023,+2.14599164744,+2.57514235707,+4.72036870236,+4.72074259929,+0,+3.86820342213,+5.58655823031,+3.00860457632,+0
2010-08-16 14:33:30 UTC,+4.72118011685,+0,+3.86337643955,+4.29228809007,+0,+2.57552929907,+5.15101959576,+3.00383189457,+4.71965290083,+5.57773980443,+5.14850286273,+2.14564711773,+0,+4.71961090058,+4.71998472637,+0,+3.86801522195,+5.58628644053,+3.00845819859,+0
2010-08-16 14:34:00 UTC,+4.71714526897,+0,+3.86007457129,+4.2886197257,+0,+2.57332811849,+5.14661723657,+3.00126514324,+4.71562014978,+5.5729738443,+5.14410375377,+2.14381365928,+0,+4.71557816265,+4.71595160985,+0,+3.86746981437,+5.58549878868,+3.00803399322,+0
2010-08-16 14:34:30 UTC,+4.71479843377,+0,+3.85815406744,+0,+0,+2.57204782037,+5.14405664144,+2.9998613354,+4.71341455732,+5.57036724509,+5.14169779288,+0,+0,+4.71337257734,+4.71374581747,+0,+3.86755592354,+5.5856231435,+3.00810096693,+4.29778068284
2010-08-16 14:35:00 UTC,+4.73047844836,+2.58073083708,+3.87098561463,+0,+0,+2.58060193294,+5.16116485857,+3.00980625655,+4.72903951971,+5.58883303832,+5.15874221562,+0,+0,+4.72899748862,+4.72937219552,+0,+3.86710691332,+5.58497470417,+3.00775173719,+4.29639898071
2010-08-16 14:35:30 UTC,+4.73401112418,+2.58265819004,+3.87387653621,+0,+0,+2.58252915722,+0,+0,+4.73262457333,+5.59306990343,+5.16265295616,+0,+0,+4.73258253037,+4.73295757374,+4.29526304985,+3.86613011384,+5.58356405663,+3.0069920052,+4.29531377755
2010-08-16 14:36:00 UTC,+0,+2.58264392985,+3.87385514672,+0,+5.59456910761,+2.58251489799,+0,+0,+4.73262231458,+5.593067234,+5.16265049221,+0,+0,+4.73258027162,+4.73295531478,+4.29160450163,+3.86283695811,+5.57880823731,+3.00443066503,+4.29165515262
2010-08-16 14:36:30 UTC,+0,+2.584459442,+3.87657831336,+0,+5.59850166866,+2.58433028896,+0,+0,+4.73614599458,+0,+5.16649428368,+0,+2.58372686241,+4.73610393989,+4.73647931374,+4.28990927344,+3.86131103846,+5.57660457662,+3.0032438401,+4.28995988886
2010-08-16 14:37:00 UTC,+0,+2.5842571852,+3.87627493948,+0,+5.5980635624,+2.58412804566,+0,+0,+4.73577542396,+0,+5.16609004828,+0,+2.58352469485,+4.73573337051,+4.73610870959,+4.29059539606,+3.86192863554,+5.57749648099,+3.0037241928,+4.29064602587
2010-08-16 14:37:30 UTC,+0,+2.58657516037,+3.87975177257,+0,+5.60308450343,+0,+0,+0,+4.73980925862,+0,+5.17049033992,+2.15481104502,+2.58572538334,+4.73976719169,+4.74014290931,+4.29397381182,+3.86496963669,+5.58188815058,+3.00608941297,+4.29402451249
2010-08-16 14:38:00 UTC,+0,+2.58615301638,+3.8791185802,+0,+5.60217010186,+0,+0,+3.01604282943,+4.73883811231,+0,+5.16943096902,+2.15436952116,+2.58519556726,+4.73879604863,+4.73917167512,+4.29238883786,+3.86354295987,+5.57982781149,+3.00497977683,+4.2924395053
2010-08-16 14:38:30 UTC,+0,+2.58649176133,+3.87962667867,+4.31034205145,+5.60290385363,+0,+0,+3.01651397272,+4.73957834921,+0,+5.17023845334,+2.15470606392,+2.585599409,+4.73953628304,+4.73991197901,+4.29221601221,+3.86338739492,+5.57960315202,+3.00485878201,+4.29226667602
2010-08-16 14:39:00 UTC,+4.74039879298,+2.58614316639,+3.87910380577,+4.30976114137,+5.60214876589,+0,+5.17198878893,+3.01628274395,+4.73921505407,+0,+5.16984215436,+2.1545408947,+2.58540121063,+4.73917298912,+4.73954865099,+4.29107161118,+3.86235728935,+5.57811552246,+3.00405758979,+4.29112225099
2010-08-16 14:39:30 UTC,+4.74149209956,+2.58673965121,+3.87999849962,+4.31075514331,+5.60344080524,+0,+5.1731816783,+3.01697833976,+4.74030793961,+0,+5.17103432399,+2.15503776632,+2.58599744246,+4.74026587101,+4.74064163544,+4.29287560099,+3.8639811082,+5.58046056454,+0,+4.29292627864
2010-08-16 14:40:00 UTC,+4.74040320561,+2.58614557383,+3.87910741679,+4.3097651532,+5.60215398061,+2.58601630828,+5.17199360348,+3.01633128559,+4.73929132027,+0,+5.16992534903,+2.15457556852,+2.58544281823,+4.73924925507,+4.7396249241,+4.2899279269,+3.86132782892,+5.57662882461,+0,+4.28997854271
2010-08-16 14:40:30 UTC,+4.74347987815,+0,+3.8816251735,+4.31256237267,+5.60578990681,+2.58769476337,+5.17535051176,+3.01824302585,+4.74229495157,+0,+5.17320184771,+2.15594114529,+2.58708147155,+4.74225287629,+0,+4.28671622585,+3.85843689187,+5.57245387086,+0,+4.28676677424
2010-08-16 14:41:00 UTC,+4.74592892985,+0,+3.88362932446,+4.31478897786,+5.60868412817,+2.5890308247,+5.17802263287,+3.01996335985,+4.74499785494,+5.60769281563,+5.17615029865,+2.15716999848,+2.58855606046,+0,+0,+4.28826900851,+3.8598345926,+5.57447236378,+0,+4.2883195895
2010-08-16 14:41:30 UTC,+4.74164696413,+0,+3.8801252311,+4.31089594157,+5.60362381989,+2.58669483119,+5.17335064853,+3.01723879792,+4.74071715855,+5.60263383055,+5.17148071877,+2.15522381441,+2.58622069487,+0,+0,+4.29093241694,+3.86223199693,+5.57793458111,+0,+4.29098305382
2010-08-16 14:42:00 UTC,+4.74086092576,+0,+0,+4.31018129881,+5.60269490158,+2.58626601401,+5.17249301465,+3.01667004449,+4.73982356141,+5.60157776532,+5.17050594205,+2.15481754768,+2.58573318634,+0,+0,+4.29381841277,+3.86482975794,+5.58168614425,+0,+4.29386911019
2010-08-16 14:42:30 UTC,+4.74188942338,+0,+0,+4.31111637835,+5.6039103515,+2.58682710299,+5.17361519199,+3.01732443532,+4.74085170774,+5.60279284261,+5.17162749118,+2.15528498613,+2.5862940992,+0,+0,+4.29279944377,+3.86391255706,+5.58036156626,+3.00526724095,+4.29285011982
2010-08-16 14:43:00 UTC,+4.74021497593,+2.58604287973,+0,+4.30959402036,+5.601931536,+2.58591362103,+5.17178822909,+3.01641266313,+4.73941917661,+5.60109985787,+5.17006482057,+2.15463369738,+0,+0,+0,+4.29711510346,+3.86779719605,+5.58597157783,+3.00828862309,+4.29716586996
2010-08-16 14:43:30 UTC,+4.73348862332,+2.58237312466,+0,+4.30347861985,+5.59398251948,+2.58224411087,+5.16444921275,+3.01213257983,+4.73269452283,+5.5931525707,+5.16272926028,+2.15157638747,+0,+0,+0,+4.30132779465,+3.87158915011,+5.59144773868,+3.01123791707,+4.30137864935
2010-08-16 14:44:00 UTC,+4.73460023419,+2.58297959596,+0,+4.30448926353,+5.59529619027,+2.58285054169,+5.16566207373,+3.01283991517,+4.73380585285,+5.59446595561,+5.16394154992,+2.15208164478,+0,+0,+0,+4.30370381124,+3.873727865,+5.5945363698,+3.01290135994,+4.30375471566
2010-08-16 14:44:30 UTC,+4.73378012062,+2.5825321594,+0,+4.30374364056,+5.59432700288,+2.582403135,+5.16476726083,+3.01212069906,+4.73267585636,+5.5931305104,+5.16270889803,+2.15156790091,+0,+4.73263381322,+0,+4.30717000059,+3.87684787282,+5.5990421382,+3.01532802973,+4.30722097747
2010-08-16 14:45:00 UTC,+4.73190162771,+2.58150729354,+3.87215025587,+4.30203577044,+5.59210705222,+0,+5.16271766701,+3.01099387226,+4.73090544226,+5.59103821096,+5.16077764931,+2.15076299629,+0,+4.73086340499,+0,+4.31159642169,+3.88083221015,+5.60479613096,+3.01842695499,+4.31164749102
2010-08-16 14:45:30 UTC,+4.73317524523,+2.58220215222,+3.873192505,+4.30319370577,+5.59361217797,+0,+5.16410729088,+3.01148532885,+4.73167759436,+5.59195075081,+5.16161994816,+2.15111404907,+2.5816086213,+4.73163555454,+4.73201050903,+4.30903855301,+0,+0,+3.01663619816,+4.30908956893
2010-08-16 14:46:00 UTC,+4.73361270559,+2.58244082134,+3.87355049532,+4.30359143179,+5.59412915644,+0,+5.16458459698,+3.01165596017,+4.73194568173,+5.59226758011,+5.16191239012,+2.15123593288,+2.58143535041,+4.73190364101,+4.73227862069,+4.30729715054,+0,+0,+3.01541704705,+4.30734813007
2010-08-16 14:46:30 UTC,+4.73214365352,+2.58163933768,+3.87234831468,+4.30225581313,+5.59239307159,+0,+5.16298173753,+3.01072146965,+4.73047745687,+5.59053241201,+5.16031078327,+2.15056841615,+2.58063434932,+4.73043542103,+4.73081026288,+4.30692803716,+0,+0,+3.01515863177,+4.30697900898
2010-08-16 14:47:00 UTC,+4.73605427947,+2.58377289217,+3.87554852703,+4.30581123842,+5.59701454055,+0,+5.16724855941,+0,+4.73472446177,+5.59555158011,+5.16494361059,+0,+2.58295133459,+4.73468241182,+4.73505765226,+4.30499293776,+0,+0,+3.01380387395,+4.30504386913
2010-08-16 14:47:30 UTC,+4.7379272592,+2.58479475013,+3.8770812568,+4.30751409611,+5.59922797593,+0,+5.16929213783,+0,+4.73659660801,+5.59776410797,+5.16698583344,+0,+2.58397269793,+4.73655455182,+4.73692996797,+4.30266086478,+0,+0,+3.01217119593,+4.30271174738
2010-08-16 14:48:00 UTC,+4.74058634796,+2.58624549241,+3.87925728906,+4.30993166081,+5.60237041316,+2.58611622019,+5.17219342719,+0,+4.73932635404,+5.60099015889,+5.16996356546,+0,+2.58546193117,+4.73928428872,+4.73965996104,+4.29992624942,+0,+0,+3.01025669898,+4.29997707479
2010-08-16 14:48:30 UTC,+0,+0,+3.88133959012,+4.31224509048,+5.60537749205,+2.58750438005,+5.17496974534,+0,+4.74166611861,+5.60375532443,+5.1725158879,+0,+2.58673840706,+4.74162404544,+4.74199993731,+4.29432792038,+0,+0,+3.00633732349,+4.29437862848
2010-08-16 14:49:00 UTC,+0,+0,+3.88157694293,+4.31250878868,+5.60572025644,+2.5876626106,+5.17528620626,+0,+0,+5.60446562436,+5.17317151392,+0,+2.58706630089,+4.7422250688,+4.74260101705,+4.29040070359,+3.8617533877,+0,+3.00358788909,+4.29045132932
2010-08-16 14:49:30 UTC,+0,+0,+3.87957249099,+4.31028184912,+5.60282560051,+2.58632634863,+5.17261368382,+0,+0,+5.60171350908,+5.17063123721,+0,+2.58579584935,+4.7398963546,+4.74027208434,+4.2888207326,+3.86033121406,+0,+3.00248175541,+4.28887132517
