# file...... Output/hvac/house_hvac_file_041.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_6A_tm_3_A_6_Meter_70_801:hvac_load,house_3_7A_tm_3_A_7_Meter_70_802:hvac_load,house_3_8A_tm_3_A_8_Meter_70_803:hvac_load,house_3_1A_tm_3_A_1_Meter_71_804:hvac_load,house_3_2A_tm_3_A_2_Meter_71_805:hvac_load,house_3_3A_tm_3_A_3_Meter_71_806:hvac_load,house_3_4A_tm_3_A_4_Meter_71_807:hvac_load,house_3_5A_tm_3_A_5_Meter_71_808:hvac_load,house_3_6A_tm_3_A_6_Meter_71_809:hvac_load,house_3_7A_tm_3_A_7_Meter_71_810:hvac_load,house_3_8A_tm_3_A_8_Meter_71_811:hvac_load,house_3_9A_tm_3_A_9_Meter_71_812:hvac_load,house_3_10A_tm_3_A_10_Meter_71_813:hvac_load,house_3_11A_tm_3_A_11_Meter_71_814:hvac_load,house_3_12A_tm_3_A_12_Meter_71_815:hvac_load,house_3_13A_tm_3_A_13_Meter_71_816:hvac_load,house_3_14A_tm_3_A_14_Meter_71_817:hvac_load,house_3_15A_tm_3_A_15_Meter_71_818:hvac_load,house_3_1C_tm_3_C_1_Meter_73_819:hvac_load,house_3_2C_tm_3_C_2_Meter_73_820:hvac_load
2010-08-16 00:41:00 UTC,+0,+0,+0,+5.22170460349,+0,+0,+0,+0,+0,+5.65613979039,+0,+0,+0,+0,+0,+0,+0,+6.52643068189,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+5.21849958842,+0,+0,+0,+0,+0,+5.65266822448,+0,+0,+0,+0,+0,+0,+0,+6.522424968,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+5.2167040214,+0,+0,+0,+0,+0,+5.65072332579,+0,+0,+0,+0,+0,+0,+0,+6.52018082005,+0,+0
2010-08-16 00:42:30 UTC,+0,+0,+0,+5.22213824666,+0,+0,+0,+0,+0,+5.65660949838,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,+0,+0,+0,+5.21920761054,+0,+0,+0,+0,+0,+5.65343513048,+0,+0,+0,+0,+0,+0,+0,+0,+4.78320698799,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,+5.22527580892,+0,+0,+0,+0,+0,+5.66000800173,+0,+0,+0,+0,+0,+0,+0,+0,+4.78713384133,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.65739549617,+0,+0,+0,+0,+0,+0,+0,+0,+4.7840595604,+0
2010-08-16 00:44:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.61106052354,+0,+0,+0,+4.35140936352,+0,+4.7818952074,+4.78151692378
2010-08-16 00:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.61128452134,+0,+0,+0,+4.35178265541,+0,+4.78196750033,+4.78158920963
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60858983728,+0,+0,+0,+4.34729196985,+0,+4.78632428011,+4.78594556004
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+5.2168799031,+0,+5.21700707619,+0,+2.60896756567,+0,+0,+0,+4.34792145345,+0,+4.78653273837,+4.78615399776
2010-08-16 00:46:30 UTC,+0,+5.217801903,+0,+0,+0,+0,+0,+0,+5.21613451631,+0,+5.21626166705,+0,+0,+0,+0,+0,+4.34730020521,+0,+4.78670237881,+4.78632362147
2010-08-16 00:47:00 UTC,+0,+5.21679035823,+0,+0,+0,+0,+0,+0,+5.21512344362,+0,+5.21525056397,+0,+0,+0,+0,+0,+4.34645751879,+0,+0,+4.78986701653
2010-08-16 00:47:30 UTC,+0,+5.216442653,+0,+0,+0,+0,+4.34617982596,+0,+5.21477590105,+0,+5.21490301097,+0,+0,+0,+0,+0,+0,+0,+0,+4.78392197648
2010-08-16 00:48:00 UTC,+0,+5.21928545609,+0,+0,+0,+0,+4.34847058538,+0,+5.21752438884,+0,+5.2176515813,+0,+0,+0,+0,+0,+0,+0,+0,+4.78116640902
2010-08-16 00:48:30 UTC,+0,+5.21078622456,+0,+0,+0,+0,+4.3412049694,+0,+5.20880699317,+0,+5.20893392379,+0,+0,+0,+4.34095615472,+0,+0,+0,+0,+4.78218178036
2010-08-16 00:49:00 UTC,+0,+5.21773658231,+0,+0,+0,+0,+4.34699452654,+0,+5.21575339114,+0,+5.21588053041,+0,+0,+0,+4.34674528165,+0,+0,+0,+0,+0
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+0,+0,+4.34343183685,+0,+5.21147882226,+0,+5.21160583314,+5.21183938755,+0,+0,+4.34318285667,+0,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,+0,+0,+4.33849551921,+0,+0,+0,+5.20568298708,+5.20591619949,+0,+0,+4.33824690595,+0,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.20879849928,+5.2090318916,+0,+0,+4.34084329534,+0,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.21618486489,+0,+0,+4.34680405897,+0,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.20876632238,+0,+0,+4.34062198942,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.21201932296,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,+1.30366095118,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.21297544422,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:00 UTC,+1.30521769387,+0,+0,+0,+1.30506150867,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,+1.30536370458,+0,+0,+0,+1.30515728695,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91512241632,+0,+0,+0,+0
