# file...... Output/regulator_16067010.csv
# date...... Mon Mar 26 16:02:46 2018
# user...... yingying
# host...... (null)
# target.... regulator 327
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,tap_A,tap_B,tap_C,tap_A_change_count,tap_B_change_count,tap_C_change_count
2010-08-16 01:43:00 UTC,5,5,5,+3,+1,+1
2010-08-16 01:43:30 UTC,5,5,5,+3,+1,+1
2010-08-16 01:44:00 UTC,5,5,5,+3,+1,+1
2010-08-16 01:44:30 UTC,5,5,5,+3,+1,+1
2010-08-16 01:45:00 UTC,5,5,5,+3,+1,+1
2010-08-16 01:45:30 UTC,5,5,5,+3,+1,+1
2010-08-16 01:46:00 UTC,5,5,5,+3,+1,+1
2010-08-16 01:46:30 UTC,5,5,5,+3,+1,+1
2010-08-16 01:47:00 UTC,5,5,5,+3,+1,+1
2010-08-16 01:47:30 UTC,5,5,5,+3,+1,+1
2010-08-16 01:48:00 UTC,5,5,5,+3,+1,+1
2010-08-16 01:48:30 UTC,5,5,5,+3,+1,+1
2010-08-16 01:49:00 UTC,5,5,5,+3,+1,+1
2010-08-16 01:49:30 UTC,5,5,5,+3,+1,+1
2010-08-16 01:50:00 UTC,5,5,5,+3,+1,+1
2010-08-16 01:50:30 UTC,5,5,5,+3,+1,+1
2010-08-16 01:51:00 UTC,5,5,5,+3,+1,+1
2010-08-16 01:51:30 UTC,5,5,5,+3,+1,+1
2010-08-16 01:52:00 UTC,5,5,5,+3,+1,+1
2010-08-16 01:52:30 UTC,5,5,5,+3,+1,+1
2010-08-16 01:53:00 UTC,5,5,5,+3,+1,+1
2010-08-16 01:53:30 UTC,5,5,5,+3,+1,+1
2010-08-16 01:54:00 UTC,5,5,5,+3,+1,+1
2010-08-16 01:54:30 UTC,5,5,5,+3,+1,+1
2010-08-16 01:55:00 UTC,5,5,5,+3,+1,+1
2010-08-16 01:55:30 UTC,5,5,5,+3,+1,+1
2010-08-16 01:56:00 UTC,5,5,5,+3,+1,+1
2010-08-16 01:56:30 UTC,5,5,5,+3,+1,+1
2010-08-16 01:57:00 UTC,5,5,5,+3,+1,+1
2010-08-16 01:57:30 UTC,5,5,5,+3,+1,+1
2010-08-16 01:58:00 UTC,5,5,5,+3,+1,+1
2010-08-16 01:58:30 UTC,5,5,5,+3,+1,+1
2010-08-16 01:59:00 UTC,5,5,5,+3,+1,+1
2010-08-16 01:59:30 UTC,5,5,5,+3,+1,+1
2010-08-16 02:00:00 UTC,5,5,5,+3,+1,+1
