# file...... Output/house_1_1B_tm_1_B_1_Meter_22_169.csv
# date...... Tue Dec  5 21:17:54 2017
# user...... yingying
# host...... (null)
# target.... house 1231
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,power_state, air_temperature, hvac_load, total_load
2010-08-16 00:02:29 UTC,OFF,+74.2397283221,+0,+1.3615
2010-08-16 00:02:30 UTC,OFF,+74.2407628402,+0,+1.3615
2010-08-16 00:02:31 UTC,OFF,+74.2417845021,+0,+1.3615
2010-08-16 00:02:32 UTC,OFF,+74.2428037849,+0,+1.3615
2010-08-16 00:02:33 UTC,OFF,+74.2438206963,+0,+1.3615
2010-08-16 00:02:34 UTC,OFF,+74.2448352438,+0,+1.3615
2010-08-16 00:02:35 UTC,OFF,+74.2458474352,+0,+1.3615
2010-08-16 00:02:36 UTC,OFF,+74.2468572779,+0,+1.3615
2010-08-16 00:02:37 UTC,OFF,+74.2478647796,+0,+1.3615
2010-08-16 00:02:38 UTC,OFF,+74.2488699476,+0,+1.3615
2010-08-16 00:02:39 UTC,OFF,+74.2498727897,+0,+1.3615
2010-08-16 00:02:40 UTC,OFF,+74.2508733131,+0,+1.3615
2010-08-16 00:02:41 UTC,OFF,+74.2518715255,+0,+1.3615
2010-08-16 00:02:42 UTC,OFF,+74.2528674341,+0,+1.3615
2010-08-16 00:02:43 UTC,OFF,+74.2538610464,+0,+1.3615
2010-08-16 00:02:44 UTC,OFF,+74.2548523699,+0,+1.3615
2010-08-16 00:02:45 UTC,OFF,+74.2558414118,+0,+1.3615
2010-08-16 00:02:46 UTC,OFF,+74.2568281794,+0,+1.3615
2010-08-16 00:02:47 UTC,OFF,+74.2578126802,+0,+1.3615
2010-08-16 00:02:48 UTC,OFF,+74.2587949213,+0,+1.3615
2010-08-16 00:02:49 UTC,OFF,+74.2597749101,+0,+1.3615
2010-08-16 00:02:50 UTC,OFF,+74.2607526537,+0,+1.3615
2010-08-16 00:02:51 UTC,OFF,+74.2617281595,+0,+1.3615
2010-08-16 00:02:52 UTC,OFF,+74.2627014345,+0,+1.3615
2010-08-16 00:02:53 UTC,OFF,+74.263672486,+0,+1.3615
2010-08-16 00:02:54 UTC,OFF,+74.2646413211,+0,+1.3615
2010-08-16 00:02:55 UTC,OFF,+74.2656079469,+0,+1.3615
2010-08-16 00:02:56 UTC,OFF,+74.2665723705,+0,+1.3615
2010-08-16 00:02:57 UTC,OFF,+74.267534599,+0,+1.3615
2010-08-16 00:02:58 UTC,OFF,+74.2684946394,+0,+1.3615
2010-08-16 00:02:59 UTC,OFF,+74.2694524988,+0,+1.3615
2010-08-16 00:03:00 UTC,OFF,+74.2704081843,+0,+1.3615
2010-08-16 00:03:01 UTC,OFF,+74.2713517163,+0,+1.3615
2010-08-16 00:03:02 UTC,OFF,+74.2722931162,+0,+1.3615
2010-08-16 00:03:03 UTC,OFF,+74.2732323906,+0,+1.3615
2010-08-16 00:03:04 UTC,OFF,+74.2741695464,+0,+1.3615
2010-08-16 00:03:05 UTC,OFF,+74.2751045904,+0,+1.3615
2010-08-16 00:03:06 UTC,OFF,+74.2760375294,+0,+1.3615
2010-08-16 00:03:07 UTC,OFF,+74.2769683702,+0,+1.3615
2010-08-16 00:03:08 UTC,OFF,+74.2778971195,+0,+1.3615
2010-08-16 00:03:09 UTC,OFF,+74.278823784,+0,+1.3615
2010-08-16 00:03:10 UTC,OFF,+74.2797483704,+0,+1.3615
2010-08-16 00:03:11 UTC,OFF,+74.2806708854,+0,+1.3615
2010-08-16 00:03:12 UTC,OFF,+74.2815913356,+0,+1.3615
2010-08-16 00:03:13 UTC,OFF,+74.2825097277,+0,+1.3615
2010-08-16 00:03:14 UTC,OFF,+74.2834260683,+0,+1.3615
2010-08-16 00:03:15 UTC,OFF,+74.2843403639,+0,+1.3615
2010-08-16 00:03:16 UTC,OFF,+74.2852526212,+0,+1.3615
2010-08-16 00:03:17 UTC,OFF,+74.2861628466,+0,+1.3615
2010-08-16 00:03:18 UTC,OFF,+74.2870710467,+0,+1.3615
2010-08-16 00:03:19 UTC,OFF,+74.2879772281,+0,+1.3615
2010-08-16 00:03:20 UTC,OFF,+74.2888813971,+0,+1.3615
2010-08-16 00:03:21 UTC,OFF,+74.2897835602,+0,+1.3615
2010-08-16 00:03:22 UTC,OFF,+74.2906837239,+0,+1.3615
2010-08-16 00:03:23 UTC,OFF,+74.2915818946,+0,+1.3615
2010-08-16 00:03:24 UTC,OFF,+74.2924780787,+0,+1.3615
2010-08-16 00:03:25 UTC,OFF,+74.2933722826,+0,+1.3615
2010-08-16 00:03:26 UTC,OFF,+74.2942645126,+0,+1.3615
2010-08-16 00:03:27 UTC,OFF,+74.2951547751,+0,+1.3615
2010-08-16 00:03:28 UTC,OFF,+74.2960430763,+0,+1.3615
2010-08-16 00:03:29 UTC,OFF,+74.2969294226,+0,+1.3615
2010-08-16 00:03:30 UTC,OFF,+74.2978138203,+0,+1.3615
2010-08-16 00:03:31 UTC,OFF,+74.2986867432,+0,+1.3615
