# file...... Output/DG_57.csv
# date...... Thu Dec  7 09:03:37 2017
# user...... yingying
# host...... (null)
# target.... load 20
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,constant_power_A_real,constant_power_B_real,constant_power_C_real
2010-08-16 01:07:00 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 01:07:30 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 01:08:00 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 01:08:30 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 01:09:00 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 01:09:30 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 01:10:00 UTC,-6666.73477166,-6666.73477166,-6666.73477166
2010-08-16 01:10:30 UTC,-6666.73477166,-6666.73477166,-6666.73477166
2010-08-16 01:11:00 UTC,-6666.73477166,-6666.73477166,-6666.73477166
2010-08-16 01:11:30 UTC,-6666.73477166,-6666.73477166,-6666.73477166
2010-08-16 01:12:00 UTC,-6666.73477166,-6666.73477166,-6666.73477166
2010-08-16 01:12:30 UTC,-6666.73477166,-6666.73477166,-6666.73477166
2010-08-16 01:13:00 UTC,-6666.73477166,-6666.73477166,-6666.73477166
2010-08-16 01:13:30 UTC,-6666.73477166,-6666.73477166,-6666.73477166
2010-08-16 01:14:00 UTC,-6666.73477166,-6666.73477166,-6666.73477166
2010-08-16 01:14:30 UTC,-6666.73477166,-6666.73477166,-6666.73477166
2010-08-16 01:15:00 UTC,-6666.74349987,-6666.74349987,-6666.74349987
2010-08-16 01:15:30 UTC,-6666.74349987,-6666.74349987,-6666.74349987
2010-08-16 01:16:00 UTC,-6666.74349987,-6666.74349987,-6666.74349987
2010-08-16 01:16:30 UTC,-6666.74349987,-6666.74349987,-6666.74349987
2010-08-16 01:17:00 UTC,-6666.74349987,-6666.74349987,-6666.74349987
2010-08-16 01:17:30 UTC,-6666.74349987,-6666.74349987,-6666.74349987
2010-08-16 01:18:00 UTC,-6666.74349987,-6666.74349987,-6666.74349987
2010-08-16 01:18:30 UTC,-6666.74349987,-6666.74349987,-6666.74349987
