# file...... Output/total_feeder_load_Meter_1.csv
# date...... Mon Mar 26 16:02:46 2018
# user...... yingying
# host...... (null)
# target.... meter 225
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,measured_real_power, measured_power
2010-08-16 01:30:30 UTC,+1445445.73578,+1.44545e+06+567239j
2010-08-16 01:31:00 UTC,+1382536.3634,+1.38254e+06+541713j
2010-08-16 01:31:30 UTC,+1380285.50691,+1.38029e+06+540664j
2010-08-16 01:32:00 UTC,+1360240.50944,+1.36024e+06+532659j
2010-08-16 01:32:30 UTC,+1283564.55721,+1.28356e+06+502245j
2010-08-16 01:33:00 UTC,+1223481.2721,+1.22348e+06+478050j
2010-08-16 01:33:30 UTC,+1164519.46563,+1.16452e+06+454256j
2010-08-16 01:34:00 UTC,+1009512.25384,+1.00951e+06+392359j
2010-08-16 01:34:30 UTC,+870273.288785,+870273+337211j
2010-08-16 01:35:00 UTC,+842610.632327,+842611+326364j
2010-08-16 01:35:30 UTC,+1375405.88037,+1.37541e+06+538837j
2010-08-16 01:36:00 UTC,+1426495.65266,+1.4265e+06+559448j
2010-08-16 01:36:30 UTC,+1448008.59233,+1.44801e+06+568580j
2010-08-16 01:37:00 UTC,+1429231.77916,+1.42923e+06+561054j
2010-08-16 01:37:30 UTC,+1380310.08471,+1.38031e+06+540732j
2010-08-16 01:38:00 UTC,+1347878.80529,+1.34788e+06+526802j
2010-08-16 01:38:30 UTC,+1228900.13323,+1.2289e+06+478537j
2010-08-16 01:39:00 UTC,+1123163.27822,+1.12316e+06+435955j
2010-08-16 01:39:30 UTC,+1041376.93603,+1.04138e+06+403514j
2010-08-16 01:40:00 UTC,+892644.317977,+892644+344977j
2010-08-16 01:40:30 UTC,+1255148.29903,+1.25515e+06+490560j
2010-08-16 01:41:00 UTC,+1230433.99721,+1.23043e+06+480839j
2010-08-16 01:41:30 UTC,+1202336.09407,+1.20234e+06+469584j
2010-08-16 01:42:00 UTC,+1212144.11205,+1.21214e+06+474154j
2010-08-16 01:42:30 UTC,+1152470.68372,+1.15247e+06+450384j
2010-08-16 01:43:00 UTC,+1144514.41003,+1.14451e+06+446937j
2010-08-16 01:43:30 UTC,+1064980.22247,+1.06498e+06+415404j
2010-08-16 01:44:00 UTC,+995730.875118,+995731+387894j
2010-08-16 01:44:30 UTC,+895374.984043,+895375+347639j
2010-08-16 01:45:00 UTC,+839666.0513,+839666+325639j
2010-08-16 01:45:30 UTC,+1348116.22026,+1.34812e+06+528880j
