# file...... Output/Qh/house_Qh_file_022.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_9C_tm_2_C_9_Meter_47_421:Qh,house_2_10C_tm_2_C_10_Meter_47_422:Qh,house_2_11C_tm_2_C_11_Meter_47_423:Qh,house_2_12C_tm_2_C_12_Meter_47_424:Qh,house_2_13C_tm_2_C_13_Meter_47_425:Qh,house_2_14C_tm_2_C_14_Meter_47_426:Qh,house_2_15C_tm_2_C_15_Meter_47_427:Qh,house_2_1A_tm_2_A_1_Meter_48_428:Qh,house_2_2A_tm_2_A_2_Meter_48_429:Qh,house_2_3A_tm_2_A_3_Meter_48_430:Qh,house_2_4A_tm_2_A_4_Meter_48_431:Qh,house_2_5A_tm_2_A_5_Meter_48_432:Qh,house_2_6A_tm_2_A_6_Meter_48_433:Qh,house_2_7A_tm_2_A_7_Meter_48_434:Qh,house_2_8A_tm_2_A_8_Meter_48_435:Qh,house_2_9A_tm_2_A_9_Meter_48_436:Qh,house_2_10A_tm_2_A_10_Meter_48_437:Qh,house_2_11A_tm_2_A_11_Meter_48_438:Qh,house_2_12A_tm_2_A_12_Meter_48_439:Qh,house_2_13A_tm_2_A_13_Meter_48_440:Qh
2010-08-16 00:38:00 UTC,+0,+0,+0,-43396.8768309,+0,+0,+0,+0,+0,-26058.157302,+0,+0,+0,+0,+0,+0,+0,+0,-34741.6039601,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,-43406.7697631,+0,+0,+0,+0,+0,-26055.0378784,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,-43398.9891219,+0,+0,+0,+0,+0,-26049.6422282,+0,+0,+0,+0,+0,+0,-56428.2637145,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,-43374.2687315,+0,+0,+0,+0,+0,-26053.794653,+0,+0,+0,+0,+0,+0,-56437.2581122,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,-43383.9569441,+0,+0,+0,+0,+0,-26044.45365,+0,+0,+0,+0,+0,+0,-56417.0249468,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,-43379.218149,+0,+0,+0,+0,+0,-26042.3731251,+0,+0,+0,+0,+0,+0,-56412.5184068,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,-43373.4083204,+0,+0,+0,+0,+0,+0,-39057.9919348,-30378.44231,+0,+0,+0,+0,-56406.4405465,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,+0,-43375.6751735,+0,+0,+0,+0,-39046.7550805,-30369.7025472,-47720.6310236,+0,+0,+0,-56390.2134016,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,+0,-43353.6314778,+0,+0,+0,+0,-39029.0238044,-30355.9115747,-47698.9612375,+0,+0,+0,-56364.6076582,+0,+0,-47695.5322686
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,+0,-43360.7704405,+0,+0,+0,+0,-39044.6327093,-30368.0518164,-47718.0372266,+0,+0,+0,-56387.1484843,+0,+0,-47714.606506
2010-08-16 00:43:00 UTC,+0,+0,+0,+0,+0,-43363.4903042,+0,+0,+0,+0,-39028.1729641,-30355.249811,-47697.9214067,+0,+0,+0,-56363.3789594,+0,+0,-47694.4925334
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,+0,-43363.4368197,+0,+0,+0,+0,-39062.2712224,-30381.77064,-47739.5936444,+0,-39057.7801213,+0,+0,+0,+0,-47736.1609442
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,+0,-43337.6698911,+0,+0,+0,+0,+0,-30392.2017093,-47755.984007,+0,-39071.1895574,+0,+0,+0,+0,-47752.5498018
2010-08-16 00:44:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47726.2084473,+0,-39046.8292993,+0,+0,+0,+0,-47722.7769763
2010-08-16 00:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47712.6906263,+0,-39035.7699738,+0,+0,+0,+0,-47709.2603965
