# file...... Output/Qh/house_Qh_file_042.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_3C_tm_3_C_3_Meter_73_821:Qh,house_3_4C_tm_3_C_4_Meter_73_822:Qh,house_3_5C_tm_3_C_5_Meter_73_823:Qh,house_3_6C_tm_3_C_6_Meter_73_824:Qh,house_3_7C_tm_3_C_7_Meter_73_825:Qh,house_3_8C_tm_3_C_8_Meter_73_826:Qh,house_3_9C_tm_3_C_9_Meter_73_827:Qh,house_3_10C_tm_3_C_10_Meter_73_828:Qh,house_3_11C_tm_3_C_11_Meter_73_829:Qh,house_3_12C_tm_3_C_12_Meter_73_830:Qh,house_3_13C_tm_3_C_13_Meter_73_831:Qh,house_3_14C_tm_3_C_14_Meter_73_832:Qh,house_3_15C_tm_3_C_15_Meter_73_833:Qh,house_3_1C_tm_3_C_1_Meter_74_834:Qh,house_3_2C_tm_3_C_2_Meter_74_835:Qh,house_3_3C_tm_3_C_3_Meter_74_836:Qh,house_3_4C_tm_3_C_4_Meter_74_837:Qh,house_3_5C_tm_3_C_5_Meter_74_838:Qh,house_3_6C_tm_3_C_6_Meter_74_839:Qh,house_3_7C_tm_3_C_7_Meter_74_840:Qh
2010-08-16 00:53:00 UTC,+0,+0,+0,+0,+0,+0,-17559.066672,+0,-17558.6940542,+0,+0,+0,+0,+0,+0,+0,-43880.4965983,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,+0,+0,+0,+0,-17553.3133398,+0,-17552.9408898,+0,+0,-30715.7052431,+0,+0,+0,+0,-43866.5400703,+0,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-17539.0044383,+0,+0,-30691.3184106,+0,+0,+0,+0,-43832.6207946,+0,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-17526.2636174,+0,-21907.5226636,-30669.0237646,+0,+0,+0,+0,+0,+0,-43796.4448305,-21902.6231126
2010-08-16 00:55:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21883.0805655,-30634.8069842,+0,+0,+0,+0,+0,+0,-43748.330374,-21878.5596963
2010-08-16 00:55:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21884.4686418,-30636.7501684,+0,+0,+0,+0,+0,+0,-43751.1047038,-21879.9472183
2010-08-16 00:56:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21880.0151847,-30630.5157215,+0,+0,+0,+0,+0,+0,-43740.4179435,-21874.6024632
2010-08-16 00:56:30 UTC,+0,-61342.306679,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43801.7231743,+0
2010-08-16 00:57:00 UTC,+0,-61329.799263,+0,+0,+0,+0,+0,-56952.2532417,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43793.5675512,+0
2010-08-16 00:57:30 UTC,+0,-61346.7602948,+0,+0,+0,+0,+0,-56968.0038687,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43804.2118694,+0
2010-08-16 00:58:00 UTC,+0,-61363.1123177,+0,+0,+0,+0,+0,-56983.188948,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43815.8851975,+0
2010-08-16 00:58:30 UTC,+0,-61294.0613365,+0,+0,+0,+0,+0,-56919.0657114,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35018.7664302,+0,+0
2010-08-16 00:59:00 UTC,+0,-61323.1893789,+0,+0,+0,+0,+0,-56946.1150642,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35035.4048993,+0,+0
2010-08-16 00:59:30 UTC,+0,-61357.2841084,+0,+0,+0,+0,+0,-56977.7766623,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35056.9063596,+0,+0
2010-08-16 01:00:00 UTC,+0,-61360.8421248,+0,+0,+0,+0,+0,-56981.0807648,+0,+0,+0,+0,-52595.8543751,+0,+0,+0,+0,-35059.510746,+0,+0
2010-08-16 01:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56948.3319872,+0,+0,+0,+0,-52565.7956935,+0,+0,+0,+0,-35036.9129497,+0,+0
2010-08-16 01:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52542.5454211,+0,-30644.2537444,+0,+0,-35020.8031376,+0,+0
2010-08-16 01:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52566.3994661,+0,-30658.373446,+0,+0,+0,+0,+0
2010-08-16 01:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52548.531154,+0,-30648.52324,+0,+0,+0,+0,+0
2010-08-16 01:02:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52550.4023016,+0,-30649.5029468,+0,+0,+0,+0,+0
2010-08-16 01:03:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52569.5198063,+0,+0,+0,+0,+0,+0,+0
