# file...... Output/Qh/house_Qh_file_032.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_10A_tm_0_A_10_Meter_53_621:Qh,house_0_11A_tm_0_A_11_Meter_53_622:Qh,house_0_12A_tm_0_A_12_Meter_53_623:Qh,house_0_13A_tm_0_A_13_Meter_53_624:Qh,house_0_14A_tm_0_A_14_Meter_53_625:Qh,house_0_15A_tm_0_A_15_Meter_53_626:Qh,house_0_1A_tm_0_A_1_Meter_55_627:Qh,house_0_2A_tm_0_A_2_Meter_55_628:Qh,house_0_3A_tm_0_A_3_Meter_55_629:Qh,house_0_4A_tm_0_A_4_Meter_55_630:Qh,house_0_5A_tm_0_A_5_Meter_55_631:Qh,house_0_6A_tm_0_A_6_Meter_55_632:Qh,house_0_7A_tm_0_A_7_Meter_55_633:Qh,house_0_8A_tm_0_A_8_Meter_55_634:Qh,house_0_1B_tm_0_B_1_Meter_56_635:Qh,house_0_2B_tm_0_B_2_Meter_56_636:Qh,house_0_3B_tm_0_B_3_Meter_56_637:Qh,house_0_4B_tm_0_B_4_Meter_56_638:Qh,house_0_5B_tm_0_B_5_Meter_56_639:Qh,house_0_6B_tm_0_B_6_Meter_56_640:Qh
2010-08-16 00:32:30 UTC,-60777.3969626,-52093.6729933,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,-60790.7868023,-52105.1496719,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,-60793.9366596,-52107.8494726,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:00 UTC,+0,-52118.49347,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,-52103.4938569,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,-52112.1409462,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39078.6959309,-52104.8292919,+0
2010-08-16 00:35:30 UTC,+0,-52103.9142177,+0,+0,+0,+0,+0,-47741.9800241,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39068.1476891,-52090.7650342,+0
2010-08-16 00:36:00 UTC,+0,-52107.612098,+0,+0,+0,+0,+0,-47745.333991,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39061.365538,-52081.7222076,+0
2010-08-16 00:36:30 UTC,+0,-52108.3137348,+0,+0,+0,+0,+0,-47746.2866517,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39071.3670814,-52095.0575374,+0
2010-08-16 00:37:00 UTC,+0,-52115.8418326,+0,+0,+0,+0,+0,-47753.3417238,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39058.6843748,-52078.1473399,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+0,+0,-47756.2940556,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39055.4730365,-52073.8655752,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+0,+0,-47786.9235233,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39023.3256688,-52031.0026158,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+0,+0,-47781.8152528,+0,+0,-26064.9486337,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+0,+0,-47782.1291224,+0,+0,-26065.1198534,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+0,+0,-47786.3073255,+0,-17378.3961244,-26067.3991141,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+0,+0,+0,-47766.5523466,+0,-17371.21169,-26056.6225323,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,+0,+0,+0,-47767.3113186,+0,-17371.4877108,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,-30417.7494807,+0,+0,+0,+0,+0,-17376.5865684,+0,+0,+0,+0,-34726.8729916,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,-30409.1529042,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34726.5797366,+0,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,-30400.4017866,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34751.1568317,+0,+0,+0,+0,+0
2010-08-16 00:42:30 UTC,+0,+0,+0,-30414.2870894,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34729.2754083,+0,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,+0,+0,-26059.9410772,-30401.6113398,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34742.3047506,+0,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,+0,+0,-26078.5194066,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34723.4751713,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+0,+0,-26072.1151035,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+0,+0,-26064.3629669,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30399.7605626,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+0,+0,-26062.202447,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60777.0949905,+0,+0,-30402.7706603,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60747.3706745,+0,+0,-30404.2377914,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60763.7546776,+0,+0,-30395.7618298,-56436.5322754,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60760.5365507,+0,+0,-30392.8059909,-56431.0444229,+0,+0,-43416.47488
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60744.0188361,+0,+0,-30388.8665159,-56423.7303361,+0,+0,-43410.847353
2010-08-16 00:47:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60741.5287963,+0,+0,+0,-56429.7850439,+0,+0,-43415.5059025
2010-08-16 00:48:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60759.7223246,+0,+0,+0,-56378.7239177,+0,+0,-43376.2189893
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60708.5887761,+0,+0,+0,-56408.4169817,+0,+0,-43399.0651136
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26045.5667692,+0,+0,+0,+0,+0,-56427.4971954,+0,+0,-43413.7456103
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17357.5492399,-26036.1289898,+0,+0,+0,+0,+0,-56406.0878191,+0,+0,-43397.2730339
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17341.8654296,-26012.6034266,+0,+0,-52016.8086482,+0,+0,-56408.6621244,+0,+0,-43399.2537287
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17345.7057834,-26018.3639199,-39026.7863974,+0,-52028.3272144,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17360.173914,+0,-39059.3386732,+0,-52071.7222091,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,+0,+0,+0,-69390.958971,+0,+0,+0,+0,+0,+0,-39022.8143175,+0,-52023.0320893,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,-69403.3185326,+0,+0,+0,+0,+0,+0,-39030.7444583,+0,-52033.6036514,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,+0,+0,+0,+0,-69406.8990716,+0,+0,+0,+0,+0,+0,-39033.1789071,+0,-52036.8489818,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:00 UTC,+0,+0,+0,+0,-69440.2039049,+0,+0,+0,-52057.9565871,+0,+0,-39050.8558985,+0,-52060.4139375,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,+0,+0,-69457.8555645,+0,+0,+0,-52070.4646439,+0,+0,-39060.2391789,+0,-52072.9226609,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,+0,+0,-69478.5038051,+0,-39069.77911,+0,-52086.7782089,+0,+0,+0,+0,-52089.2370952,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,+0,-69518.2806687,+0,-39094.844606,+0,-52120.1940252,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:00 UTC,+0,+0,+0,+0,+0,+0,-39108.5442781,+0,-52138.4576069,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:30 UTC,+0,+0,+0,+0,+0,+0,-39114.79375,+0,-52146.7890289,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:00 UTC,+0,+0,+0,+0,+0,+0,-39090.2796492,+0,-52114.108298,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
