# file...... Output/Qh/house_Qh_file_009.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_8A_tm_0_A_8_Meter_20_161:Qh,house_0_9A_tm_0_A_9_Meter_20_162:Qh,house_0_10A_tm_0_A_10_Meter_20_163:Qh,house_0_11A_tm_0_A_11_Meter_20_164:Qh,house_0_12A_tm_0_A_12_Meter_20_165:Qh,house_0_13A_tm_0_A_13_Meter_20_166:Qh,house_0_14A_tm_0_A_14_Meter_20_167:Qh,house_0_15A_tm_0_A_15_Meter_20_168:Qh,house_1_1B_tm_1_B_1_Meter_22_169:Qh,house_1_2B_tm_1_B_2_Meter_22_170:Qh,house_1_3B_tm_1_B_3_Meter_22_171:Qh,house_1_4B_tm_1_B_4_Meter_22_172:Qh,house_1_5B_tm_1_B_5_Meter_22_173:Qh,house_1_6B_tm_1_B_6_Meter_22_174:Qh,house_1_7B_tm_1_B_7_Meter_22_175:Qh,house_1_8B_tm_1_B_8_Meter_22_176:Qh,house_1_9B_tm_1_B_9_Meter_22_177:Qh,house_1_10B_tm_1_B_10_Meter_22_178:Qh,house_1_11B_tm_1_B_11_Meter_22_179:Qh,house_1_12B_tm_1_B_12_Meter_22_180:Qh
2010-08-16 00:45:30 UTC,+0,+0,+0,-39068.1635927,+0,+0,+0,+0,+0,+0,-43427.7614062,+0,+0,+0,-52105.9315387,+0,+0,+0,+0,-21716.4967951
2010-08-16 00:46:00 UTC,+0,+0,+0,-39076.6327262,+0,+0,+0,+0,+0,+0,-43429.177229,+0,+0,+0,+0,+0,+0,+0,+0,-21717.2048127
2010-08-16 00:46:30 UTC,+0,+0,+0,-39082.5230683,+0,+0,+0,+0,+0,+0,-43419.2059802,+0,+0,+0,+0,+0,+0,+0,+0,-21712.21844
2010-08-16 00:47:00 UTC,+0,+0,+0,-39062.5196242,+0,+0,+0,+0,+0,+0,-43418.5407156,+0,+0,+0,+0,+0,+0,+0,+0,-21711.8857578
2010-08-16 00:47:30 UTC,+0,-39051.335453,+0,-39053.3747621,+0,+0,+0,+0,+0,+0,-43423.9390651,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,+0,-39067.1451742,+0,+0,+0,+0,+0,+0,+0,+0,-43395.308175,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,-21690.2927261,-39040.07895,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52084.0834898,+0
2010-08-16 00:49:00 UTC,-21704.735981,-39066.074881,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52112.4803847,+0
2010-08-16 00:49:30 UTC,-21707.2851878,-39070.6631129,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52073.5276361,+0
2010-08-16 00:50:00 UTC,-21690.8606272,-39041.1010962,+0,+0,+0,+0,+0,+0,-60733.1328955,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52061.1699223,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,+0,+0,+0,-21696.6799132,-60719.6586415,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52049.6193541,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,+0,+0,+0,-21711.7734036,-60663.2578481,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52001.2707609,+0
2010-08-16 00:51:30 UTC,+0,+0,+0,+0,+0,+0,+0,-21694.4479703,-60716.7681783,+0,+0,-65059.5004805,+0,+0,+0,+0,+0,+0,-52047.1415551,+0
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,+0,+0,+0,-21692.6704962,-60754.9802736,+0,+0,-65100.4467143,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-60759.7687127,+0,+0,-65105.5777741,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65090.273057,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,-39055.2893346,+0,+0,+0,+0,+0,+0,+0,+0,-65086.0637533,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,-39066.6966522,+0,+0,+0,+0,+0,+0,+0,+0,-65131.5396291,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,-39086.6171235,+0,+0,+0,+0,+0,+0,+0,+0,-65108.8885002,+0,+0,+0,+0,-30387.095198,+0,+0,+0
