# file...... Output/Qh/house_Qh_file_060.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_15C_tm_3_C_15_Meter_103_1181:Qh,house_3_1C_tm_3_C_1_Meter_104_1182:Qh,house_3_2C_tm_3_C_2_Meter_104_1183:Qh,house_3_3C_tm_3_C_3_Meter_104_1184:Qh,house_3_4C_tm_3_C_4_Meter_104_1185:Qh,house_3_5C_tm_3_C_5_Meter_104_1186:Qh,house_3_6C_tm_3_C_6_Meter_104_1187:Qh,house_3_7C_tm_3_C_7_Meter_104_1188:Qh,house_3_8C_tm_3_C_8_Meter_104_1189:Qh,house_3_9C_tm_3_C_9_Meter_104_1190:Qh,house_3_10C_tm_3_C_10_Meter_104_1191:Qh,house_3_11C_tm_3_C_11_Meter_104_1192:Qh,house_3_12C_tm_3_C_12_Meter_104_1193:Qh,house_3_13C_tm_3_C_13_Meter_104_1194:Qh,house_3_14C_tm_3_C_14_Meter_104_1195:Qh,house_3_15C_tm_3_C_15_Meter_104_1196:Qh,house_3_1B_tm_3_B_1_Meter_106_1197:Qh,house_3_2B_tm_3_B_2_Meter_106_1198:Qh,house_3_3B_tm_3_B_3_Meter_106_1199:Qh,house_3_4B_tm_3_B_4_Meter_106_1200:Qh
2010-08-16 00:53:30 UTC,+0,-57004.0017109,+0,+0,+0,+0,+0,-39465.7360725,+0,+0,+0,+0,+0,+0,-30696.6553104,+0,+0,+0,+0,+0
2010-08-16 00:54:00 UTC,+0,-56955.7483654,+0,+0,+0,+0,+0,-39432.3286297,+0,+0,+0,+0,+0,+0,-30670.6705245,+0,+0,+0,+0,+0
2010-08-16 00:54:30 UTC,-21904.8939296,-56925.2152574,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30654.2282182,+0,+0,+0,+0,+0
2010-08-16 00:55:00 UTC,-21877.6492423,-56848.4456092,+0,-26239.1263786,+0,-56843.1663886,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34982.8180535,+0
2010-08-16 00:55:30 UTC,-21877.9590876,-56847.2949093,+0,-26238.5952532,+0,-56842.015833,+0,+0,+0,+0,-21866.1270513,+0,+0,+0,+0,+0,+0,+0,-34946.618991,+0
2010-08-16 00:56:00 UTC,-21876.184241,-56842.684854,+0,-26236.4674022,+0,-56837.4063568,+0,+0,+0,+0,-21864.3537788,+0,+0,+0,+0,+0,+0,-21846.3066176,-34949.8137868,+0
2010-08-16 00:56:30 UTC,+0,+0,+0,-26279.1710111,+0,-56929.9134446,+0,+0,+0,+0,-21899.9413894,+0,+0,+0,+0,+0,+0,-21830.2727089,-34924.1635181,+0
2010-08-16 00:57:00 UTC,+0,+0,+0,-26276.8312444,+0,-56924.844903,+0,+0,+0,+0,-21897.9915142,+0,+0,+0,+0,+0,+0,-21805.9902264,-34885.317583,+0
2010-08-16 00:57:30 UTC,+0,+0,+0,+0,+0,-56939.1459904,+0,+0,+0,+0,+0,-61319.5065536,+0,+0,+0,+0,+0,-21801.2318299,+0,+0
2010-08-16 00:58:00 UTC,+0,+0,+0,+0,+0,-56955.088546,+0,+0,+0,+0,+0,-61336.6757407,+0,+0,+0,+0,+0,-21825.8146201,+0,+0
