# file...... Output/Qh/house_Qh_file_044.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_13C_tm_3_C_13_Meter_75_861:Qh,house_3_14C_tm_3_C_14_Meter_75_862:Qh,house_3_15C_tm_3_C_15_Meter_75_863:Qh,house_3_1A_tm_3_A_1_Meter_76_864:Qh,house_3_2A_tm_3_A_2_Meter_76_865:Qh,house_3_3A_tm_3_A_3_Meter_76_866:Qh,house_3_4A_tm_3_A_4_Meter_76_867:Qh,house_3_5A_tm_3_A_5_Meter_76_868:Qh,house_3_6A_tm_3_A_6_Meter_76_869:Qh,house_3_7A_tm_3_A_7_Meter_76_870:Qh,house_3_8A_tm_3_A_8_Meter_76_871:Qh,house_3_9A_tm_3_A_9_Meter_76_872:Qh,house_3_10A_tm_3_A_10_Meter_76_873:Qh,house_3_11A_tm_3_A_11_Meter_76_874:Qh,house_3_12A_tm_3_A_12_Meter_76_875:Qh,house_3_13A_tm_3_A_13_Meter_76_876:Qh,house_3_14A_tm_3_A_14_Meter_76_877:Qh,house_3_15A_tm_3_A_15_Meter_76_878:Qh,house_3_16A_tm_3_A_16_Meter_76_879:Qh,house_3_17A_tm_3_A_17_Meter_76_880:Qh
2010-08-16 00:32:00 UTC,+0,+0,-39366.8589165,+0,+0,+0,-35113.1427777,+0,+0,+0,+0,+0,+0,+0,-52661.9315085,+0,+0,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,+0,-39412.2134103,+0,+0,+0,-35040.7518915,+0,+0,+0,+0,+0,+0,+0,-52553.3649421,+0,-61327.7669722,+0,+0,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,+0,+0,-56940.9940729,-35044.163324,+0,+0,+0,+0,+0,+0,+0,-52558.4811593,+0,-61313.8330227,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,+0,+0,-56938.7376116,-35042.7745618,+0,+0,+0,+0,+0,+0,+0,-52556.3983951,+0,-61311.4033567,+0,+0,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+0,+0,-56931.5030638,-35038.3219854,+0,+0,-61313.8021893,+0,+0,+0,+0,-52549.7207462,+0,-61303.6134893,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+0,-56903.0427012,-35020.8057639,+0,+0,-61283.1506573,+0,-26269.0903758,+0,+0,-52523.451197,+0,-61272.9685266,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,-56922.3187421,+0,+0,+0,-61303.9107647,+0,-26274.2558428,+0,+0,+0,+0,-61293.7241846,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+0,-56912.4906007,+0,+0,+0,-61293.3259525,+0,-26269.7192786,+0,+0,+0,+0,-61283.1416411,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+0,-56917.8358748,+0,+0,+0,-61299.0827603,+0,-26272.1865994,+0,+0,+0,+0,-61288.8972157,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,-52541.2427117,-56922.6901502,+0,+0,+0,-61304.3107677,+0,-26274.4272808,+0,+0,+0,+0,-61294.1241016,+0,+0,+0
