# file...... Output/Qh/house_Qh_file_054.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_9B_tm_3_B_9_Meter_90_1061:Qh,house_3_10B_tm_3_B_10_Meter_90_1062:Qh,house_3_11B_tm_3_B_11_Meter_90_1063:Qh,house_3_12B_tm_3_B_12_Meter_90_1064:Qh,house_3_13B_tm_3_B_13_Meter_90_1065:Qh,house_3_14B_tm_3_B_14_Meter_90_1066:Qh,house_3_15B_tm_3_B_15_Meter_90_1067:Qh,house_3_1C_tm_3_C_1_Meter_92_1068:Qh,house_3_2C_tm_3_C_2_Meter_92_1069:Qh,house_3_3C_tm_3_C_3_Meter_92_1070:Qh,house_3_4C_tm_3_C_4_Meter_92_1071:Qh,house_3_5C_tm_3_C_5_Meter_92_1072:Qh,house_3_6C_tm_3_C_6_Meter_92_1073:Qh,house_3_7C_tm_3_C_7_Meter_92_1074:Qh,house_3_8C_tm_3_C_8_Meter_92_1075:Qh,house_3_9C_tm_3_C_9_Meter_92_1076:Qh,house_3_10C_tm_3_C_10_Meter_92_1077:Qh,house_3_11C_tm_3_C_11_Meter_92_1078:Qh,house_3_12C_tm_3_C_12_Meter_92_1079:Qh,house_3_13C_tm_3_C_13_Meter_92_1080:Qh
2010-08-16 00:46:00 UTC,+0,-30610.7578105,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43817.026537,+0,-56961.7677372,+0
2010-08-16 00:46:30 UTC,+0,-30613.462714,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43816.1947456,+0,+0,+0
2010-08-16 00:47:00 UTC,-61226.7471352,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43855.8602546,+0,+0,+0
2010-08-16 00:47:30 UTC,-61209.627115,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,-61107.9175553,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,-61177.259381,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:00 UTC,-61206.9675447,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65630.5375612,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:30 UTC,-61148.7339681,+0,-56778.7831658,+0,+0,+0,+0,+0,+0,+0,-65648.820609,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,-61153.2562734,+0,-56782.9822197,+0,+0,+0,+0,+0,+0,+0,-65728.1409143,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,-61113.7206084,+0,-56746.2725388,+0,+0,+0,+0,+0,-26288.5432099,+0,-65718.4228734,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,-61019.4980402,+0,-56658.7849426,+0,+0,+0,+0,+0,-26287.3679472,+0,-65715.4848748,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,+0,-56778.6801401,+0,+0,+0,+0,+0,-26297.1724948,+0,-65739.9949253,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+0,-56809.6648393,+0,+0,+0,+0,+0,-26301.9375339,+0,-65751.9068823,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,+0,+0,-56759.2649059,+0,+0,+0,+0,+0,+0,+0,-65748.4354476,+0,+0,-21917.7096979,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:00 UTC,+0,+0,-56689.7378009,+0,-17447.0062264,+0,+0,+0,+0,+0,+0,+0,+0,-21956.9541114,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,-56644.9271364,+0,-17433.2143204,+0,+0,+0,+0,+0,+0,+0,+0,-21951.1721736,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,+0,+0,-17453.6623565,+0,+0,+0,+0,+0,+0,+0,+0,-21927.9978684,-43850.0259999,+0,+0,+0,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,+0,-17447.2659421,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43824.0290876,+0,+0,+0,+0,+0
2010-08-16 00:55:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43771.3945116,+0,+0,+0,+0,+0
2010-08-16 00:55:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43769.0384304,+0,+0,-35017.2926831,+0,+0
2010-08-16 00:56:00 UTC,+0,+0,+0,-26194.8987843,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43764.9830328,+0,+0,-35014.0481321,+0,+0
2010-08-16 00:56:30 UTC,+0,+0,+0,-26178.6254736,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43825.4174165,+0,+0,-35062.3991078,+0,+0
2010-08-16 00:57:00 UTC,+0,+0,+0,-26154.0404794,+0,+0,+0,-48202.4627844,+0,+0,+0,+0,-48192.0051433,+0,-43809.8854736,+0,+0,-35049.9726621,+0,+0
2010-08-16 00:57:30 UTC,+0,+0,+0,-26148.7002599,+0,+0,+0,-48208.2917576,+0,+0,+0,+0,-48208.9734972,+0,+0,+0,+0,-35062.3138693,+0,+0
2010-08-16 00:58:00 UTC,+0,+0,+0,+0,+0,+0,+0,-48217.3681444,+0,+0,+0,+0,-48218.0499796,+0,+0,+0,+0,-35068.915261,+0,+0
2010-08-16 00:58:30 UTC,+0,+0,+0,+0,+0,+0,+0,-48155.0432973,+0,+0,+0,+0,-48155.7244766,+0,+0,+0,-43780.3778046,-35023.5854689,+0,+0
2010-08-16 00:59:00 UTC,+0,+0,+0,+0,+0,+0,+0,-48185.3832698,+0,+0,+0,+0,-48186.0647682,+0,+0,+0,-43807.9618705,+0,+0,+0
2010-08-16 00:59:30 UTC,+0,+0,+0,+0,+0,+0,+0,-48214.0227808,+0,+0,+0,+0,-48214.7045808,+0,+0,+0,-43833.9999354,+0,+0,+0
2010-08-16 01:00:00 UTC,+0,+0,+0,+0,+0,+0,-34942.1208102,-48224.846043,+0,+0,+0,+0,-48225.5279571,+0,+0,+0,-43843.8400754,+0,+0,+0
