# file...... Output/Qh/house_Qh_file_014.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_1_2A_tm_1_A_2_Meter_33_261:Qh,house_1_3A_tm_1_A_3_Meter_33_262:Qh,house_1_4A_tm_1_A_4_Meter_33_263:Qh,house_1_5A_tm_1_A_5_Meter_33_264:Qh,house_1_6A_tm_1_A_6_Meter_33_265:Qh,house_1_7A_tm_1_A_7_Meter_33_266:Qh,house_1_8A_tm_1_A_8_Meter_33_267:Qh,house_1_9A_tm_1_A_9_Meter_33_268:Qh,house_1_10A_tm_1_A_10_Meter_33_269:Qh,house_1_11A_tm_1_A_11_Meter_33_270:Qh,house_1_12A_tm_1_A_12_Meter_33_271:Qh,house_1_13A_tm_1_A_13_Meter_33_272:Qh,house_1_14A_tm_1_A_14_Meter_33_273:Qh,house_1_15A_tm_1_A_15_Meter_33_274:Qh,house_0_1C_tm_0_C_1_Meter_34_275:Qh,house_0_2C_tm_0_C_2_Meter_34_276:Qh,house_0_3C_tm_0_C_3_Meter_34_277:Qh,house_0_4C_tm_0_C_4_Meter_34_278:Qh,house_0_5C_tm_0_C_5_Meter_34_279:Qh,house_0_6C_tm_0_C_6_Meter_34_280:Qh
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,-39191.4717143,+0,+0,+0,-47895.058105,+0,-34837.1593711,+0,+0,+0,+0,-60887.676277,+0,-39146.2089029,-60885.5640998,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,-39210.7030599,+0,+0,+0,+0,+0,-34854.2540921,+0,+0,+0,+0,-60878.3992488,+0,-39140.2442921,-60876.2874566,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,-39202.7483339,+0,+0,+0,+0,+0,-34847.1831453,+0,+0,+0,+0,-60854.5424011,+0,-39124.9056717,-60852.4315991,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,-39182.6891078,+0,+0,+0,+0,+0,-34829.3525223,+0,+0,+0,-26081.3829558,+0,+0,-39119.5002379,-60844.0246333,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,-39186.000355,+0,+0,+0,+0,+0,-34832.2958861,+0,+0,+0,-26081.4564681,+0,+0,-39119.6104975,-60844.1961179,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,-39191.3383113,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26086.9848455,+0,+0,+0,-60857.0923617,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26094.5428032,+0,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26094.4804939,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56607.7043264,+0,+0,+0,+0,+0,+0,+0,+0,-30445.4462633,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,-56588.1345005,+0,+0,+0,+0,+0,+0,+0,+0,-30446.785394,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56562.8671426,+0,+0,+0,+0,+0,+0,+0,+0,-30461.6567196,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,-56577.5524128,+0,+0,+0,+0,+0,+0,+0,+0,-30453.6010719,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56588.0599361,+0,+0,+0,+0,+0,+0,+0,+0,-30443.2019613,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,+0,+0,-43544.0427317,-56606.5722368,+0,+0,+0,+0,+0,+0,+0,+0,-30425.318182,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,+0,+0,-43497.2041113,-56545.682952,+0,-43498.9273695,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
