# file...... Output/Qh/house_Qh_file_004.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_15C_tm_0_C_15_Meter_6_61:Qh,house_0_1A_tm_0_A_1_Meter_7_62:Qh,house_0_2A_tm_0_A_2_Meter_7_63:Qh,house_0_3A_tm_0_A_3_Meter_7_64:Qh,house_0_4A_tm_0_A_4_Meter_7_65:Qh,house_0_5A_tm_0_A_5_Meter_7_66:Qh,house_0_6A_tm_0_A_6_Meter_7_67:Qh,house_0_7A_tm_0_A_7_Meter_7_68:Qh,house_0_8A_tm_0_A_8_Meter_7_69:Qh,house_0_1A_tm_0_A_1_Meter_9_70:Qh,house_0_2A_tm_0_A_2_Meter_9_71:Qh,house_0_3A_tm_0_A_3_Meter_9_72:Qh,house_0_4A_tm_0_A_4_Meter_9_73:Qh,house_0_5A_tm_0_A_5_Meter_9_74:Qh,house_0_6A_tm_0_A_6_Meter_9_75:Qh,house_0_7A_tm_0_A_7_Meter_9_76:Qh,house_0_8A_tm_0_A_8_Meter_9_77:Qh,house_0_9A_tm_0_A_9_Meter_9_78:Qh,house_0_10A_tm_0_A_10_Meter_9_79:Qh,house_0_11A_tm_0_A_11_Meter_9_80:Qh
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,+0,-26169.0870545,+0,+0,+0,+0,+0,+0,-47885.7672599,+0,+0,+0,+0,-47881.4195874,+0,-60945.1699441
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+0,-26178.1616165,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47903.8412261,-21778.1139788,-60973.7096398
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+0,-26175.9533923,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47898.620206,-21775.7402909,-60967.0639916
2010-08-16 00:50:00 UTC,-13079.8136514,+0,+0,+0,+0,-26165.6755323,+0,+0,+0,-56572.6997107,+0,+0,+0,+0,+0,+0,+0,-47869.8226683,-21762.6477598,-60930.4086437
2010-08-16 00:50:30 UTC,-13080.5815886,+0,+0,+0,+0,-26168.4727067,+0,+0,-39249.9068912,-56589.2491491,-47888.9786949,+0,+0,+0,+0,+0,+0,-47883.8262075,-21769.014338,-60948.2332443
2010-08-16 00:51:00 UTC,-13080.1577422,+0,+0,+0,+0,+0,+0,+0,-39265.5931935,-56619.7757944,-47914.8127768,+0,+0,+0,+0,+0,+0,-47909.6567565,+0,+0
2010-08-16 00:51:30 UTC,-13080.3613666,+0,+0,+0,+0,+0,+0,-52324.1506161,-39248.0468551,-56590.0890942,-47889.6895233,+0,+0,+0,+0,+0,+0,-47884.5369389,+0,+0
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,+0,+0,+0,-52325.9548139,-39249.4002149,-56592.5330304,-47891.7577772,+0,+0,+0,+0,+0,+0,-47886.6049097,+0,+0
2010-08-16 00:52:30 UTC,+0,+0,+0,+0,+0,+0,+0,-52323.6827302,-39247.6958858,-56588.0050332,-47887.9258248,+0,+0,+0,+0,+0,+0,-47882.7734814,+0,+0
2010-08-16 00:53:00 UTC,+0,+0,+0,+0,+0,+0,+0,-52331.7225169,-39253.7266681,-56600.4872322,-47898.4892572,+0,+0,+0,+0,+0,-26127.496576,+0,+0,+0
