# file...... Output/Qh/house_Qh_file_001.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_1A_tm_0_A_1_Meter_1_1:Qh,house_0_2A_tm_0_A_2_Meter_1_2:Qh,house_0_3A_tm_0_A_3_Meter_1_3:Qh,house_0_4A_tm_0_A_4_Meter_1_4:Qh,house_0_5A_tm_0_A_5_Meter_1_5:Qh,house_0_6A_tm_0_A_6_Meter_1_6:Qh,house_0_7A_tm_0_A_7_Meter_1_7:Qh,house_0_8A_tm_0_A_8_Meter_1_8:Qh,house_0_9A_tm_0_A_9_Meter_1_9:Qh,house_0_10A_tm_0_A_10_Meter_1_10:Qh,house_0_11A_tm_0_A_11_Meter_1_11:Qh,house_0_12A_tm_0_A_12_Meter_1_12:Qh,house_0_13A_tm_0_A_13_Meter_1_13:Qh,house_0_14A_tm_0_A_14_Meter_1_14:Qh,house_0_15A_tm_0_A_15_Meter_1_15:Qh,house_0_1B_tm_0_B_1_Meter_2_16:Qh,house_0_2B_tm_0_B_2_Meter_2_17:Qh,house_0_3B_tm_0_B_3_Meter_2_18:Qh,house_0_4B_tm_0_B_4_Meter_2_19:Qh,house_0_5B_tm_0_B_5_Meter_2_20:Qh
2010-08-16 00:23:30 UTC,+0,+0,-21861.4784068,+0,+0,-30604.4289672,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,-21862.1888963,+0,+0,-30605.4235844,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,-21862.9687438,+0,+0,-30606.5152961,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52162.903104,+0
2010-08-16 00:25:00 UTC,+0,+0,-21865.5550709,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52157.9814584,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52156.5828053,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52147.3531598,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52156.5672021,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,+0,+0,-52465.9772826,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52159.4958741,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,+0,+0,+0,-52464.0293397,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52158.7535873,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,+0,+0,+0,-52464.4085941,+0,+0,+0,+0,-17491.2173887,-17490.3588129,+0,+0,+0,+0,-52159.8501084,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,+0,-17488.4912009,-52460.5684204,+0,+0,+0,+0,-17488.6130722,-17489.0785526,+0,+0,+0,+0,-52147.7780334,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,-17489.7424015,-52464.3215974,+0,+0,+0,+0,-17489.8642853,-17490.3298094,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,-17488.6306775,-52460.9868029,+0,+0,+0,+0,-17488.7525502,-17489.2180354,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,-17488.2910061,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,-17487.4770359,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,-17488.4285246,+0,+0,+0,+0,+0,+0,+0,-48088.3764779,+0,+0,+0,+0,+0,+0,-52147.4454851,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,-17489.3906497,+0,+0,+0,+0,+0,+0,+0,-48091.0220016,+0,+0,+0,+0,+0,+0,-52149.434563,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,-17490.6689294,+0,+0,+0,+0,+0,+0,+0,-48094.5368448,+0,+0,+0,+0,+0,+0,-52155.6599732,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,-43710.474723,+0,+0,+0,+0,-48080.307177,+0,+0,+0,+0,+0,+0,-52168.2107154,+0,+0,+0
2010-08-16 00:33:00 UTC,-43712.3852166,+0,+0,+0,-43712.1124598,+0,+0,+0,+0,-48082.1086412,+0,+0,+0,+0,+0,+0,-52164.8884046,+0,+0,+0
2010-08-16 00:33:30 UTC,-43713.4414555,+0,+0,+0,-43713.1686879,+0,+0,+0,+0,-48083.2704624,+0,+0,+0,+0,+0,+0,-52170.4804424,+0,+0,+0
