# file...... Output/Qh/house_Qh_file_039.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_17C_tm_3_C_17_Meter_66_761:Qh,house_3_18C_tm_3_C_18_Meter_66_762:Qh,house_3_19C_tm_3_C_19_Meter_66_763:Qh,house_3_20C_tm_3_C_20_Meter_66_764:Qh,house_3_21C_tm_3_C_21_Meter_66_765:Qh,house_3_22C_tm_3_C_22_Meter_66_766:Qh,house_3_23C_tm_3_C_23_Meter_66_767:Qh,house_3_24C_tm_3_C_24_Meter_66_768:Qh,house_3_25C_tm_3_C_25_Meter_66_769:Qh,house_3_26C_tm_3_C_26_Meter_66_770:Qh,house_3_27C_tm_3_C_27_Meter_66_771:Qh,house_3_28C_tm_3_C_28_Meter_66_772:Qh,house_3_1A_tm_3_A_1_Meter_68_773:Qh,house_3_2A_tm_3_A_2_Meter_68_774:Qh,house_3_3A_tm_3_A_3_Meter_68_775:Qh,house_3_4A_tm_3_A_4_Meter_68_776:Qh,house_3_5A_tm_3_A_5_Meter_68_777:Qh,house_3_6A_tm_3_A_6_Meter_68_778:Qh,house_3_7A_tm_3_A_7_Meter_68_779:Qh,house_3_8A_tm_3_A_8_Meter_68_780:Qh
2010-08-16 00:32:00 UTC,+0,+0,+0,-34585.3619205,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-13168.7090328,+0,-43889.2192717,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,-34623.8139651,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-13142.1342998,+0,-43800.6532295,-35041.133387
2010-08-16 00:33:00 UTC,+0,+0,+0,-34615.5280165,+0,+0,+0,+0,+0,+0,+0,+0,-56945.5828544,+0,+0,+0,+0,+0,-43808.6387287,-35047.5219292
2010-08-16 00:33:30 UTC,+0,+0,+0,-34611.2595623,+0,+0,+0,+0,+0,+0,+0,+0,-56940.7016578,+0,+0,+0,+0,+0,-43804.8834942,-35044.5176744
2010-08-16 00:34:00 UTC,+0,+0,+0,-34611.1359397,+0,+0,+0,+0,+0,+0,+0,+0,-56937.8172517,+0,+0,+0,+0,+0,-43802.6644436,-35042.7423943
2010-08-16 00:34:30 UTC,+0,+0,+0,-34600.8247808,+0,+0,+0,+0,+0,+0,+0,+0,-56909.4681564,+0,+0,+0,+0,+0,-43780.8547286,-35025.2942323
2010-08-16 00:35:00 UTC,+0,+0,+0,-34629.9789204,+0,-34630.6663552,+0,+0,+0,+0,+0,+0,-56933.2232978,+0,+0,+0,+0,+0,+0,-35039.9149302
2010-08-16 00:35:30 UTC,+0,+0,+0,-34638.9536321,+0,-34639.6412908,+0,+0,+0,+0,-38967.9798951,+0,-56921.5379992,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,-34611.0670734,+0,-34611.7540367,+0,+0,+0,+0,-38936.6085107,+0,-56923.9745394,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,-34582.5647534,+0,+0,+0,+0,-38903.7724271,+0,-56924.8058087,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,-34575.316197,+0,+0,+0,+0,-38895.6182632,+0,-56936.6453253,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,-34573.5609898,+0,+0,+0,+0,-38893.643767,+0,-56933.6619934,+0,-30662.0926812,+0,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-38928.2181668,+0,+0,+0,-30697.1764312,+0,+0,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-38961.6205443,+0,+0,+0,-30690.8252823,+0,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30692.3387599,+0,+0,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30695.8944738,+0,+0,-65768.5537936,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,-12979.8863708,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30675.1121192,+0,+0,-65724.0269328,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,-12984.9349144,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65729.2762367,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,-12985.1466245,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35077.9807182,+0,-65765.5315968,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,-12993.2811378,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35055.4158007,+0,-65723.226645,+0,+0
2010-08-16 00:42:00 UTC,-47588.2681055,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35043.3476324,+0,-65700.6011113,+0,+0
2010-08-16 00:42:30 UTC,-47603.3599208,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35074.266944,+0,-65758.5689733,+0,+0
2010-08-16 00:43:00 UTC,-47592.997235,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35054.5745272,+0,-65721.6494158,+0,+0
2010-08-16 00:43:30 UTC,-47613.5858164,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35096.6925889,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,-47582.9894764,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47582.0530254,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,-47566.3775354,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47565.4415174,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,-47575.1021513,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47574.1659059,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47610.1462387,+0,+0,+0,+0,-13140.7388069,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47613.3465776,+0,+0,+0,+0,-13146.001527,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47607.5916653,+0,+0,+0,+0,-13144.2867152,+0,+0,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,+0,+0,+0,-34641.0702237,+0,+0,+0,-47632.605677,+0,+0,+0,+0,-13141.6221831,+0,+0,+0
2010-08-16 00:47:30 UTC,+0,+0,+0,+0,+0,+0,+0,-34606.2922225,+0,+0,+0,-47584.7846263,+0,+0,+0,+0,+0,+0,+0,+0
