# file...... Output/Qh/house_Qh_file_012.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_1_8A_tm_1_A_8_Meter_29_221:Qh,house_1_9A_tm_1_A_9_Meter_29_222:Qh,house_1_10A_tm_1_A_10_Meter_29_223:Qh,house_1_11A_tm_1_A_11_Meter_29_224:Qh,house_1_12A_tm_1_A_12_Meter_29_225:Qh,house_1_13A_tm_1_A_13_Meter_29_226:Qh,house_1_14A_tm_1_A_14_Meter_29_227:Qh,house_1_15A_tm_1_A_15_Meter_29_228:Qh,house_1_1C_tm_1_C_1_Meter_30_229:Qh,house_1_2C_tm_1_C_2_Meter_30_230:Qh,house_1_3C_tm_1_C_3_Meter_30_231:Qh,house_1_4C_tm_1_C_4_Meter_30_232:Qh,house_1_5C_tm_1_C_5_Meter_30_233:Qh,house_1_6C_tm_1_C_6_Meter_30_234:Qh,house_1_7C_tm_1_C_7_Meter_30_235:Qh,house_1_8C_tm_1_C_8_Meter_30_236:Qh,house_1_9C_tm_1_C_9_Meter_30_237:Qh,house_1_10C_tm_1_C_10_Meter_30_238:Qh,house_1_11C_tm_1_C_11_Meter_30_239:Qh,house_1_12C_tm_1_C_12_Meter_30_240:Qh
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,-21717.3337352,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,-65130.5168971,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,-65142.9468101,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,+0,+0,+0,-65172.0233479,+0,+0,+0,+0,+0,+0,-47707.9130516,+0,+0,+0,-13012.8228147,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,+0,+0,+0,-65108.8823184,+0,+0,+0,+0,+0,+0,-47734.6443567,+0,+0,+0,-13020.114266,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,+0,+0,+0,+0,-65121.5066068,+0,+0,+0,+0,+0,+0,-47731.794992,+0,+0,+0,-13019.3370498,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,+0,+0,+0,+0,-65126.4746855,+0,+0,+0,+0,+0,+0,-47731.8336458,+0,+0,+0,-13019.3475934,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+0,+0,+0,+0,-65159.1103937,+0,+0,+0,+0,+0,+0,-47723.4860502,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+0,+0,+0,-65142.9129338,+0,+0,+0,+0,+0,+0,-47712.4013863,+0,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47737.8126731,+0,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47742.579282,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,-26069.8172088,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,-26071.2302297,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,-26069.9134092,+0,-39100.9106555,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,-26073.4635315,+0,-39106.2351498,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,-39122.9752999,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,-39118.5504463,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,-39119.4799357,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30373.536861,-56397.2645718,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,-39125.4986141,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30358.563447,-56369.4634973,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,-39111.6983759,+0,+0,+0,+0,+0,-21687.820926,+0,+0,+0,+0,+0,-30362.5206791,-56376.8108736,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,-39111.0569236,+0,+0,+0,+0,+0,-21686.9801951,+0,+0,+0,+0,+0,-30361.3436818,-56374.6255474,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,-39106.3669017,+0,+0,+0,+0,+0,-21686.8201007,+0,+0,+0,+0,+0,-30361.1195546,-56374.2094118,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-47712.453457,-21688.1370547,+0,-30363.8392552,+0,+0,+0,-30362.9632495,-56377.6325917,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-47693.905431,+0,+0,-30352.0353366,+0,+0,+0,-30351.1597777,-56355.7171361,+0,+0,+0
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-47703.2872356,+0,+0,-30358.0058942,+0,+0,+0,-30357.1301093,+0,-52034.767065,+0,+0
2010-08-16 00:43:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-47709.973986,+0,+0,-30362.2613259,+0,+0,+0,+0,+0,-52042.060731,+0,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-47719.0137427,+0,+0,-30368.014205,+0,+0,+0,+0,+0,-52051.9209721,+0,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-47692.0537794,+0,+0,-30350.85695,+0,+0,+0,+0,+0,-52022.5140161,-13007.9672807,+0
2010-08-16 00:44:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-47684.3941313,+0,+0,+0,+0,+0,+0,+0,+0,-52014.159148,-13005.878088,+0
2010-08-16 00:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-47692.9058918,+0,+0,+0,+0,+0,+0,+0,+0,-52023.4434696,-13008.1996971,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52054.4878576,-13015.962562,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52066.8252461,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52068.7238393,+0,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47743.4369904,+0,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47701.1098885,+0,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47713.3558937,+0,+0,+0,+0,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47670.1918637,+0,+0,+0,+0,+0
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47684.8455641,+0,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47721.7976501,+0,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,-21693.930887,-47721.4139432,+0,+0,+0,+0,+0,+0,+0,+0,-47719.0851094,+0,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,-21708.7313532,-47753.9706016,+0,+0,+0,+0,+0,+0,+0,+0,-47722.1378997,+0,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,-26026.6486249,+0,+0,-21689.4908308,-47711.64713,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,-26023.1711773,+0,+0,-21686.592855,-47705.2724384,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,+0,-26024.7060738,+0,+0,-21687.8719808,-47708.0861377,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:00 UTC,+0,-26022.2457994,+0,+0,-21685.8216794,-47703.5760796,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,+0,+0,+0,-47722.9541766,+0,+0,+0,-21711.9673324,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:00 UTC,-52076.8325242,+0,+0,+0,+0,-47738.7054573,+0,+0,+0,-21699.5269389,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:30 UTC,-52099.2372912,+0,+0,+0,+0,+0,+0,+0,+0,-21696.8505434,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:00 UTC,-52137.7565652,+0,+0,+0,+0,+0,+0,+0,+0,-21680.1603803,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:30 UTC,-52149.9527084,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56363.9342477
2010-08-16 00:56:00 UTC,-52121.8146381,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56360.0576447
2010-08-16 00:56:30 UTC,-52136.2634196,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-13014.9483364,-56388.9183384
2010-08-16 00:57:00 UTC,-52176.7649787,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-13013.6649727,-56383.3582132
2010-08-16 00:57:30 UTC,-52200.9234365,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56367.2836493,+0,+0,+0,+0,+0,+0,+0,-13010.0088952,-56367.5183948
2010-08-16 00:58:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56368.6820305,+0,+0,+0,+0,+0,+0,+0,-13010.3316649,-56368.9167823
2010-08-16 00:58:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56337.8328889,+0,+0,+0,+0,+0,+0,+0,+0,-56338.067503
2010-08-16 00:59:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56362.650254,+0,+0,+0,+0,+0,-56357.7406147,+0,+0,-56362.8849788
2010-08-16 00:59:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56360.7630957,+0,+0,+0,+0,+0,-56355.8536725,+0,+0,-56360.9978122
2010-08-16 01:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56364.2136166,+0,+0,+0,+0,+0,-56359.303798,+0,+0,-56364.4483484
2010-08-16 01:00:30 UTC,+0,+0,+0,-39098.8209229,+0,+0,+0,+0,+0,+0,-56340.917427,+0,+0,+0,+0,+0,-56336.0102781,+0,+0,+0
2010-08-16 01:01:00 UTC,+0,+0,+0,-39108.1499558,+0,+0,+0,+0,+0,+0,-56321.0629592,+0,+0,+0,+0,+0,-56316.1580859,+0,+0,+0
2010-08-16 01:01:30 UTC,+0,+0,+0,-39100.7465003,+0,+0,+0,+0,+0,+0,-56336.2907434,+0,+0,+0,+0,+0,-56331.3841247,+0,+0,+0
2010-08-16 01:02:00 UTC,+0,+0,+0,-39073.665782,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56352.4057069,+0,+0,+0
2010-08-16 01:02:30 UTC,+0,+0,+0,-39088.2197842,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56371.5448168,+0,+0,+0
2010-08-16 01:03:00 UTC,+0,+0,+0,-39098.4603532,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:03:30 UTC,+0,+0,+0,-39107.4369345,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:04:00 UTC,+0,+0,+0,-39102.1372284,+0,+0,+0,+0,+0,+0,+0,+0,-47707.7224644,+0,-47712.1878913,+0,+0,-52046.4247931,+0,+0
