# file...... Output/Qh/house_Qh_file_023.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_14A_tm_2_A_14_Meter_48_441:Qh,house_2_15A_tm_2_A_15_Meter_48_442:Qh,house_2_16A_tm_2_A_16_Meter_48_443:Qh,house_2_17A_tm_2_A_17_Meter_48_444:Qh,house_2_18A_tm_2_A_18_Meter_48_445:Qh,house_2_19A_tm_2_A_19_Meter_48_446:Qh,house_2_20A_tm_2_A_20_Meter_48_447:Qh,house_2_21A_tm_2_A_21_Meter_48_448:Qh,house_2_22A_tm_2_A_22_Meter_48_449:Qh,house_2_23A_tm_2_A_23_Meter_48_450:Qh,house_2_24A_tm_2_A_24_Meter_48_451:Qh,house_2_25A_tm_2_A_25_Meter_48_452:Qh,house_2_26A_tm_2_A_26_Meter_48_453:Qh,house_2_27A_tm_2_A_27_Meter_48_454:Qh,house_2_28A_tm_2_A_28_Meter_48_455:Qh,house_2_29A_tm_2_A_29_Meter_48_456:Qh,house_2_1B_tm_2_B_1_Meter_48_457:Qh,house_2_2B_tm_2_B_2_Meter_48_458:Qh,house_2_3B_tm_2_B_3_Meter_48_459:Qh,house_2_4B_tm_2_B_4_Meter_48_460:Qh
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,+0,-30378.5220037,+0,+0,+0,+0,+0,-17359.8326987,-30377.727007,-21700.0313747,+0,+0,+0,-34711.8491917,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,+0,-30369.7822176,+0,+0,+0,+0,+0,-17354.8382874,-30368.9875127,-21693.7882711,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,+0,-30355.9912084,+0,+0,+0,+0,+0,-17346.9573197,-30355.196964,-21683.9369205,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,+0,-30368.1314825,+0,+0,+0,+0,+0,+0,-30367.3368327,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,+0,+0,+0,+0,+0,-30355.329443,+0,+0,+0,+0,+0,+0,-30354.5352206,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30381.0552346,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,-43365.9548915,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,-43377.1351958,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,-43387.5076253,+0,+0,+0,-30374.3934135,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,-43351.7453107,+0,+0,+0,-30349.3565037,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,+0,+0,+0,-43343.1141594,+0,+0,+0,-30343.3139039,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,+0,+0,+0,-43356.2629508,+0,+0,+0,-30352.5192673,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,+0,+0,-17330.9903487,-43322.3626801,+0,+0,+0,-30328.7859594,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52021.7653477,+0
2010-08-16 00:49:00 UTC,+0,+0,-17341.8808613,-43349.5849039,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52066.4543388,+0
2010-08-16 00:49:30 UTC,+0,+0,-17340.2960587,-43345.6234875,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52008.894019,+0
2010-08-16 00:50:00 UTC,-47649.4489597,+0,-17329.1756335,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-51992.2162648,+0
2010-08-16 00:50:30 UTC,-47651.3163876,+0,+0,+0,-56315.248417,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47650.5537367,+0,+0,+0,-51983.5416734,+0
2010-08-16 00:51:00 UTC,-47693.1050845,+0,+0,+0,-56364.6351826,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47692.341608,+0,-51922.7980231,+0,-51922.7005297,+0
2010-08-16 00:51:30 UTC,-47658.0381111,+0,+0,+0,-56323.192292,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47657.2753275,+0,-51983.2517547,+0,-51983.1542601,+0
2010-08-16 00:52:00 UTC,-47645.8967224,+0,+0,+0,-56308.843342,+0,+0,+0,+0,+0,-51979.52693,+0,+0,+0,-47645.1341786,+0,-52022.8735382,+0,+0,+0
2010-08-16 00:52:30 UTC,-47646.2225308,+0,+0,+0,-56309.2283893,+0,-17327.6084698,+0,+0,-21659.7595328,-51979.8823757,+0,+0,+0,-47645.4599806,+0,-52041.9859057,+0,+0,+0
2010-08-16 00:53:00 UTC,-47645.8714341,+0,+0,+0,-56308.8134558,+0,-17327.4807831,+0,+0,-21659.5999215,-51979.4993413,-17327.9814539,+0,+0,-47645.1088908,+0,-52019.7323032,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,+0,+0,-56340.5664499,+0,-17337.2520712,+0,+0,-21671.8142551,-52008.8112409,-17337.7531301,+0,-21672.4315188,-47671.9762107,+0,-52021.5319118,+0,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,+0,+0,+0,+0,-17345.390097,+0,+0,-21681.9869732,-52033.2236821,-17345.891479,+0,-21682.6046005,-47694.3526821,+0,-52074.8880497,+0,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21696.0695014,-52067.0188663,-17357.1577429,+0,-21696.687632,+0,+0,-52052.0790426,-34703.2950105,+0,+0
2010-08-16 00:55:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52109.0066115,+0,+0,-21714.1846432,+0,+0,+0,-34744.0115917,+0,+0
2010-08-16 00:55:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52103.8526963,+0,-52108.9940788,+0,+0,+0,+0,+0,+0,-34737.1049148,+0,+0
2010-08-16 00:56:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52069.7081788,+0,-52074.8453613,+0,+0,+0,+0,-52070.6973099,+0,-34737.8110905,+0,+0
