# file...... Output/Qh/house_Qh_file_020.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_7A_tm_2_A_7_Meter_46_381:Qh,house_2_8A_tm_2_A_8_Meter_46_382:Qh,house_2_1A_tm_2_A_1_Meter_47_383:Qh,house_2_2A_tm_2_A_2_Meter_47_384:Qh,house_2_3A_tm_2_A_3_Meter_47_385:Qh,house_2_4A_tm_2_A_4_Meter_47_386:Qh,house_2_5A_tm_2_A_5_Meter_47_387:Qh,house_2_6A_tm_2_A_6_Meter_47_388:Qh,house_2_7A_tm_2_A_7_Meter_47_389:Qh,house_2_8A_tm_2_A_8_Meter_47_390:Qh,house_2_9A_tm_2_A_9_Meter_47_391:Qh,house_2_10A_tm_2_A_10_Meter_47_392:Qh,house_2_11A_tm_2_A_11_Meter_47_393:Qh,house_2_12A_tm_2_A_12_Meter_47_394:Qh,house_2_13A_tm_2_A_13_Meter_47_395:Qh,house_2_14A_tm_2_A_14_Meter_47_396:Qh,house_2_15A_tm_2_A_15_Meter_47_397:Qh,house_2_1B_tm_2_B_1_Meter_47_398:Qh,house_2_2B_tm_2_B_2_Meter_47_399:Qh,house_2_3B_tm_2_B_3_Meter_47_400:Qh
2010-08-16 00:53:00 UTC,+0,+0,+0,+0,-30323.376862,-43316.6619415,+0,+0,+0,+0,+0,+0,+0,+0,-38988.6585994,+0,-43316.634014,+0,-26012.8054243,-30347.9871723
2010-08-16 00:53:30 UTC,+0,+0,+0,+0,-30341.0202376,-43341.8649936,+0,+0,+0,+0,+0,+0,+0,+0,-39011.3440872,+0,+0,+0,-26013.1455102,-30348.3839341
2010-08-16 00:54:00 UTC,+0,+0,+0,+0,-30354.6377591,-43361.3172299,+0,+0,+0,+0,+0,+0,+0,+0,-39028.8532146,+0,+0,+0,+0,-30379.7133769
2010-08-16 00:54:30 UTC,+0,+0,+0,+0,-30373.377653,-43388.0866267,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30366.474556
2010-08-16 00:55:00 UTC,+0,+0,+0,+0,-30397.661095,-43422.7748226,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30401.6897234
2010-08-16 00:55:30 UTC,+0,+0,+0,+0,+0,-43423.4527131,+0,-47767.2247852,+0,+0,+0,-13029.1860462,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:00 UTC,+0,+0,+0,+0,+0,-43395.9406602,+0,-47736.960335,+0,+0,+0,-13020.9307041,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:30 UTC,+0,+0,+0,+0,+0,+0,+0,-47750.0810153,+0,+0,+0,-13024.5096789,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:00 UTC,+0,+0,+0,+0,+0,+0,+0,-47781.7945046,+0,+0,+0,-13033.1602806,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:30 UTC,+0,+0,+0,+0,+0,+0,+0,-47805.4334333,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
