# file...... Output/Qh/house_Qh_file_035.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_15C_tm_3_C_15_Meter_62_681:Qh,house_3_1A_tm_3_A_1_Meter_63_682:Qh,house_3_2A_tm_3_A_2_Meter_63_683:Qh,house_3_3A_tm_3_A_3_Meter_63_684:Qh,house_3_4A_tm_3_A_4_Meter_63_685:Qh,house_3_5A_tm_3_A_5_Meter_63_686:Qh,house_3_6A_tm_3_A_6_Meter_63_687:Qh,house_3_7A_tm_3_A_7_Meter_63_688:Qh,house_3_8A_tm_3_A_8_Meter_63_689:Qh,house_3_9A_tm_3_A_9_Meter_63_690:Qh,house_3_10A_tm_3_A_10_Meter_63_691:Qh,house_3_11A_tm_3_A_11_Meter_63_692:Qh,house_3_12A_tm_3_A_12_Meter_63_693:Qh,house_3_13A_tm_3_A_13_Meter_63_694:Qh,house_3_14A_tm_3_A_14_Meter_63_695:Qh,house_3_15A_tm_3_A_15_Meter_63_696:Qh,house_3_1B_tm_3_B_1_Meter_64_697:Qh,house_3_2B_tm_3_B_2_Meter_64_698:Qh,house_3_3B_tm_3_B_3_Meter_64_699:Qh,house_3_4B_tm_3_B_4_Meter_64_700:Qh
2010-08-16 00:33:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43303.5870646,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-38972.3847621,-43298.9851273,+0,+0,+0,+0,+0,+0,+0,-43335.7177466,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-38969.5508836,-43295.8367158,+0,+0,-56284.8631434,+0,+0,+0,+0,-43369.2635687,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-38951.5763964,-43275.8672352,+0,+0,-56258.9026009,+0,+0,+0,+0,-43351.335021,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-38963.6814489,-43289.3158309,+0,+0,-56276.385922,+0,+0,+0,+0,-43339.6391674,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43281.8924147,+0,+0,-56266.7353999,+0,+0,+0,+0,-43316.3428337,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43285.9253917,+0,+0,-56271.978314,+0,+0,+0,+0,-43306.9235735,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47613.054103,-56269.6067586,-38958.9407993,+0,+0,+0,-43333.2273206,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47622.2821553,-56280.5126328,-38966.4917378,+0,+0,+0,-43311.1763282,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47623.3414763,-56281.7645568,-38967.3585371,+0,+0,+0,-43297.8445466,+0
