# file...... Output/Qh/house_Qh_file_037.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_25B_tm_3_B_25_Meter_64_721:Qh,house_3_26B_tm_3_B_26_Meter_64_722:Qh,house_3_27B_tm_3_B_27_Meter_64_723:Qh,house_3_28B_tm_3_B_28_Meter_64_724:Qh,house_3_1A_tm_3_A_1_Meter_65_725:Qh,house_3_2A_tm_3_A_2_Meter_65_726:Qh,house_3_3A_tm_3_A_3_Meter_65_727:Qh,house_3_4A_tm_3_A_4_Meter_65_728:Qh,house_3_5A_tm_3_A_5_Meter_65_729:Qh,house_3_1B_tm_3_B_1_Meter_65_730:Qh,house_3_2B_tm_3_B_2_Meter_65_731:Qh,house_3_3B_tm_3_B_3_Meter_65_732:Qh,house_3_4B_tm_3_B_4_Meter_65_733:Qh,house_3_5B_tm_3_B_5_Meter_65_734:Qh,house_3_1C_tm_3_C_1_Meter_65_735:Qh,house_3_2C_tm_3_C_2_Meter_65_736:Qh,house_3_3C_tm_3_C_3_Meter_65_737:Qh,house_3_4C_tm_3_C_4_Meter_65_738:Qh,house_3_5C_tm_3_C_5_Meter_65_739:Qh,house_3_6C_tm_3_C_6_Meter_65_740:Qh
2010-08-16 00:43:00 UTC,+0,-13000.9893025,+0,+0,+0,-60600.2963747,+0,+0,+0,-60648.5393236,+0,+0,+0,+0,+0,-21636.4727416,+0,-56252.4195407,+0,+0
2010-08-16 00:43:30 UTC,+0,-12992.6297518,+0,+0,+0,-60662.2662984,+0,+0,+0,-60609.5857636,+0,+0,+0,+0,+0,-21646.4718793,+0,-56278.4159357,+0,+0
2010-08-16 00:44:00 UTC,+0,-13000.0077415,+0,+0,+0,-60632.2253446,+0,+0,+0,-60643.3367857,+0,+0,+0,+0,+0,-21633.8280942,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+0,-13001.5394458,+0,+0,+0,-60615.4387416,+0,+0,+0,-60649.3225467,+0,+0,-17332.8369087,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60658.736704,+0,+0,-17335.527532,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60654.3658122,+0,+0,-17334.278305,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60649.7271128,+0,+0,-17332.9525364,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-30306.4398315,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-30302.1621668,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-30301.4925359,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,+0,+0,+0,+0,-47627.6705939,+0,+0,+0,-30308.8485105,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,-47565.7706306,+0,+0,+0,-30269.4570796,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,-47620.7716055,+0,+0,+0,-30304.4581844,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,-47589.6986439,+0,+0,+0,-30284.6842079,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,-47534.5269744,+0,+0,+0,-30249.5744777,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,-47557.9367724,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,-47609.1032912,+0,+0,+0,+0,+0,-38903.914871,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,+0,+0,+0,-47542.1459407,+0,+0,-38898.3653702,+0,+0,-38965.3369087,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,-47561.1246617,+0,+0,-38913.8936172,+0,+0,-38979.131308,+0,+0,-25987.987328,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,+0,+0,+0,+0,+0,+0,+0,-38925.7487729,+0,+0,-38957.8155365,+0,+0,-25973.7755325,+0,+0,+0,+0,+0,+0
