# file...... Output/Qh/house_Qh_file_034.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_3A_tm_3_A_3_Meter_60_661:Qh,house_3_4A_tm_3_A_4_Meter_60_662:Qh,house_3_5A_tm_3_A_5_Meter_60_663:Qh,house_3_6A_tm_3_A_6_Meter_60_664:Qh,house_3_7A_tm_3_A_7_Meter_60_665:Qh,house_3_8A_tm_3_A_8_Meter_60_666:Qh,house_3_1C_tm_3_C_1_Meter_62_667:Qh,house_3_2C_tm_3_C_2_Meter_62_668:Qh,house_3_3C_tm_3_C_3_Meter_62_669:Qh,house_3_4C_tm_3_C_4_Meter_62_670:Qh,house_3_5C_tm_3_C_5_Meter_62_671:Qh,house_3_6C_tm_3_C_6_Meter_62_672:Qh,house_3_7C_tm_3_C_7_Meter_62_673:Qh,house_3_8C_tm_3_C_8_Meter_62_674:Qh,house_3_9C_tm_3_C_9_Meter_62_675:Qh,house_3_10C_tm_3_C_10_Meter_62_676:Qh,house_3_11C_tm_3_C_11_Meter_62_677:Qh,house_3_12C_tm_3_C_12_Meter_62_678:Qh,house_3_13C_tm_3_C_13_Meter_62_679:Qh,house_3_14C_tm_3_C_14_Meter_62_680:Qh
2010-08-16 00:36:30 UTC,-51950.3429633,+0,-56289.9537983,+0,+0,-64933.8968037,+0,+0,+0,+0,-56240.7972249,+0,+0,+0,+0,+0,+0,-21635.6694294,+0,+0
2010-08-16 00:37:00 UTC,-51958.7085321,+0,-56283.1094886,+0,+0,-64944.3529338,+0,+0,+0,+0,-56232.3440238,+0,+0,+0,+0,+0,+0,-21632.4173244,+0,+0
2010-08-16 00:37:30 UTC,-51961.8282546,+0,-56286.4887538,+0,+0,+0,+0,+0,+0,+0,-56229.4877383,+0,+0,+0,+0,+0,+0,-21631.3184576,+0,+0
2010-08-16 00:38:00 UTC,-52011.0215079,+0,-56339.7746074,+0,+0,+0,+0,+0,+0,+0,-56274.952368,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,-56335.2324406,+0,+0,+0,+0,+0,+0,+0,-56315.208761,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,-56336.3895708,+0,+0,+0,+0,+0,+0,-34647.0554435,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,-56345.4247528,+0,+0,+0,+0,+0,+0,-34617.2428205,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,-56309.866124,+0,+0,+0,+0,+0,+0,-34638.4601064,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,-56311.1752778,+0,+0,+0,+0,+0,+0,-34647.5995153,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34648.1575347,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34666.606878,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34635.6190752
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34647.7788187
2010-08-16 00:43:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34642.5081673
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34660.7879111
2010-08-16 00:44:00 UTC,+0,-43334.4320509,+0,+0,+0,+0,-51948.2756617,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34638.5810124
2010-08-16 00:44:30 UTC,+0,-43323.7407925,+0,+0,+0,+0,-51929.4227702,+0,+0,+0,+0,+0,+0,-47605.1256199,+0,+0,+0,+0,+0,-34626.0094726
2010-08-16 00:45:00 UTC,+0,-43326.2462267,+0,+0,+0,+0,-51934.9073147,+0,+0,+0,+0,+0,+0,-47610.1535287,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,-43290.7816155,+0,+0,+0,+0,-51973.9306405,+0,+0,+0,+0,-21659.8655991,+0,-47645.9278276,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,-43309.1824263,+0,+0,+0,+0,-51977.452725,+0,+0,+0,+0,-21661.3334796,+0,-47649.1566682,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,-43305.5145248,+0,+0,+0,+0,-51973.7297354,-17328.8334499,+0,+0,+0,-21659.7818691,+0,-47645.7436496,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,+0,+0,-52004.0184333,-17338.9328354,+0,+0,+0,-21672.4051292,+0,-47673.510553,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,+0,+0,+0,+0,+0,+0,-51951.2900376,-17321.3512141,+0,+0,+0,+0,+0,-47625.1722492,+0,+0,+0,+0,-51958.7083426,+0
2010-08-16 00:48:00 UTC,+0,+0,+0,+0,+0,+0,-51926.1619868,-17312.9725809,+0,+0,+0,+0,+0,-47602.1363244,+0,+0,+0,+0,-51933.5757244,+0
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47616.1195035,+0,-51949.6509296,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47577.5305615,+0,-51907.548744,+0
