# file...... Output/Qh/house_Qh_file_048.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_3A_tm_3_A_3_Meter_79_941:Qh,house_3_4A_tm_3_A_4_Meter_79_942:Qh,house_3_5A_tm_3_A_5_Meter_79_943:Qh,house_3_6A_tm_3_A_6_Meter_79_944:Qh,house_3_7A_tm_3_A_7_Meter_79_945:Qh,house_3_8A_tm_3_A_8_Meter_79_946:Qh,house_3_9A_tm_3_A_9_Meter_79_947:Qh,house_3_10A_tm_3_A_10_Meter_79_948:Qh,house_3_11A_tm_3_A_11_Meter_79_949:Qh,house_3_12A_tm_3_A_12_Meter_79_950:Qh,house_3_13A_tm_3_A_13_Meter_79_951:Qh,house_3_14A_tm_3_A_14_Meter_79_952:Qh,house_3_15A_tm_3_A_15_Meter_79_953:Qh,house_3_1B_tm_3_B_1_Meter_80_954:Qh,house_3_2B_tm_3_B_2_Meter_80_955:Qh,house_3_3B_tm_3_B_3_Meter_80_956:Qh,house_3_4B_tm_3_B_4_Meter_80_957:Qh,house_3_5B_tm_3_B_5_Meter_80_958:Qh,house_3_6B_tm_3_B_6_Meter_80_959:Qh,house_3_7B_tm_3_B_7_Meter_80_960:Qh
2010-08-16 00:51:30 UTC,+0,+0,+0,+0,+0,+0,+0,-26227.7661043,+0,-43709.1402285,-56813.2572937,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,+0,+0,+0,-26241.8095429,+0,-43732.5434007,-56843.6754868,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43747.1919284,-56862.7148615,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43793.6507229,-56923.0995256,+0,+0,-34916.8983775,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43811.4821993,-56946.2759292,+0,+0,-34888.622965,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56979.1994362,+0,+0,-34924.0989453,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-57024.0557257,+0,+0,-34915.4132246,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:00 UTC,+0,-17553.8213521,+0,+0,+0,+0,+0,+0,+0,+0,-57036.0221724,+0,+0,-34970.3041225,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:30 UTC,+0,-17560.8706355,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34934.5148784,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:00 UTC,+0,-17543.397596,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34944.5548115,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:30 UTC,+0,-17538.0149579,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34917.850162,+0,+0,+0,-34917.6779887,+0,+0
2010-08-16 00:57:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61032.9155629,-34880.4934365,+0,+0
2010-08-16 00:57:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61024.2062046,-34875.5158484,+0,+0
2010-08-16 00:58:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61103.6092772,-34920.8964361,+0,+0
2010-08-16 00:58:30 UTC,-48216.5807566,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61130.2501234,-34936.1222603,+0,+0
2010-08-16 00:59:00 UTC,-48182.0144938,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61165.0320684,-34956.0008991,+0,+0
2010-08-16 00:59:30 UTC,-48208.0720967,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61143.7244734,+0,+0,+0
2010-08-16 01:00:00 UTC,-48149.8671225,+0,+0,+0,+0,+0,-35016.0143102,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61185.8741412,+0,+0,+0
2010-08-16 01:00:30 UTC,-48214.3575273,+0,+0,+0,+0,+0,-35062.9126187,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61175.4944703,+0,+0,+0
2010-08-16 01:01:00 UTC,-48235.5136348,+0,+0,+0,+0,+0,-35078.2976314,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61178.1789937,+0,-26227.527859,+0
2010-08-16 01:01:30 UTC,+0,+0,+0,+0,+0,+0,-35077.7600191,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26205.1731624,+0
2010-08-16 01:02:00 UTC,+0,+0,+0,+0,+0,+0,-35039.9842382,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26237.0647724,+0
2010-08-16 01:02:30 UTC,+0,+0,+0,+0,+0,+0,-35058.7030191,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26208.549278,+0
2010-08-16 01:03:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39292.9575865,+0,+0,+0,-26197.3535216,+0
