# file...... Output/Qh/house_Qh_file_017.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_2B_tm_2_B_2_Meter_38_321:Qh,house_2_3B_tm_2_B_3_Meter_38_322:Qh,house_2_4B_tm_2_B_4_Meter_38_323:Qh,house_2_5B_tm_2_B_5_Meter_38_324:Qh,house_2_6B_tm_2_B_6_Meter_38_325:Qh,house_2_7B_tm_2_B_7_Meter_38_326:Qh,house_2_8B_tm_2_B_8_Meter_38_327:Qh,house_2_1B_tm_2_B_1_Meter_39_328:Qh,house_2_2B_tm_2_B_2_Meter_39_329:Qh,house_2_3B_tm_2_B_3_Meter_39_330:Qh,house_2_4B_tm_2_B_4_Meter_39_331:Qh,house_2_5B_tm_2_B_5_Meter_39_332:Qh,house_2_6B_tm_2_B_6_Meter_39_333:Qh,house_2_7B_tm_2_B_7_Meter_39_334:Qh,house_2_8B_tm_2_B_8_Meter_39_335:Qh,house_2_1C_tm_2_C_1_Meter_41_336:Qh,house_2_2C_tm_2_C_2_Meter_41_337:Qh,house_2_3C_tm_2_C_3_Meter_41_338:Qh,house_2_4C_tm_2_C_4_Meter_41_339:Qh,house_2_5C_tm_2_C_5_Meter_41_340:Qh
2010-08-16 00:29:00 UTC,+0,+0,-39024.2823655,-43356.8357026,+0,+0,+0,+0,+0,-56352.1288228,+0,+0,+0,-47682.3803052,+0,+0,-39061.912908,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,-43363.8719471,+0,+0,+0,+0,+0,-56359.9938383,+0,+0,+0,-47689.0353112,+0,+0,-39064.9255539,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,-43362.6656131,+0,+0,+0,+0,+0,-56358.4261737,+0,+0,+0,-47687.7088272,+0,+0,-39073.1348624,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,-43366.8567039,+0,+0,+0,+0,+0,-56363.8726101,+0,+0,+0,-47692.3173454,+0,+0,-39103.6139916,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,-43380.2696078,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47710.7600969,+0,+0,-39093.4091558,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,-43379.5636618,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47709.9837398,+0,+0,-39082.840378,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39052.3953885,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,-26064.1691929,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,+0,-26055.0698963,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,-26065.9109803,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:00 UTC,+0,-26067.3352961,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47776.8365253,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47748.9546326,+0,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47741.0208979,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47729.9066381,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47729.9966166,+0,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47688.1603118,+0,+0,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47700.6019394,+0,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21687.0312598,+0,+0,-47707.2241747,+0,+0,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21694.1172547,+0,+0,-47722.8115944,+0,+0,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21702.4874016,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,-56409.7028592,+0,+0,+0,+0,+0,+0,-21699.6916029,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,-56407.8291331,+0,+0,+0,+0,+0,+0,-21698.9707896,+0,+0,+0,+0,+0,-56399.2565785,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,-56405.2348263,-26037.119453,+0,+0,+0,+0,-52062.35669,+0,+0,+0,+0,+0,+0,-56408.7265341,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,-56434.0397209,-26050.4165105,+0,+0,+0,+0,-52088.9423526,+0,+0,+0,+0,+0,+0,-56382.3858407,+0,+0
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,-56415.1575833,-26041.7000452,+0,+0,+0,+0,-52071.5149622,+0,+0,+0,+0,+0,+0,-56391.1933216,+0,+0
2010-08-16 00:43:00 UTC,+0,+0,+0,+0,-56437.9160347,-26052.2059135,+0,+0,+0,+0,-52092.5200216,+0,+0,+0,+0,+0,+0,-56395.2906231,+0,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,-56414.2356799,+0,+0,+0,+0,+0,-52069.8755203,+0,+0,+0,+0,+0,+0,-56399.4180274,+0,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,-56417.9316529,+0,+0,+0,+0,+0,-52073.2866395,+0,+0,+0,+0,+0,+0,-56364.3329437,+0,+0
2010-08-16 00:44:30 UTC,-47756.5335886,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52091.8399282,+0,+0,+0,+0,+0,+0,-56356.492086,+0,+0
2010-08-16 00:45:00 UTC,-47747.2049341,+0,+0,+0,+0,+0,+0,+0,-47740.1870514,+0,-52078.251815,+0,+0,+0,+0,+0,+0,-56366.8339637,+0,+0
2010-08-16 00:45:30 UTC,-47750.2299511,+0,+0,+0,+0,+0,+0,+0,-47743.2112841,+0,-52081.5508082,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,-47743.5927857,+0,-39068.7657951,+0,+0,+0,+0,+0,-47737.6603839,+0,-52075.4955923,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,-47728.9377824,+0,-39056.773162,+0,+0,+0,+0,+0,-47723.0085233,+0,-52059.5125667,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:00 UTC,+0,+0,-39058.4232301,+0,+0,+0,+0,+0,-47728.4363497,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,+0,+0,-39065.2567581,+0,+0,+0,+0,+0,-47735.4607487,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,+0,+0,-39034.9303896,+0,+0,+0,-52045.0370341,+0,-47699.8512237,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,+0,+0,-39043.5372431,+0,+0,+0,-52056.5124808,+0,-47710.3678445,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+0,+0,-52098.6985911,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43366.9785773
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+0,+0,-52055.8971902,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43387.425336
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,+0,+0,-52045.909741,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43418.375564
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,+0,+0,-52033.9219989,+0,+0,+0,+0,+0,+0,-47703.5164179,+0,+0,+0,+0,+0,-43416.0712243
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,+0,+0,-51978.4607795,+0,+0,+0,+0,+0,+0,-47637.2291231,+0,+0,+0,+0,+0,-43420.2905965
2010-08-16 00:51:30 UTC,+0,-26019.7627357,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47689.7556876,+0,+0,+0,+0,+0,-43427.9655806
2010-08-16 00:52:00 UTC,+0,-26035.0129212,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47717.7034492,+0,+0,+0,+0,+0,-43415.4491677
2010-08-16 00:52:30 UTC,+0,-26038.5838494,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47724.2475961,+0,+0,+0,+0,+0,-43399.4678674
2010-08-16 00:53:00 UTC,+0,-26029.1702657,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47706.9960944,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47707.2105163,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47745.8828207,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:30 UTC,+0,+0,+0,-43438.7220772,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:00 UTC,+0,+0,+0,-43421.7318372,+0,+0,+0,+0,+0,-56438.884181,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:30 UTC,+0,+0,+0,-43387.0675874,+0,+0,+0,+0,+0,-56393.8321499,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:00 UTC,+0,+0,+0,-43355.0970965,+0,+0,+0,+0,+0,-56352.2811162,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:30 UTC,+0,+0,+0,-43341.6460472,+0,+0,+0,+0,+0,-56334.7992149,+0,+0,+0,+0,+0,+0,+0,+0,-30373.866159,+0
2010-08-16 00:58:00 UTC,+0,+0,+0,-43351.7924172,+0,+0,+0,+0,+0,-56347.9861295,+0,+0,+0,+0,+0,+0,+0,+0,-30374.4029852,+0
2010-08-16 00:58:30 UTC,+0,+0,+0,-43364.5347865,+0,+0,+0,+0,+0,-56364.5469823,+0,+0,+0,+0,+0,+0,+0,+0,-30355.2207249,+0
2010-08-16 00:59:00 UTC,+0,+0,+0,-43383.6232256,+0,+0,+0,+0,+0,-56389.3556214,+0,+0,+0,+0,+0,-43374.8610107,+0,+0,-30365.3256798,+0
2010-08-16 00:59:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56400.9461717,+0,+0,+0,+0,+0,-43367.8075096,-39034.7362666,+0,-30360.3876049,+0
2010-08-16 01:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56432.6823877,+0,+0,+0,+0,+0,-43370.9507795,-39037.5655672,+0,-30362.588172,+0
2010-08-16 01:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43348.2990995,-39017.1764769,+0,+0,+0
2010-08-16 01:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43326.2123312,-38997.2958709,+0,+0,+0
