# file...... Output/Qh/house_Qh_file_026.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_16C_tm_2_C_16_Meter_48_501:Qh,house_2_17C_tm_2_C_17_Meter_48_502:Qh,house_2_18C_tm_2_C_18_Meter_48_503:Qh,house_2_19C_tm_2_C_19_Meter_48_504:Qh,house_2_20C_tm_2_C_20_Meter_48_505:Qh,house_2_21C_tm_2_C_21_Meter_48_506:Qh,house_2_22C_tm_2_C_22_Meter_48_507:Qh,house_2_23C_tm_2_C_23_Meter_48_508:Qh,house_2_24C_tm_2_C_24_Meter_48_509:Qh,house_2_25C_tm_2_C_25_Meter_48_510:Qh,house_2_26C_tm_2_C_26_Meter_48_511:Qh,house_2_27C_tm_2_C_27_Meter_48_512:Qh,house_2_28C_tm_2_C_28_Meter_48_513:Qh,house_2_29C_tm_2_C_29_Meter_48_514:Qh,house_2_1A_tm_2_A_1_Meter_49_515:Qh,house_2_2A_tm_2_A_2_Meter_49_516:Qh,house_2_3A_tm_2_A_3_Meter_49_517:Qh,house_2_4A_tm_2_A_4_Meter_49_518:Qh,house_2_5A_tm_2_A_5_Meter_49_519:Qh,house_2_6A_tm_2_A_6_Meter_49_520:Qh
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30371.3031207,-30372.6170545,-52068.9346321,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30372.654994,-30373.969002,-52076.8833891,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,-17347.1161312,+0,+0,-52033.6776076,+0,+0,-34690.4282875,-30354.9603087,-30356.2733449,-52084.9806284,-56426.0820534,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,-17359.004163,+0,+0,-52069.3351317,+0,+0,-34714.2010918,-30375.7622459,-30377.0764245,-52102.3816809,-56444.9334714,+0,+0,-47762.19992,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,-17363.1190291,+0,+0,-52081.6774559,+0,+0,-34722.4296961,-30382.9625285,-30384.2771025,-52095.2361547,-56437.1923706,+0,+0,-47755.6495964,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,-17360.5653184,+0,+0,-52074.0177354,+0,+0,-34717.3229748,+0,+0,+0,-56429.1437247,+0,+0,-47748.8390357,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,-17350.634752,+0,+0,-52044.2315252,+0,+0,-34697.4645645,+0,+0,+0,-56439.3997533,+0,+0,-47757.5174278,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52055.5078473,+0,+0,-34704.9824672,+0,+0,+0,-56418.638912,+0,+0,-47739.9501289,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52049.2789061,+0,+0,-34700.8296439,+0,+0,+0,-56412.9905847,+0,-30378.6618281,-47735.1706573,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56408.3123117,+0,-30376.142509,-47731.2120209,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56393.4041482,+0,-30368.1142429,-47718.59711,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34685.8296928,+0,+0,+0,+0,-56368.9020777,+0,-30354.9195167,-47697.8640778,+0
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,-34691.5113776,+0,+0,+0,+0,+0,-34691.0920832,+0,+0,+0,+0,+0,+0,-30367.0206285,-47716.8787005,+0
2010-08-16 00:43:00 UTC,+0,-34691.4830562,+0,+0,-34693.2902955,+0,+0,+0,+0,+0,-34692.8709629,+0,+0,+0,+0,+0,+0,-30355.3820182,+0,+0
2010-08-16 00:43:30 UTC,+0,-34690.7202058,+0,+0,-34692.5273932,+0,+0,+0,+0,+0,-34692.1080769,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+0,-34670.8997333,+0,+0,-34672.705574,+0,+0,+0,+0,+0,-34672.2866841,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+0,-34667.3709893,+0,+0,-34669.1765903,+0,+0,+0,+0,+0,-34668.7577763,+0,+0,+0,+0,+0,+0,+0,+0,-52062.4821173
2010-08-16 00:45:00 UTC,+0,-34674.0936448,+0,+0,-34675.8997025,+0,+0,+0,+0,-21673.8151689,-34675.4807439,+0,+0,+0,+0,+0,+0,+0,+0,-52048.0484882
2010-08-16 00:45:30 UTC,+0,-34701.5968085,+0,+0,+0,+0,+0,+0,+0,-21691.0071786,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52038.1892455
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21698.6614899,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52050.8167612
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21699.3689954,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52066.5355486
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52022.0277975
2010-08-16 00:47:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52010.7560286
2010-08-16 00:48:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52027.0311985
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-51985.6713256
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52015.2001039
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,-65070.5370467,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:00 UTC,-65158.8853293,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,-65122.9174865,+0,+0,+0,+0,-17370.5823545,-26054.2143873,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:00 UTC,-65073.0510567,+0,+0,+0,+0,-17357.2804321,-26034.2631045,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:30 UTC,-65066.9815617,+0,+0,+0,+0,-17355.6613876,-26031.8347327,+0,+0,+0,+0,+0,-30369.9129847,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:00 UTC,-65008.894894,+0,+0,+0,+0,-17340.1667069,-26008.5945768,+0,+0,+0,+0,+0,-30342.8000547,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:30 UTC,-65013.7000341,+0,+0,+0,+0,+0,-26010.5170871,+0,+0,+0,+0,+0,-30345.0429349,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:00 UTC,-65019.510725,+0,+0,+0,+0,+0,-26012.8419123,+0,+0,+0,+0,+0,-30347.7551725,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30368.0375556,-30369.35131,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30366.4790254,-30367.7926942,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:30 UTC,+0,+0,+0,-43374.1215995,+0,+0,+0,+0,+0,+0,+0,+0,-30361.5604905,-30362.8738893,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:00 UTC,+0,+0,+0,-43374.2556018,-34699.6499425,+0,+0,+0,+0,+0,+0,+0,+0,-30362.9676947,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:30 UTC,+0,+0,+0,-43343.9552154,-34675.4093512,+0,+0,-30341.4366061,+0,+0,+0,+0,+0,-30341.7565597,+0,+0,+0,+0,+0,+0
2010-08-16 00:59:00 UTC,+0,+0,+0,-43362.7801891,-34690.4695054,+0,+0,-30354.6144331,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:59:30 UTC,+0,+0,+0,-43356.5135747,-34685.4561556,+0,+0,-30350.2276881,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
