# file...... Output/Qh/house_Qh_file_016.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_12A_tm_2_A_12_Meter_35_301:Qh,house_2_13A_tm_2_A_13_Meter_35_302:Qh,house_2_14A_tm_2_A_14_Meter_35_303:Qh,house_2_15A_tm_2_A_15_Meter_35_304:Qh,house_2_1A_tm_2_A_1_Meter_37_305:Qh,house_2_2A_tm_2_A_2_Meter_37_306:Qh,house_2_3A_tm_2_A_3_Meter_37_307:Qh,house_2_4A_tm_2_A_4_Meter_37_308:Qh,house_2_5A_tm_2_A_5_Meter_37_309:Qh,house_2_6A_tm_2_A_6_Meter_37_310:Qh,house_2_7A_tm_2_A_7_Meter_37_311:Qh,house_2_8A_tm_2_A_8_Meter_37_312:Qh,house_2_9A_tm_2_A_9_Meter_37_313:Qh,house_2_10A_tm_2_A_10_Meter_37_314:Qh,house_2_11A_tm_2_A_11_Meter_37_315:Qh,house_2_12A_tm_2_A_12_Meter_37_316:Qh,house_2_13A_tm_2_A_13_Meter_37_317:Qh,house_2_14A_tm_2_A_14_Meter_37_318:Qh,house_2_15A_tm_2_A_15_Meter_37_319:Qh,house_2_1B_tm_2_B_1_Meter_38_320:Qh
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,-39064.2844206,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,-56372.4285201,+0,-39032.7388107,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,-56365.342548,-30357.0086312,-39027.8322581,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47690.1722591,+0,+0
2010-08-16 00:52:30 UTC,+0,-56368.8849564,-30358.9165888,-39030.2851345,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47692.4600382,+0,+0
2010-08-16 00:53:00 UTC,+0,-56369.2671991,-30359.1224666,-39030.5498116,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47691.4631621,-21680.949778,+0
2010-08-16 00:53:30 UTC,+0,-56391.8450968,-30371.2830273,-39046.183467,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47710.708141,-21689.6990266,+0
2010-08-16 00:54:00 UTC,+0,-56411.7247636,+0,-39059.9487808,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43384.1156932,+0,-47723.3724015,-21695.4565157,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,-39081.9579657,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43408.0471369,+0,-47749.6976831,-21707.424647,+0
2010-08-16 00:55:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26064.0052293,+0,+0,-43434.4692949,+0,-47778.7628223,-21720.6383855,+0
2010-08-16 00:55:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26067.9552522,+0,+0,-43441.051578,+0,-47786.0035242,+0,+0
2010-08-16 00:56:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26055.1162458,+0,+0,-43419.6567727,+0,+0,+0,+0
2010-08-16 00:56:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26060.6603102,+0,+0,-43428.8953522,+0,+0,+0,+0
