# file...... Output/Qh/house_Qh_file_018.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_6C_tm_2_C_6_Meter_41_341:Qh,house_2_7C_tm_2_C_7_Meter_41_342:Qh,house_2_8C_tm_2_C_8_Meter_41_343:Qh,house_2_1A_tm_2_A_1_Meter_42_344:Qh,house_2_2A_tm_2_A_2_Meter_42_345:Qh,house_2_3A_tm_2_A_3_Meter_42_346:Qh,house_2_4A_tm_2_A_4_Meter_42_347:Qh,house_2_5A_tm_2_A_5_Meter_42_348:Qh,house_2_6A_tm_2_A_6_Meter_42_349:Qh,house_2_7A_tm_2_A_7_Meter_42_350:Qh,house_2_8A_tm_2_A_8_Meter_42_351:Qh,house_2_1B_tm_2_B_1_Meter_43_352:Qh,house_2_2B_tm_2_B_2_Meter_43_353:Qh,house_2_3B_tm_2_B_3_Meter_43_354:Qh,house_2_4B_tm_2_B_4_Meter_43_355:Qh,house_2_5B_tm_2_B_5_Meter_43_356:Qh,house_2_6B_tm_2_B_6_Meter_43_357:Qh,house_2_7B_tm_2_B_7_Meter_43_358:Qh,house_2_8B_tm_2_B_8_Meter_43_359:Qh,house_2_9B_tm_2_B_9_Meter_43_360:Qh
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26030.0529265,+0,+0,-38957.8264335,+0,-56268.3005958,+0,+0,-51934.5515668,+0
2010-08-16 00:51:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39008.4153198,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,-26053.1135807,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39030.7748009,-39027.5037596,+0,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,-26043.5229897,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39040.0135266,-39036.7415188,+0,+0,+0,+0,+0
2010-08-16 00:53:00 UTC,-26077.3804853,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39022.5176676,-39019.2474901,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,-26064.9532226,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39022.2244017,-39018.9542548,+0,+0,+0,+0,+0
2010-08-16 00:54:00 UTC,-26048.305604,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39057.6720995,-39054.3982447,+0,+0,+0,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39038.0944247,-39034.8226178,+0,+0,+0,+0,+0
2010-08-16 00:55:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39079.071487,+0,+0,+0,+0,+0
2010-08-16 00:55:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:00 UTC,+0,+0,+0,+0,+0,+0,+0,-43408.6221042,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
