# file...... Output/Qh/house_Qh_file_050.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_13A_tm_3_A_13_Meter_82_981:Qh,house_3_14A_tm_3_A_14_Meter_82_982:Qh,house_3_15A_tm_3_A_15_Meter_82_983:Qh,house_3_1C_tm_3_C_1_Meter_83_984:Qh,house_3_2C_tm_3_C_2_Meter_83_985:Qh,house_3_3C_tm_3_C_3_Meter_83_986:Qh,house_3_4C_tm_3_C_4_Meter_83_987:Qh,house_3_5C_tm_3_C_5_Meter_83_988:Qh,house_3_6C_tm_3_C_6_Meter_83_989:Qh,house_3_7C_tm_3_C_7_Meter_83_990:Qh,house_3_8C_tm_3_C_8_Meter_83_991:Qh,house_3_1C_tm_3_C_1_Meter_84_992:Qh,house_3_2C_tm_3_C_2_Meter_84_993:Qh,house_3_3C_tm_3_C_3_Meter_84_994:Qh,house_3_4C_tm_3_C_4_Meter_84_995:Qh,house_3_5C_tm_3_C_5_Meter_84_996:Qh,house_3_6C_tm_3_C_6_Meter_84_997:Qh,house_3_7C_tm_3_C_7_Meter_84_998:Qh,house_3_8C_tm_3_C_8_Meter_84_999:Qh,house_3_1C_tm_3_C_1_Meter_85_1000:Qh
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,-26276.1678643,-21897.1560916,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39389.393993,-39390.4674604,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,-26292.4344399,-21910.7118553,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39413.7671824,-39414.8414999,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,-26261.8722965,-21885.2428688,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39367.7378855,+0,+0,+0
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,-26276.7655989,-21897.6542142,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39393.4474709,+0,+0,+0
2010-08-16 00:43:00 UTC,+0,+0,+0,+0,-26270.8236107,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26246.9078962
2010-08-16 00:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,-43763.7741676,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26243.5583192
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+0,+0,+0,-43806.2299232,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26273.5883468
