# file...... Output/Qh/house_Qh_file_028.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_12B_tm_2_B_12_Meter_49_541:Qh,house_2_13B_tm_2_B_13_Meter_49_542:Qh,house_2_14B_tm_2_B_14_Meter_49_543:Qh,house_2_15B_tm_2_B_15_Meter_49_544:Qh,house_2_16B_tm_2_B_16_Meter_49_545:Qh,house_2_17B_tm_2_B_17_Meter_49_546:Qh,house_2_18B_tm_2_B_18_Meter_49_547:Qh,house_2_19B_tm_2_B_19_Meter_49_548:Qh,house_2_20B_tm_2_B_20_Meter_49_549:Qh,house_2_21B_tm_2_B_21_Meter_49_550:Qh,house_2_22B_tm_2_B_22_Meter_49_551:Qh,house_2_23B_tm_2_B_23_Meter_49_552:Qh,house_2_24B_tm_2_B_24_Meter_49_553:Qh,house_2_25B_tm_2_B_25_Meter_49_554:Qh,house_2_26B_tm_2_B_26_Meter_49_555:Qh,house_2_27B_tm_2_B_27_Meter_49_556:Qh,house_2_28B_tm_2_B_28_Meter_49_557:Qh,house_2_29B_tm_2_B_29_Meter_49_558:Qh,house_2_1C_tm_2_C_1_Meter_49_559:Qh,house_2_2C_tm_2_C_2_Meter_49_560:Qh
2010-08-16 00:29:30 UTC,-43350.1497892,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52010.556235,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34677.772168,+0,-52007.6107832,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34682.72718,+0,-52015.0416965,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34693.4428635,+0,-52031.1117518,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34694.0815461,+0,-52032.0695688,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34708.0358184,+0,-52052.9964588,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34739.2644411,+0,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
