# file...... Output/Qh/house_Qh_file_056.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_4B_tm_3_B_4_Meter_95_1101:Qh,house_3_5B_tm_3_B_5_Meter_95_1102:Qh,house_3_6B_tm_3_B_6_Meter_95_1103:Qh,house_3_7B_tm_3_B_7_Meter_95_1104:Qh,house_3_8B_tm_3_B_8_Meter_95_1105:Qh,house_3_1B_tm_3_B_1_Meter_96_1106:Qh,house_3_2B_tm_3_B_2_Meter_96_1107:Qh,house_3_3B_tm_3_B_3_Meter_96_1108:Qh,house_3_4B_tm_3_B_4_Meter_96_1109:Qh,house_3_5B_tm_3_B_5_Meter_96_1110:Qh,house_3_6B_tm_3_B_6_Meter_96_1111:Qh,house_3_7B_tm_3_B_7_Meter_96_1112:Qh,house_3_8B_tm_3_B_8_Meter_96_1113:Qh,house_3_1A_tm_3_A_1_Meter_98_1114:Qh,house_3_2A_tm_3_A_2_Meter_98_1115:Qh,house_3_3A_tm_3_A_3_Meter_98_1116:Qh,house_3_4A_tm_3_A_4_Meter_98_1117:Qh,house_3_5A_tm_3_A_5_Meter_98_1118:Qh,house_3_6A_tm_3_A_6_Meter_98_1119:Qh,house_3_7A_tm_3_A_7_Meter_98_1120:Qh
2010-08-16 00:38:30 UTC,+0,+0,-56720.8319721,+0,+0,+0,-56710.4120047,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,-56747.5612207,+0,+0,+0,-56737.1344851,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,-56816.8367379,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,-56826.7305748,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,-56805.1515554,+0,+0,+0,+0,+0,+0,-52430.996168,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52414.3819877,+0,-43679.1161998,-61163.2477528,+0,+0,-30702.381998,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,-17474.3608987,+0,+0,+0,-30571.7146296,+0,-52405.2182001,+0,-43671.4795725,-61135.2602977,+0,+0,-30679.2859023,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,-17493.1804809,+0,+0,+0,-30604.6344927,+0,-52461.6475538,+0,-43718.5048813,-61201.0895119,+0,+0,-30667.6447164,+0,+0,+0,+0
2010-08-16 00:42:30 UTC,+0,+0,+0,-17469.101241,+0,+0,+0,-30562.5142551,+0,-52389.4474426,+0,-43658.3370376,-61116.8624869,+0,+0,-30694.0502407,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,+0,+0,+0,-17481.9899582,+0,+0,+0,-30584.1272437,+0,-52426.4951963,+0,-43689.2107222,-61160.0815633,+0,+0,-30677.0565124,+0,+0,+0,+0
