# file...... Output/Qh/house_Qh_file_052.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_7B_tm_3_B_7_Meter_86_1021:Qh,house_3_8B_tm_3_B_8_Meter_86_1022:Qh,house_3_1B_tm_3_B_1_Meter_87_1023:Qh,house_3_2B_tm_3_B_2_Meter_87_1024:Qh,house_3_3B_tm_3_B_3_Meter_87_1025:Qh,house_3_4B_tm_3_B_4_Meter_87_1026:Qh,house_3_5B_tm_3_B_5_Meter_87_1027:Qh,house_3_6B_tm_3_B_6_Meter_87_1028:Qh,house_3_7B_tm_3_B_7_Meter_87_1029:Qh,house_3_8B_tm_3_B_8_Meter_87_1030:Qh,house_3_9B_tm_3_B_9_Meter_87_1031:Qh,house_3_10B_tm_3_B_10_Meter_87_1032:Qh,house_3_11B_tm_3_B_11_Meter_87_1033:Qh,house_3_12B_tm_3_B_12_Meter_87_1034:Qh,house_3_13B_tm_3_B_13_Meter_87_1035:Qh,house_3_14B_tm_3_B_14_Meter_87_1036:Qh,house_3_15B_tm_3_B_15_Meter_87_1037:Qh,house_3_1A_tm_3_A_1_Meter_88_1038:Qh,house_3_2A_tm_3_A_2_Meter_88_1039:Qh,house_3_3A_tm_3_A_3_Meter_88_1040:Qh
2010-08-16 00:34:00 UTC,+0,+0,+0,-30655.3542931,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21896.9695584,+0,+0,-26265.1397066
2010-08-16 00:34:30 UTC,+0,+0,+0,-30639.5954068,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21885.713012,+0,+0,-26252.5781244
2010-08-16 00:35:00 UTC,+0,+0,+0,-30628.5103969,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21877.7950079,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,-30611.9925957,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21865.9963698,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30600.0939474,+0,+0,-21857.811716,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30625.7395077,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30603.535326,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30591.1287776,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43628.1621352,-30544.3758716,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43641.9137409,-30554.003861,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34931.2953631,+0,+0,-43660.3830554,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34969.0440722,+0,+0,-43707.5638052,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34977.7242707,+0,+0,-43718.4128722,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34966.8969281,+0,+0,-43704.8801672,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34957.5885878,+0,+0,-43693.2460081,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:30 UTC,+0,-21851.5636768,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52424.4978457,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,+0,-21864.7550718,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52458.3732431,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,+0,-21848.6222428,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52417.9445145,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+0,-21862.2481708,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52452.6345255,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+0,-21868.1671186,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52467.3608521,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,-34994.1212809,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52476.8642193,+0,+0,-30613.9470529,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,-34998.4726474,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52484.2899853,+0,+0,-30618.2791718,+0,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,-34996.3103036,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52480.4631194,+0,+0,-30616.0466157,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,-35000.0068036,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30620.1895058,+0,+0,+0,+0,+0
2010-08-16 00:47:00 UTC,-34995.7055829,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30615.966394,+0,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,-34996.1176377,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30615.9723852,+0,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,-34938.8818988,+0,+0,+0,+0,+0,+0,+0,-61122.8161155,+0,+0,+0,+0,+0,-30564.4049863,+0,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,-34976.1373278,+0,+0,+0,+0,+0,+0,+0,-61190.7867874,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-61220.3944636,+0,+0,+0,+0,+0,+0,+0,-21867.1940725,-21893.73847,+0,+0
2010-08-16 00:49:30 UTC,+0,+0,-56793.0900583,+0,+0,+0,+0,+0,-61164.9613465,+0,+0,+0,+0,+0,+0,+0,-21847.3934774,-21873.2763568,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,-56798.013961,-30588.600888,+0,+0,+0,+0,-61170.2643848,+0,+0,+0,+0,+0,+0,+0,-21849.2877117,-21843.5189027,+0,+0
2010-08-16 00:50:30 UTC,+0,+0,-56760.8669348,-30568.5945011,+0,+0,+0,+0,-61130.2570739,+0,+0,+0,+0,+0,+0,+0,-21834.9971826,-21855.9304144,+0,+0
2010-08-16 00:51:00 UTC,+0,+0,-56672.2634209,-30520.8750344,+0,+0,+0,+0,-61034.8311726,+0,+0,+0,+0,+0,+0,-39235.7988561,-21800.9112459,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,+0,-56788.4938719,-30583.4736248,+0,+0,+0,+0,-61160.0112583,+0,+0,+0,+0,+0,+0,-39316.2686787,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+0,-56818.0353773,-30599.3838828,+0,+0,+0,+0,-61191.8274303,+0,+0,+0,+0,+0,+0,-39336.7211478,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,+0,+0,-56769.7819971,+0,+0,+0,+0,+0,+0,-34938.1761203,+0,+0,+0,+0,+0,-39303.3138873,+0,+0,+0,+0
2010-08-16 00:53:00 UTC,+0,+0,-56703.1664947,+0,+0,+0,-30535.1062926,+0,+0,-34897.1776818,+0,+0,+0,+0,+0,-39257.1939796,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,-56658.8774149,+0,+0,+0,-30511.2557743,+0,+0,-34869.9200155,+0,+0,+0,+0,+0,-39226.5313233,+0,+0,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,-56722.4041953,+0,+0,+0,-30545.4661633,+0,+0,-34909.0175041,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,-56705.5910096,+0,+0,+0,-30536.4119404,+0,+0,-34898.669847,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:00 UTC,+0,+0,+0,+0,+0,+0,-30590.1895886,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
