# file...... Output/Qh/house_Qh_file_046.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_12B_tm_3_B_12_Meter_76_901:Qh,house_3_13B_tm_3_B_13_Meter_76_902:Qh,house_3_14B_tm_3_B_14_Meter_76_903:Qh,house_3_15B_tm_3_B_15_Meter_76_904:Qh,house_3_16B_tm_3_B_16_Meter_76_905:Qh,house_3_17B_tm_3_B_17_Meter_76_906:Qh,house_3_1C_tm_3_C_1_Meter_76_907:Qh,house_3_2C_tm_3_C_2_Meter_76_908:Qh,house_3_3C_tm_3_C_3_Meter_76_909:Qh,house_3_4C_tm_3_C_4_Meter_76_910:Qh,house_3_5C_tm_3_C_5_Meter_76_911:Qh,house_3_6C_tm_3_C_6_Meter_76_912:Qh,house_3_7C_tm_3_C_7_Meter_76_913:Qh,house_3_8C_tm_3_C_8_Meter_76_914:Qh,house_3_9C_tm_3_C_9_Meter_76_915:Qh,house_3_10C_tm_3_C_10_Meter_76_916:Qh,house_3_11C_tm_3_C_11_Meter_76_917:Qh,house_3_12C_tm_3_C_12_Meter_76_918:Qh,house_3_13C_tm_3_C_13_Meter_76_919:Qh,house_3_14C_tm_3_C_14_Meter_76_920:Qh
2010-08-16 00:45:00 UTC,-43753.8517025,+0,+0,+0,-39379.313562,+0,+0,+0,+0,+0,-56920.0502237,+0,+0,+0,+0,+0,+0,-39409.6533619,+0,+0
2010-08-16 00:45:30 UTC,-43758.1902212,+0,+0,+0,-39383.218333,+0,+0,+0,+0,+0,-56969.6413419,+0,+0,+0,+0,+0,+0,-39443.9895594,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,-39381.7967709,+0,+0,+0,+0,+0,-56970.9789807,+0,+0,+0,+0,+0,+0,+0,-39443.3706511,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,-17506.6849892,-39385.6037497,+0,+0,+0,+0,+0,-56971.6460347,+0,+0,+0,+0,+0,+0,+0,-39443.8324858,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,-17504.665082,-39381.0596128,+0,+0,+0,+0,+0,-57011.2495307,+0,+0,+0,+0,+0,+0,+0,-39471.2519559,+0
2010-08-16 00:47:30 UTC,+0,+0,+0,-17505.3385423,+0,+0,+0,+0,+0,+0,-56943.5295345,+0,+0,+0,+0,+0,+0,+0,-39424.3660339,+0
2010-08-16 00:48:00 UTC,+0,+0,+0,-17477.273385,+0,-52426.1211996,+0,+0,+0,+0,-56917.6201874,+0,+0,+0,+0,+0,+0,+0,-39406.4277041,+0
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,+0,-52479.2314873,+0,+0,+0,+0,-56929.5720823,+0,+0,+0,+0,+0,+0,+0,-39414.7025955,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+0,-52506.0416003,+0,+0,+0,+0,-56876.4535291,+0,+0,+0,+0,+0,-48129.3678752,+0,-39377.9259783,+0
2010-08-16 00:49:30 UTC,+0,+0,-43722.0836072,+0,+0,-52467.3135448,+0,+0,+0,+0,+0,+0,-30635.4513437,+0,+0,+0,-48137.4939759,+0,-39384.5744377,+0
2010-08-16 00:50:00 UTC,+0,+0,-43728.6968617,+0,+0,-52475.2495896,+0,+0,+0,+0,+0,+0,-30671.2909156,-39433.567373,+0,+0,-48193.807753,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,-61176.0026412,-43698.4323439,+0,+0,-52438.93153,+0,+0,+0,+0,+0,+0,-30670.0614948,-39431.9867312,+0,+0,-48191.8759965,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,-61081.5415299,-43630.9581085,+0,+0,-52357.9610249,+0,+0,+0,+0,+0,+0,-30668.4544078,-39429.9205316,+0,+0,-48189.350823,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,-61195.0721132,-43712.0538018,+0,+0,-52455.2775668,+0,+0,+0,+0,+0,+0,-30683.3774965,-39449.106849,+0,+0,-48212.7990801,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,-61227.32465,-43735.0920158,+0,+0,+0,+0,+0,+0,-48222.4967287,+0,+0,+0,-39456.3727333,+0,+0,-48221.6789669,+0,+0,+0
2010-08-16 00:52:30 UTC,+0,-61185.9461301,-43705.5350479,+0,+0,+0,+0,+0,+0,-48217.3977414,+0,-43831.8554724,+0,-39452.2006149,-21919.6205925,+0,+0,+0,+0,+0
2010-08-16 00:53:00 UTC,+0,-61114.6864014,+0,+0,+0,+0,+0,+0,+0,-48293.3299987,+0,-43900.8804804,+0,-39514.3302797,-21954.1404115,+0,+0,+0,+0,-35123.3511659
2010-08-16 00:53:30 UTC,+0,-61068.4838283,+0,+0,+0,+0,-30724.018226,+0,+0,-48279.5791275,+0,-43888.3804701,+0,+0,-21947.8890818,+0,+0,+0,+0,-35113.3502074
2010-08-16 00:54:00 UTC,+0,+0,+0,+0,+0,+0,-30697.3523555,+0,+0,-48237.676663,+0,-43850.2897025,+0,+0,-21928.8396616,+0,+0,+0,+0,-35082.8746977
2010-08-16 00:54:30 UTC,+0,+0,+0,+0,+0,+0,-30675.2869333,+0,+0,-48203.0032941,+0,-43818.7704297,+0,+0,-21913.0766841,+0,+0,+0,+0,-35057.6568827
2010-08-16 00:55:00 UTC,+0,+0,+0,+0,+0,+0,-30639.3528757,+0,+0,-48146.5368996,+0,-43767.4405556,+0,+0,+0,+0,+0,+0,+0,-35016.5890792
2010-08-16 00:55:30 UTC,+0,+0,+0,+0,+0,+0,-30641.7090513,+0,+0,-48150.2393687,+0,-43770.8062259,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:00 UTC,+0,+0,+0,+0,+0,+0,-30637.0034173,+0,+0,+0,+0,-43764.0844803,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35071.1422699,+0,+0,+0,+0
2010-08-16 00:58:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35080.9732986,+0,+0,+0,+0
