# file...... Output/Qh/house_Qh_file_030.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_8C_tm_2_C_8_Meter_50_581:Qh,house_2_9C_tm_2_C_9_Meter_50_582:Qh,house_2_10C_tm_2_C_10_Meter_50_583:Qh,house_2_11C_tm_2_C_11_Meter_50_584:Qh,house_2_12C_tm_2_C_12_Meter_50_585:Qh,house_2_13C_tm_2_C_13_Meter_50_586:Qh,house_2_14C_tm_2_C_14_Meter_50_587:Qh,house_2_15C_tm_2_C_15_Meter_50_588:Qh,house_2_1A_tm_2_A_1_Meter_51_589:Qh,house_2_2A_tm_2_A_2_Meter_51_590:Qh,house_2_3A_tm_2_A_3_Meter_51_591:Qh,house_2_4A_tm_2_A_4_Meter_51_592:Qh,house_2_5A_tm_2_A_5_Meter_51_593:Qh,house_2_6A_tm_2_A_6_Meter_51_594:Qh,house_2_7A_tm_2_A_7_Meter_51_595:Qh,house_2_8A_tm_2_A_8_Meter_51_596:Qh,house_0_1A_tm_0_A_1_Meter_52_597:Qh,house_0_2A_tm_0_A_2_Meter_52_598:Qh,house_0_3A_tm_0_A_3_Meter_52_599:Qh,house_0_4A_tm_0_A_4_Meter_52_600:Qh
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34726.1301814,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+0,-43394.4295074,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+0,-43402.9733355,+0,+0,+0,+0,+0,+0,+0,-52097.2394919,+0,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+0,-43395.293994,+0,+0,+0,+0,+0,+0,+0,-52088.9682705,+0,+0,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,-52041.8983618,+0,+0,-43369.307415,+0,+0,+0,+0,+0,+0,+0,-52098.2059134,+0,+0,+0,+0,-52176.993007
2010-08-16 00:40:00 UTC,+0,+0,+0,-52053.9055226,+0,+0,-43379.3136743,+0,+0,+0,-17361.8896922,+0,+0,+0,-52078.0001602,+0,+0,+0,+0,-52157.52124
2010-08-16 00:40:30 UTC,+0,+0,+0,-52047.7774718,+0,+0,-43374.2068163,+0,+0,+0,-17360.3151494,+0,+0,+0,-52073.2773992,+0,+0,+0,+0,-52155.1684355
2010-08-16 00:41:00 UTC,+0,+0,+0,-52038.7019572,+0,+0,-43366.6436667,+0,+0,+0,-17359.0058215,+0,+0,+0,-52069.3501367,+0,+0,+0,+0,-52164.2220053
2010-08-16 00:41:30 UTC,+0,+0,+0,-52046.1298747,+0,+0,+0,+0,+0,+0,-17354.3635509,+0,+0,+0,-52055.4258831,+0,+0,+0,+0,-52152.3439154
2010-08-16 00:42:00 UTC,+0,+0,+0,-52020.9149965,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52033.5245965,+0,+0,+0,+0,-52136.9163321
2010-08-16 00:42:30 UTC,+0,+0,+0,-52030.0327835,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52053.7069439,+0,+0,+0,-52160.2860606,+0
2010-08-16 00:43:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52139.1252929,+0
2010-08-16 00:43:30 UTC,-56364.0994797,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52172.6205504,+0
2010-08-16 00:44:00 UTC,-56328.6502016,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52162.1866384,+0
2010-08-16 00:44:30 UTC,-56322.4138721,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52146.3705198,+0
2010-08-16 00:45:00 UTC,-56333.4889485,-51995.0750423,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52143.4457474,+0
2010-08-16 00:45:30 UTC,-56376.2951141,-52034.5835128,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52123.172283,+0
2010-08-16 00:46:00 UTC,-56397.364404,-52054.0296705,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52135.3164732,+0
2010-08-16 00:46:30 UTC,-56400.5170242,-52056.9394195,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52134.4588374,+0
2010-08-16 00:47:00 UTC,-56458.2761218,-52110.2488829,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34688.7337259,+0,+0,+0,+0,-52119.0336632,+0
2010-08-16 00:47:30 UTC,+0,-52093.4980439,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34673.9925856,+0,+0,-34745.996326,+0,+0,+0
2010-08-16 00:48:00 UTC,+0,-52060.707234,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34685.0159682,+0,+0,-34756.360405,+0,+0,+0
2010-08-16 00:48:30 UTC,+0,-52077.9485949,+0,+0,+0,+0,+0,+0,+0,+0,+0,-64964.7378998,+0,-34654.8467663,+0,+0,-34731.7998897,+0,+0,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-26004.6165098,+0,+0,-64996.6641782,-52004.169871,-34671.8783469,+0,+0,-34756.9974826,+0,+0,+0
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+0,-21691.0209352,+0,+0,-26002.7762706,+0,+0,-64992.0648686,-52000.4898288,-34669.4247724,+0,+0,-34747.9662055,+0,+0,+0
